hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,rssi_19,rssi_20,rssi_21,rssi_22,rssi_23,rssi_24,rssi_25,rssi_26,rssi_27,rssi_28,location_id,realtime_average_rssi,median_rssi,mode_rssi,rssi_variance
HDOK,PLOK,17472,1,1,-110,4,10,2,29,-113,-110,-111,-112,-117,-111,-111,-109,-111,-110,-110,-110,-111,-110,-111,-111,-117,-115,-110,-109,-111,-111,-113,-110,-111,-115,-113,-112,-109,point2,-111.51724137931035,-111.0,-111.0,0.9433106575963719
HDOK,PLOK,17472,2,2,-108,5,10,2,29,-115,-109,-109,-110,-117,-110,-109,-109,-111,-109,-109,-110,-109,-108,-109,-108,-115,-112,-109,-108,-108,-110,-113,-108,-112,-113,-112,-110,-112,point2,-110.44827586206897,-110.0,-109.0,1.854875283446712
HDOK,PLOK,17472,3,3,-109,5,10,2,29,-113,-107,-110,-110,-115,-110,-110,-108,-110,-108,-109,-109,-110,-108,-109,-110,-115,-113,-108,-109,-109,-109,-112,-109,-112,-113,-112,-110,-111,point2,-110.27586206896552,-110.0,-110.0,1.5691609977324261
HDOK,PLOK,17472,4,4,-108,6,10,2,29,-113,-108,-108,-109,-115,-110,-108,-109,-109,-107,-107,-111,-108,-107,-108,-109,-115,-111,-109,-109,-108,-107,-113,-108,-115,-115,-112,-111,-107,point2,-109.86206896551724,-109.0,-108.0,2.91156462585034
HDOK,PLOK,17472,5,5,-110,4,10,2,29,-112,-108,-109,-109,-115,-109,-109,-109,-111,-109,-109,-115,-112,-110,-110,-110,-113,-113,-110,-111,-112,-110,-114,-111,-117,-117,-113,-111,-112,point2,-111.37931034482759,-111.0,-109.0,2.1904761904761907
HDOK,PLOK,17472,6,6,-106,5,10,2,29,-112,-106,-106,-106,-113,-106,-106,-105,-108,-106,-105,-112,-109,-106,-107,-106,-113,-109,-106,-107,-106,-107,-112,-106,-111,-112,-110,-107,-106,point2,-107.96551724137932,-107.0,-106.0,4.149659863945577
HDOK,PLOK,17472,7,7,-106,5,10,2,29,-111,-105,-107,-109,-111,-109,-107,-106,-105,-106,-111,-106,-105,-106,-106,-112,-110,-113,-105,-106,-106,-105,-107,-107,-105,-109,-107,-107,-106,point2,-107.41379310344827,-107.0,-106.0,2.5215419501133782
HDOK,PLOK,17472,8,8,-106,5,10,2,29,-112,-106,-106,-106,-113,-103,-106,-106,-107,-106,-107,-105,-105,-106,-106,-106,-112,-111,-105,-106,-106,-105,-109,-106,-107,-110,-108,-107,-109,point2,-107.13793103448276,-106.0,-106.0,1.5374149659863945
HDOK,PLOK,17472,9,9,-106,5,10,2,29,-113,-106,-107,-106,-112,-107,-107,-105,-106,-105,-107,-105,-106,-106,-105,-106,-111,-111,-106,-105,-106,-105,-108,-106,-105,-110,-107,-106,-106,point2,-106.93103448275862,-106.0,-106.0,1.1882086167800454
HDOK,PLOK,17472,10,10,-106,6,10,2,29,-111,-106,-106,-105,-113,-109,-107,-106,-106,-105,-107,-106,-106,-106,-106,-107,-112,-111,-105,-105,-106,-106,-109,-106,-107,-112,-107,-107,-109,point2,-107.37931034482759,-106.0,-106.0,1.854875283446712
