hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,rssi_19,rssi_20,rssi_21,rssi_22,rssi_23,rssi_24,rssi_25,rssi_26,rssi_27,rssi_28,location_id,rssi_variance
HDOK,PLOK,17472,1,1,-71,7,10,2,29,-75,-69,-70,-70,-76,-71,-70,-69,-69,-68,-70,-69,-68,-69,-68,-70,-74,-75,-68,-68,-68,-68,-71,-67,-68,-74,-70,-68,-68,336,2.0453514739229015
HDOK,PLOK,17472,2,2,-72,8,10,2,29,-69,-69,-70,-69,-76,-71,-70,-69,-69,-69,-70,-69,-69,-69,-69,-70,-76,-75,-69,-69,-69,-69,-72,-69,-72,-75,-71,-69,-71,336,1.0385487528344672
HDOK,PLOK,17472,3,3,-72,7,10,2,29,-75,-69,-70,-69,-77,-70,-69,-69,-69,-69,-69,-69,-69,-69,-69,-70,-77,-75,-69,-69,-69,-69,-74,-69,-76,-76,-73,-70,-71,336,4.108843537414967
HDOK,PLOK,17472,4,4,-72,7,10,2,29,-73,-69,-70,-69,-76,-70,-69,-69,-70,-69,-69,-71,-70,-69,-69,-70,-76,-73,-69,-69,-69,-69,-75,-69,-75,-76,-73,-71,-69,336,2.965986394557823
HDOK,PLOK,17472,5,5,-72,6,10,2,29,-75,-69,-70,-70,-76,-71,-70,-69,-69,-69,-70,-69,-69,-69,-69,-70,-76,-75,-69,-69,-69,-69,-72,-69,-70,-74,-72,-69,-69,336,1.705215419501133
HDOK,PLOK,17472,6,6,-72,7,10,2,29,-69,-69,-70,-70,-74,-73,-71,-69,-69,-69,-81,-69,-69,-70,-69,-77,-74,-77,-69,-69,-70,-69,-71,-69,-69,-72,-70,-69,-75,336,2.6575963718820863
HDOK,PLOK,17472,7,7,-71,6,10,2,29,-75,-69,-69,-69,-77,-70,-69,-69,-69,-69,-69,-69,-69,-69,-69,-70,-77,-75,-69,-69,-70,-69,-73,-69,-75,-76,-73,-70,-71,336,3.800453514739229
HDOK,PLOK,17472,8,8,-72,7,10,2,29,-73,-69,-69,-69,-76,-70,-69,-69,-70,-69,-69,-71,-69,-69,-69,-70,-77,-73,-69,-69,-70,-69,-74,-69,-77,-77,-73,-71,-69,336,2.6303854875283443
HDOK,PLOK,17472,9,9,-72,7,10,2,29,-75,-69,-70,-69,-76,-70,-69,-69,-70,-69,-69,-71,-69,-69,-69,-70,-77,-73,-70,-69,-69,-69,-74,-69,-70,-76,-73,-70,-71,336,2.122448979591836
HDOK,PLOK,17472,10,10,-72,6,10,2,29,-73,-70,-69,-69,-75,-70,-69,-69,-71,-69,-69,-74,-77,-69,-69,-69,-76,-71,-69,-72,-69,-71,-76,-69,-70,-77,-74,-71,-69,336,3.5691609977324257
