hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,rssi_19,rssi_20,rssi_21,rssi_22,rssi_23,rssi_24,rssi_25,rssi_26,rssi_27,rssi_28,location_id,realtime_average_rssi,median_rssi,mode_rssi,rssi_variance
HDOK,PLOK,17472,1,1,-72,8,10,2,29,-75,-70,-70,-69,-77,-71,-69,-69,-72,-69,-70,-75,-76,-70,-70,-70,-77,-73,-71,-74,-71,-73,-77,-69,-71,-77,-75,-71,-69,334,-72.06896551724138,-71.0,-70.0,4.4897959183673475
HDOK,PLOK,17472,2,2,-70,8,10,2,29,-70,-65,-65,-65,-73,-66,-65,-66,-68,-66,-67,-75,-71,-67,-67,-68,-75,-70,-68,-69,-67,-69,-74,-67,-68,-75,-73,-69,-65,334,-68.72413793103448,-68.0,-67.0,4.4897959183673475
HDOK,PLOK,17472,3,3,-72,7,10,2,29,-70,-69,-70,-69,-77,-71,-70,-70,-71,-69,-70,-71,-70,-70,-70,-70,-77,-73,-69,-69,-70,-69,-75,-70,-77,-77,-73,-71,-71,334,-71.3103448275862,-70.0,-70.0,1.936507936507936
HDOK,PLOK,17472,4,4,-72,6,10,2,29,-75,-69,-70,-69,-76,-70,-69,-69,-70,-69,-69,-71,-69,-69,-69,-70,-77,-73,-69,-69,-69,-69,-74,-69,-73,-77,-74,-71,-69,334,-70.89655172413794,-69.0,-69.0,2.943310657596372
HDOK,PLOK,17472,5,5,-83,7,10,2,29,-85,-83,-81,-81,-85,-81,-80,-80,-83,-80,-80,-82,-83,-80,-80,-80,-85,-82,-81,-83,-81,-85,-87,-80,-80,-87,-88,-85,-81,334,-82.37931034482759,-81.0,-80.0,3.142857142857143
HDOK,PLOK,17472,6,6,-83,8,10,2,29,-87,-80,-81,-80,-87,-82,-80,-80,-81,-81,-81,-82,-81,-81,-80,-81,-88,-85,-81,-81,-80,-81,-86,-80,-88,-88,-85,-82,-82,334,-82.48275862068965,-81.0,-81.0,3.8548752834467113
HDOK,PLOK,17472,7,7,-83,7,10,2,29,-85,-80,-80,-81,-89,-81,-80,-80,-82,-80,-81,-87,-83,-81,-81,-81,-88,-83,-81,-81,-81,-81,-87,-81,-95,-88,-85,-83,-81,334,-83.0,-81.0,-81.0,4.086167800453515
HDOK,PLOK,17472,8,8,-84,7,10,2,29,-85,-80,-81,-83,-85,-83,-82,-80,-81,-81,-89,-80,-81,-82,-81,-88,-85,-88,-81,-81,-82,-81,-83,-82,-81,-84,-83,-81,-82,334,-82.62068965517241,-82.0,-81.0,1.6462585034013604
HDOK,PLOK,17472,9,9,-81,9,10,2,29,-83,-78,-78,-78,-87,-80,-78,-78,-79,-78,-78,-78,-78,-78,-77,-79,-87,-83,-78,-77,-77,-78,-82,-78,-79,-83,-81,-79,-81,334,-79.58620689655173,-78.0,-78.0,2.1904761904761907
HDOK,PLOK,17472,10,10,-81,8,10,2,29,-83,-78,-78,-78,-87,-79,-78,-78,-79,-77,-78,-78,-78,-78,-77,-79,-87,-82,-78,-78,-77,-78,-82,-77,-83,-87,-82,-80,-80,334,-79.79310344827586,-78.0,-78.0,2.6938775510204076
HDOK,PLOK,17472,11,11,-81,8,10,2,29,-83,-77,-78,-79,-85,-80,-79,-78,-78,-77,-79,-78,-78,-78,-78,-79,-85,-85,-77,-77,-78,-77,-82,-78,-79,-85,-81,-79,-78,334,-79.48275862068965,-78.0,-78.0,2.0861678004535142
HDOK,PLOK,17472,12,12,-79,9,10,2,29,-83,-77,-78,-77,-87,-79,-77,-77,-78,-77,-78,-78,-77,-77,-77,-78,-87,-82,-78,-77,-78,-77,-82,-77,-82,-85,-81,-79,-80,334,-79.3103448275862,-78.0,-77.0,3.0068027210884347
HDOK,PLOK,17472,13,13,-79,8,10,2,29,-92,-78,-78,-78,-87,-80,-78,-78,-79,-78,-78,-79,-79,-78,-78,-79,-87,-82,-78,-77,-78,-78,-83,-78,-85,-87,-81,-80,-78,334,-80.3103448275862,-78.0,-78.0,3.6326530612244907
