hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,rssi_19,rssi_20,rssi_21,rssi_22,rssi_23,rssi_24,rssi_25,rssi_26,rssi_27,rssi_28,location_id,realtime_average_rssi,median_rssi,mode_rssi,rssi_variance
HDOK,PLOK,17472,1,1,-93,7,10,2,29,-97,-90,-91,-91,-97,-93,-93,-91,-92,-91,-94,-91,-91,-92,-91,-99,-96,-100,-91,-91,-92,-92,-93,-93,-93,-96,-94,-93,-99,306-304,-93.34482758620689,-93.0,-91.0,3.0113378684807253
HDOK,PLOK,17472,2,2,-104,6,10,2,29,-110,-105,-105,-105,-110,-105,-104,-102,-103,-101,-104,-101,-101,-101,-101,-102,-107,-107,-101,-101,-101,-102,-104,-102,-104,-108,-105,-106,-107,306-304,-103.96551724137932,-104.0,-101.0,3.6643990929705206
HDOK,PLOK,17472,3,3,-99,7,10,2,29,-101,-97,-97,-97,-104,-100,-97,-97,-98,-97,-98,-97,-98,-98,-97,-99,-104,-105,-98,-98,-97,-97,-100,-97,-98,-102,-99,-98,-101,306-304,-98.82758620689656,-98.0,-97.0,1.6099773242630386
HDOK,PLOK,17472,4,4,-100,7,10,2,29,-110,-104,-105,-105,-113,-106,-104,-103,-105,-103,-104,-104,-104,-103,-102,-104,-111,-107,-102,-101,-100,-99,-102,-99,-101,-104,-100,-99,-97,306-304,-103.48275862068965,-104.0,-104.0,2.693877551020408
HDOK,PLOK,17472,5,5,-98,8,10,2,29,-97,-90,-91,-91,-99,-92,-91,-92,-93,-92,-92,-95,-93,-93,-93,-94,-101,-98,-95,-95,-95,-96,-101,-96,-104,-104,-101,-99,-98,306-304,-95.55172413793103,-95.0,-95.0,6.884353741496598
HDOK,PLOK,17472,6,6,-103,7,10,2,29,-107,-101,-101,-101,-109,-102,-101,-101,-102,-101,-101,-104,-102,-101,-102,-102,-109,-107,-102,-103,-103,-103,-107,-103,-105,-109,-105,-103,-106,306-304,-103.55172413793103,-103.0,-101.0,3.4195011337868473
HDOK,PLOK,17472,7,7,-95,8,10,2,29,-99,-95,-95,-95,-103,-96,-95,-95,-96,-95,-95,-96,-96,-95,-95,-96,-105,-100,-95,-95,-95,-95,-99,-95,-97,-101,-98,-96,-95,306-304,-96.65517241379311,-95.0,-95.0,1.6099773242630382
HDOK,PLOK,17472,8,8,-99,7,10,2,29,-103,-97,-99,-101,-101,-101,-100,-96,-97,-97,-106,-97,-97,-100,-98,-101,-101,-105,-98,-98,-98,-98,-99,-98,-99,-100,-98,-97,-106,306-304,-99.51724137931035,-99.0,-98.0,2.0
HDOK,PLOK,17472,9,9,-102,8,10,2,29,-105,-99,-99,-99,-106,-99,-99,-99,-101,-99,-100,-107,-103,-100,-100,-101,-109,-104,-101,-102,-101,-103,-107,-102,-107,-111,-107,-105,-105,306-304,-102.75862068965517,-102.0,-99.0,6.616780045351473
HDOK,PLOK,17472,10,10,-106,6,10,2,29,-109,-102,-104,-104,-112,-106,-105,-107,-108,-107,-109,-107,-108,-109,-108,-108,-115,-111,-108,-107,-106,-106,-110,-105,-106,-110,-106,-104,-104,306-304,-107.27586206896552,-107.0,-108.0,2.2766439909297054
HDOK,PLOK,17472,11,11,-104,7,10,2,29,-112,-107,-107,-106,-112,-106,-106,-104,-105,-104,-105,-104,-104,-104,-103,-104,-110,-109,-103,-102,-104,-102,-106,-103,-103,-107,-106,-104,-106,306-304,-105.44827586206897,-105.0,-104.0,1.619047619047619
HDOK,PLOK,17472,12,12,-104,7,10,2,29,-109,-102,-102,-102,-111,-103,-102,-103,-105,-103,-103,-104,-105,-104,-105,-105,-112,-109,-104,-104,-104,-104,-107,-104,-105,-111,-106,-104,-102,306-304,-104.96551724137932,-104.0,-104.0,2.2448979591836733
HDOK,PLOK,17472,13,13,-99,7,10,2,29,-103,-97,-98,-98,-105,-99,-98,-98,-99,-99,-99,-101,-99,-100,-99,-99,-107,-103,-99,-98,-98,-98,-102,-98,-101,-104,-101,-99,-97,306-304,-99.86206896551724,-99.0,-99.0,1.9501133786848064
HDOK,PLOK,17472,14,14,-99,7,10,2,29,-103,-96,-98,-97,-105,-99,-97,-97,-98,-97,-99,-98,-98,-98,-98,-99,-104,-105,-98,-98,-98,-98,-100,-98,-98,-103,-99,-98,-101,306-304,-99.13793103448276,-98.0,-98.0,1.6643990929705215
HDOK,PLOK,17472,15,15,-100,6,10,2,29,-105,-99,-98,-99,-106,-99,-99,-99,-101,-98,-99,-107,-102,-99,-99,-99,-106,-101,-99,-99,-99,-99,-104,-99,-106,-106,-103,-100,-100,306-304,-101.0,-99.0,-99.0,4.72562358276644
HDOK,PLOK,17472,16,16,-105,6,10,2,29,-109,-103,-103,-103,-109,-104,-102,-102,-104,-103,-103,-104,-104,-103,-103,-103,-111,-109,-104,-104,-104,-105,-109,-104,-105,-112,-107,-105,-105,306-304,-105.03448275862068,-104.0,-104.0,3.0113378684807257
HDOK,PLOK,17472,17,17,-101,7,10,2,29,-105,-98,-99,-99,-104,-101,-100,-99,-99,-99,-105,-99,-99,-100,-99,-106,-104,-106,-99,-99,-100,-99,-101,-100,-99,-104,-101,-101,-101,306-304,-100.86206896551724,-100.0,-99.0,2.8072562358276634
HDOK,PLOK,17472,18,18,-98,8,10,2,29,-103,-97,-96,-96,-103,-97,-96,-96,-98,-96,-96,-103,-105,-95,-95,-96,-103,-98,-97,-102,-96,-101,-105,-96,-97,-105,-104,-101,-98,306-304,-99.0,-97.0,-96.0,7.578231292517009
HDOK,PLOK,17472,19,19,-91,8,10,2,29,-107,-101,-101,-100,-106,-99,-96,-95,-95,-93,-94,-93,-93,-92,-92,-92,-99,-95,-91,-91,-90,-91,-95,-90,-89,-97,-93,-91,-89,306-304,-94.82758620689656,-93.0,-95.0,7.360544217687074
HDOK,PLOK,17472,20,20,-102,7,10,2,29,-104,-99,-100,-100,-109,-102,-102,-102,-104,-102,-102,-111,-107,-104,-105,-106,-112,-109,-106,-105,-103,-104,-109,-101,-103,-107,-103,-99,-98,306-304,-104.06896551724138,-104.0,-102.0,4.7891156462585025
HDOK,PLOK,17472,21,21,-105,6,10,2,29,-116,-113,-116,-116,-116,-113,-115,-113,-112,-113,-117,-112,-111,-112,-110,-115,-111,-115,-107,-106,-107,-105,-105,-105,-104,-105,-104,-102,-109,306-304,-110.51724137931035,-112.0,-116.0,12.39455782312925
HDOK,PLOK,17472,22,22,-99,7,10,2,29,-103,-96,-97,-96,-105,-99,-98,-97,-98,-97,-98,-98,-98,-98,-98,-99,-105,-105,-97,-98,-98,-98,-101,-97,-99,-95,-99,-98,-98,306-304,-98.72413793103448,-98.0,-98.0,0.7891156462585035
HDOK,PLOK,17472,23,23,-95,9,10,2,29,-101,-95,-96,-95,-100,-94,-97,-95,-94,-95,-101,-95,-95,-95,-94,-103,-99,-105,-95,-95,-95,-95,-97,-95,-95,-97,-96,-95,-95,306-304,-96.51724137931035,-95.0,-95.0,1.9637188208616774
HDOK,PLFL,17472,24,23,-96,4,10,2,29,-103,-96,-96,-95,-103,-95,-95,-95,-98,-96,-95,-105,-99,-95,-95,-96,-105,-99,-95,-96,-95,-96,-101,-95,-101,-101,-100,-97,-98,306-304,-97.79310344827586,-96.0,-95.0,4.598639455782312
HDOK,PLOK,17472,25,24,-104,7,10,2,29,-106,-100,-101,-101,-109,-101,-101,-100,-101,-100,-101,-101,-101,-101,-101,-102,-109,-106,-102,-103,-103,-103,-107,-104,-107,-109,-108,-105,-106,306-304,-103.41379310344827,-102.0,-101.0,4.857142857142857
HDOK,PLOK,17472,26,25,-96,8,10,2,29,-103,-97,-96,-96,-103,-95,-95,-95,-97,-95,-95,-103,-98,-95,-94,-95,-103,-97,-95,-96,-95,-95,-103,-94,-104,-103,-101,-99,-96,306-304,-97.6896551724138,-96.0,-95.0,7.8004535147392255
HDOK,PLOK,17472,27,26,-101,8,10,2,29,-106,-101,-102,-103,-107,-100,-102,-101,-101,-101,-103,-101,-101,-101,-37,-102,-107,-107,-97,-101,-100,-100,-104,-101,-101,-105,-103,-101,-103,306-304,-99.96551724137932,-101.0,-101.0,1.4875283446712015
HDOK,PLOK,17472,28,27,-101,8,10,2,29,-107,-100,-100,-100,-107,-100,-100,-100,-102,-99,-101,-101,-101,-100,-100,-101,-109,-104,-101,-100,-100,-101,-106,-99,-109,-106,-104,-102,-99,306-304,-102.03448275862068,-101.0,-100.0,3.578231292517006
HDOK,PLOK,17472,29,28,-100,7,10,2,29,-106,-101,-102,-101,-109,-101,-101,-101,-103,-101,-101,-103,-101,-101,-101,-101,-109,-105,-101,-99,-99,-99,-105,-99,-106,-105,-102,-100,-98,306-304,-102.10344827586206,-101.0,-101.0,2.4897959183673466
HDOK,PLOK,17472,30,29,-102,7,10,2,29,-107,-102,-102,-102,-111,-102,-103,-102,-103,-102,-103,-101,-101,-102,-102,-103,-111,-107,-103,-104,-104,-104,-107,-103,-104,-105,-103,-101,-103,306-304,-103.6896551724138,-103.0,-103.0,1.4557823129251701
HDOK,PLOK,17472,31,30,-101,7,10,2,29,-94,-88,-89,-89,-97,-88,-89,-89,-89,-89,-89,-90,-90,-91,-92,-94,-103,-101,-99,-102,-107,-111,-111,-105,-105,-104,-101,-99,-101,306-304,-96.41379310344827,-94.0,-89.0,32.71201814058958
HDOK,PLOK,17472,32,31,-99,7,10,2,29,-102,-97,-95,-95,-101,-95,-95,-96,-99,-96,-97,-103,-106,-97,-97,-97,-103,-100,-99,-105,-98,-104,-106,-98,-99,-106,-104,-101,-98,306-304,-99.62068965517241,-99.0,-97.0,6.603174603174604
HDOK,PLOK,17472,33,32,-99,8,10,2,29,-105,-98,-98,-98,-106,-98,-98,-97,-99,-97,-98,-99,-99,-98,-98,-98,-106,-101,-98,-98,-98,-98,-103,-98,-105,-105,-102,-100,-97,306-304,-99.75862068965517,-98.0,-98.0,3.741496598639455
HDOK,PLOK,17472,34,33,-103,7,10,2,29,-109,-102,-103,-103,-111,-102,-103,-102,-102,-101,-102,-102,-101,-102,-101,-103,-111,-107,-103,-102,-102,-102,-106,-102,-105,-108,-106,-105,-106,306-304,-103.93103448275862,-103.0,-102.0,2.793650793650793
