hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,rssi_19,rssi_20,rssi_21,rssi_22,rssi_23,rssi_24,rssi_25,rssi_26,rssi_27,rssi_28,location_id,rssi_variance
HDOK,PLOK,17472,1,1,-79,9,10,2,29,-83,-77,-77,-77,-85,-78,-77,-77,-78,-77,-77,-77,-77,-77,-77,-78,-85,-82,-77,-77,-77,-77,-81,-77,-78,-82,-79,-78,-77,340,1.800453514739229
HDOK,PLOK,17472,2,2,-79,9,10,2,29,-83,-77,-77,-77,-85,-79,-78,-77,-77,-77,-78,-77,-77,-77,-77,-78,-83,-85,-77,-77,-77,-77,-80,-77,-77,-81,-79,-77,-77,340,1.2698412698412695
HDOK,PLOK,17472,3,3,-78,9,10,2,29,-83,-77,-78,-79,-82,-81,-80,-77,-77,-77,-83,-77,-77,-80,-77,-79,-81,-85,-77,-77,-78,-77,-78,-77,-77,-79,-77,-77,-85,340,2.5079365079365075
HDOK,PLOK,17472,4,4,-79,9,10,2,29,-83,-77,-78,-78,-82,-81,-80,-78,-77,-77,-87,-77,-77,-79,-77,-83,-81,-85,-77,-77,-77,-77,-78,-77,-77,-80,-78,-77,-83,340,3.3922902494331066
HDOK,PLOK,17472,5,5,-79,9,10,2,29,-82,-77,-77,-77,-85,-79,-77,-77,-77,-77,-77,-77,-77,-77,-77,-78,-83,-83,-77,-77,-77,-77,-80,-77,-77,-82,-79,-77,-76,340,1.6643990929705208
HDOK,PLOK,17472,6,6,-79,9,10,2,29,-83,-77,-79,-79,-82,-81,-80,-77,-77,-77,-81,-77,-77,-79,-77,-82,-81,-87,-77,-77,-78,-77,-79,-77,-77,-80,-78,-77,-85,340,2.7210884353741496
HDOK,PLOK,17472,7,7,-79,9,10,2,29,-83,-77,-77,-79,-83,-80,-79,-77,-77,-77,-80,-77,-77,-77,-77,-81,-82,-85,-77,-77,-77,-77,-79,-77,-77,-82,-78,-77,-77,340,2.3310657596371875
HDOK,PLOK,17472,8,8,-78,9,10,2,29,-83,-77,-77,-78,-83,-80,-79,-77,-77,-77,-82,-77,-77,-77,-77,-83,-82,-85,-77,-77,-77,-77,-79,-77,-77,-80,-78,-77,-77,340,2.6167800453514736
HDOK,PLOK,17472,9,9,-79,9,10,2,29,-82,-77,-78,-78,-82,-81,-79,-77,-77,-77,-85,-77,-77,-78,-77,-85,-82,-85,-77,-77,-77,-77,-79,-77,-77,-80,-78,-77,-83,340,3.2925170068027207
HDOK,PLOK,17472,10,10,-79,9,10,2,29,-83,-77,-78,-77,-85,-79,-78,-77,-77,-77,-78,-77,-77,-77,-77,-78,-83,-83,-77,-77,-77,-77,-80,-77,-78,-82,-79,-77,-77,340,1.5827664399092969
HDOK,PLOK,17472,11,11,-79,9,10,2,29,-82,-79,-77,-77,-83,-77,-77,-78,-80,-77,-77,-87,-87,-77,-77,-77,-83,-79,-78,-84,-77,-82,-85,-77,-77,-83,-83,-80,-78,340,5.609977324263038
HDOK,PLOK,17472,12,12,-79,9,10,2,29,-83,-77,-77,-77,-85,-79,-77,-77,-78,-77,-77,-77,-77,-77,-77,-78,-85,-82,-77,-77,-77,-77,-82,-77,-82,-83,-81,-78,-80,340,3.4421768707483005
HDOK,PLOK,17472,13,13,-79,9,10,2,29,-82,-77,-78,-77,-83,-80,-79,-77,-77,-77,-79,-77,-77,-77,-77,-78,-83,-85,-77,-77,-77,-77,-80,-77,-77,-82,-78,-77,-77,340,1.8367346938775502
HDOK,PLOK,17472,14,14,-79,9,10,2,29,-83,-77,-79,-88,-82,-81,-79,-77,-77,-77,-83,-77,-77,-78,-77,-85,-82,-87,-77,-77,-77,-77,-79,-77,-77,-80,-79,-77,-82,340,4.18140589569161
HDOK,PLOK,17472,15,15,-79,9,10,2,29,-82,-77,-78,-77,-85,-79,-77,-77,-77,-77,-77,-77,-77,-77,-77,-78,-85,-82,-78,-77,-77,-77,-81,-77,-78,-83,-80,-78,-77,340,1.990929705215419
HDOK,PLOK,17472,16,16,-79,9,10,2,29,-83,-77,-77,-77,-85,-78,-77,-77,-78,-77,-77,-82,-78,-77,-77,-77,-85,-81,-77,-77,-77,-77,-83,-77,-83,-85,-83,-80,-77,340,5.197278911564625
HDOK,PLOK,17472,17,17,-79,9,10,2,29,-83,-77,-78,-77,-85,-79,-78,-77,-78,-77,-77,-77,-77,-77,-77,-78,-85,-82,-77,-77,-77,-77,-82,-77,-83,-85,-81,-79,-79,340,3.578231292517006
HDOK,PLOK,17472,18,18,-79,9,10,2,29,-83,-77,-79,-81,-83,-81,-80,-77,-77,-77,-89,-77,-77,-78,-77,-85,-83,-87,-77,-77,-78,-77,-80,-77,-77,-82,-79,-78,-82,340,4.521541950113378
HDOK,PLOK,17472,19,19,-79,9,10,2,29,-83,-77,-77,-77,-83,-80,-79,-77,-77,-77,-79,-77,-77,-77,-77,-78,-83,-83,-77,-77,-77,-77,-80,-77,-77,-83,-79,-77,-77,340,2.3718820861678
HDOK,PLOK,17472,20,20,-81,8,10,2,29,-83,-77,-77,-78,-83,-78,-78,-79,-80,-78,-78,-89,-81,-78,-77,-78,-85,-80,-79,-82,-78,-81,-87,-78,-79,-85,-85,-81,-77,340,4.18140589569161
HDOK,PLOK,17472,21,21,-81,8,10,2,29,-83,-77,-77,-77,-85,-78,-77,-77,-79,-77,-77,-81,-79,-78,-78,-79,-87,-82,-79,-80,-79,-79,-85,-79,-82,-87,-82,-80,-81,340,3.0113378684807257
HDOK,PLOK,17472,22,22,-79,8,10,2,29,-83,-77,-77,-77,-83,-77,-77,-77,-79,-77,-77,-87,-82,-77,-77,-77,-85,-80,-77,-78,-77,-78,-83,-77,-81,-85,-82,-79,-77,340,4.6984126984126995
HDOK,PLOK,17472,23,23,-78,8,10,2,29,-76,-76,-77,-77,-85,-78,-77,-77,-78,-77,-77,-78,-77,-77,-77,-78,-87,-82,-77,-77,-77,-77,-81,-76,-76,-82,-78,-77,-79,340,0.9160997732426305
HDOK,PLOK,17472,24,24,-83,7,10,2,29,-85,-79,-79,-79,-85,-80,-79,-80,-81,-80,-79,-85,-84,-80,-80,-80,-87,-82,-81,-84,-81,-84,-88,-80,-81,-88,-87,-83,-81,340,3.8231292517006814
HDOK,PLOK,17472,25,25,-78,9,10,2,29,-82,-77,-78,-77,-85,-80,-79,-77,-77,-77,-78,-77,-77,-77,-77,-78,-83,-83,-77,-76,-77,-76,-80,-76,-77,-83,-78,-77,-77,340,1.7732426303854874
HDOK,PLOK,17472,26,26,-79,9,10,2,29,-83,-78,-77,-77,-85,-77,-77,-77,-79,-77,-77,-85,-75,-77,-77,-77,-85,-80,-77,-78,-77,-77,-83,-77,-88,-83,-82,-79,-77,340,4.916099773242631
HDOK,PLOK,17472,27,27,-79,9,10,2,29,-83,-78,-78,-77,-87,-77,-77,-77,-79,-77,-77,-82,-79,-77,-77,-78,-85,-81,-78,-78,-77,-78,-83,-77,-88,-83,-82,-80,-79,340,4.045351473922902
HDOK,PLOK,17472,28,28,-79,9,10,2,29,-83,-77,-78,-77,-85,-77,-77,-77,-79,-77,-77,-78,-78,-77,-77,-78,-85,-82,-78,-78,-77,-78,-83,-77,-81,-85,-82,-79,-80,340,3.378684807256235
HDOK,PLOK,17472,29,29,-79,9,10,2,29,-83,-77,-78,-77,-87,-77,-77,-77,-79,-77,-78,-78,-78,-78,-77,-79,-87,-82,-78,-78,-78,-78,-82,-78,-83,-83,-82,-80,-78,340,3.1700680272108834
HDOK,PLOK,17472,30,30,-79,9,10,2,29,-82,-77,-77,-77,-83,-77,-77,-77,-79,-77,-77,-85,-81,-77,-77,-77,-85,-80,-78,-82,-78,-82,-85,-77,-78,-85,-85,-81,-78,340,5.868480725623583
HDOK,PLOK,17472,31,31,-79,9,10,2,29,-83,-77,-79,-78,-85,-78,-80,-78,-78,-77,-79,-78,-78,-78,-78,-79,-85,-85,-77,-77,-78,-77,-81,-78,-78,-82,-80,-78,-77,340,1.4829931972789112
HDOK,PLOK,17472,32,32,-79,8,10,2,29,-85,-79,-80,-79,-87,-79,-80,-78,-79,-79,-79,-79,-78,-78,-78,-79,-85,-85,-77,-78,-78,-78,-82,-78,-80,-82,-81,-79,-79,340,1.346938775510204
HDOK,PLOK,17472,33,33,-82,7,10,2,29,-92,-80,-81,-82,-85,-80,-82,-80,-80,-80,-83,-80,-80,-80,-80,-88,-85,-87,-79,-80,-80,-79,-82,-80,-80,-81,-81,-80,-83,340,1.854875283446712
HDOK,PLOK,17472,34,34,-79,9,10,2,29,-83,-77,-77,-77,-85,-77,-77,-77,-79,-77,-77,-83,-79,-77,-77,-77,-85,-81,-77,-78,-77,-78,-83,-77,-89,-83,-82,-79,-79,340,4.8480725623582765
HDOK,PLOK,17472,35,35,-83,8,10,2,29,-87,-81,-81,-81,-88,-82,-81,-81,-83,-81,-82,-83,-82,-82,-82,-82,-89,-85,-81,-81,-81,-81,-85,-81,-89,-85,-83,-81,-80,340,1.8367346938775502
HDOK,PLOK,17472,36,36,-81,8,10,2,29,-87,-80,-81,-80,-87,-80,-81,-80,-80,-79,-81,-79,-79,-79,-79,-80,-85,-87,-78,-78,-79,-78,-81,-78,-79,-81,-81,-80,-79,340,0.6575963718820862
HDOK,PLOK,17472,37,37,-81,9,10,2,29,-83,-77,-78,-78,-87,-78,-78,-77,-79,-78,-78,-78,-78,-77,-77,-78,-87,-82,-78,-78,-78,-78,-83,-78,-83,-83,-81,-80,-81,340,3.0385487528344663
HDOK,PLOK,17472,38,38,-77,9,10,2,29,-82,-77,-77,-76,-85,-76,-76,-77,-78,-77,-76,-83,-78,-76,-76,-77,-85,-80,-77,-77,-76,-77,-82,-76,-80,-83,-82,-78,-76,340,3.990929705215419
HDOK,PLOK,17472,39,39,-81,8,10,2,29,-83,-78,-78,-78,-85,-77,-77,-78,-80,-77,-77,-87,-82,-77,-77,-78,-85,-81,-78,-78,-78,-80,-85,-78,-80,-87,-83,-81,-80,340,4.721088435374149
HDOK,PLOK,17472,40,40,-84,9,10,2,29,-87,-82,-82,-82,-89,-82,-82,-82,-83,-82,-83,-84,-83,-82,-82,-83,-91,-86,-82,-83,-83,-82,-87,-81,-87,-87,-87,-83,-84,340,3.0068027210884347
HDOK,PLOK,17472,41,41,-78,9,10,2,29,-82,-76,-77,-77,-81,-76,-79,-76,-77,-77,-85,-77,-77,-79,-77,-85,-82,-85,-77,-77,-78,-77,-79,-77,-77,-78,-77,-76,-76,340,2.0861678004535147
HDOK,PLOK,17472,42,42,-79,9,10,2,29,-83,-77,-77,-77,-87,-77,-77,-77,-78,-77,-77,-77,-77,-77,-77,-78,-85,-82,-77,-77,-77,-77,-81,-77,-82,-82,-81,-78,-80,340,3.1700680272108834
HDOK,PLOK,17472,43,43,-79,9,10,2,29,-82,-77,-78,-77,-85,-77,-78,-77,-78,-77,-77,-77,-77,-77,-77,-78,-85,-82,-76,-77,-77,-76,-80,-76,-77,-81,-78,-77,-76,340,1.1020408163265303
HDOK,PLOK,17472,44,44,-79,9,10,2,29,-83,-77,-77,-77,-87,-77,-77,-77,-78,-77,-77,-77,-77,-77,-77,-78,-85,-83,-77,-77,-77,-77,-81,-77,-78,-81,-81,-78,-77,340,1.8956916099773242
HDOK,PLOK,17472,45,45,-78,9,10,2,29,-83,-76,-77,-76,-83,-76,-76,-76,-78,-77,-76,-85,-79,-76,-76,-77,-85,-79,-77,-77,-77,-77,-83,-76,-79,-83,-81,-79,-78,340,4.285714285714286
HDOK,PLOK,17472,46,46,-79,9,10,2,29,-81,-75,-76,-75,-83,-75,-76,-76,-78,-77,-77,-85,-81,-77,-77,-78,-87,-80,-77,-78,-77,-77,-83,-77,-81,-83,-82,-79,-77,340,4.140589569160997
HDOK,PLOK,17472,47,47,-82,8,10,2,29,-83,-81,-79,-79,-85,-79,-80,-79,-82,-80,-80,-85,-88,-80,-79,-80,-87,-82,-81,-83,-80,-83,-87,-79,-80,-87,-84,-82,-80,340,3.2834467120181396
