hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,rssi_19,rssi_20,rssi_21,rssi_22,rssi_23,rssi_24,rssi_25,rssi_26,rssi_27,rssi_28,location_id,rssi_variance
HDOK,PLOK,17472,1,1,-94,6,10,2,29,-99,-93,-93,-93,-101,-94,-94,-93,-95,-94,-94,-95,-94,-93,-93,-94,-101,-99,-93,-93,-93,-93,-97,-93,-97,-100,-97,-95,-97,354,2.997732426303854
HDOK,PLOK,17472,2,2,-96,9,10,2,29,-101,-93,-95,-95,-103,-96,-95,-95,-95,-95,-95,-95,-95,-95,-95,-96,-101,-101,-95,-95,-95,-95,-97,-95,-95,-100,-96,-95,-95,354,1.2970521541950115
HDOK,PLOK,17472,3,3,-96,8,10,2,29,-100,-95,-95,-95,-103,-95,-95,-95,-97,-95,-95,-100,-96,-95,-95,-96,-103,-99,-95,-95,-95,-95,-100,-95,-103,-103,-99,-96,-98,354,3.6780045351473922
HDOK,PLOK,17472,4,4,-94,8,10,2,29,-99,-93,-93,-94,-99,-95,-94,-92,-93,-92,-97,-93,-92,-93,-93,-100,-97,-100,-93,-93,-93,-93,-94,-94,-93,-97,-95,-95,-96,354,2.058956916099773
HDOK,PLOK,17472,5,5,-96,8,10,2,29,-101,-95,-96,-96,-103,-97,-96,-96,-97,-96,-97,-97,-97,-97,-97,-98,-105,-101,-97,-95,-96,-96,-100,-97,-98,-101,-98,-97,-96,354,1.5827664399092969
HDOK,PLOK,17472,6,6,-98,8,10,2,29,-105,-98,-96,-95,-103,-96,-95,-95,-96,-95,-96,-96,-96,-96,-95,-97,-103,-103,-97,-97,-97,-97,-100,-98,-97,-101,-98,-97,-101,354,2.562358276643991
HDOK,PLOK,17472,7,7,-95,9,10,2,29,-101,-96,-98,-97,-101,-99,-98,-95,-94,-94,-105,-94,-93,-97,-94,-99,-98,-103,-93,-94,-95,-94,-95,-94,-95,-97,-95,-95,-95,354,2.848072562358276
HDOK,PLOK,17472,8,8,-96,9,10,2,29,-103,-95,-95,-95,-103,-97,-95,-94,-95,-95,-96,-94,-94,-95,-95,-98,-100,-103,-95,-95,-95,-95,-97,-95,-95,-100,-96,-96,-103,354,2.426303854875283
HDOK,PLOK,17472,9,9,-95,9,10,2,29,-101,-95,-95,-94,-103,-95,-95,-94,-95,-94,-95,-94,-94,-93,-93,-95,-101,-100,-93,-94,-95,-94,-97,-94,-95,-99,-97,-95,-99,354,2.18140589569161
HDOK,PLOK,17472,10,10,-95,9,10,2,29,-103,-95,-95,-94,-103,-96,-95,-94,-95,-94,-95,-95,-94,-94,-94,-95,-101,-100,-94,-94,-94,-94,-98,-94,-95,-100,-96,-95,-93,354,2.0861678004535142
HDOK,PLOK,17472,11,11,-120,-5,10,2,29,-114,-115,-114,-115,-116,-114,-114,-114,-117,-114,-113,-116,-119,-114,-116,-118,-118,-118,-118,-119,-118,-119,-118,-114,-117,-117,-116,-114,-113,354,2.503401360544217
HDOK,PLOK,17472,12,12,-92,7,10,2,29,-99,-93,-93,-93,-100,-93,-92,-93,-94,-93,-92,-100,-93,-92,-92,-92,-99,-95,-92,-91,-92,-91,-95,-90,-97,-99,-93,-92,-91,354,3.174603174603175
HDOK,PLOK,17472,13,13,-99,7,10,2,29,-99,-93,-95,-94,-100,-97,-95,-93,-94,-94,-97,-95,-95,-95,-95,-101,-101,-105,-97,-98,-99,-99,-101,-100,-99,-103,-101,-99,-99,354,4.816326530612245
HDOK,PLOK,17472,14,14,-103,7,10,2,29,-111,-106,-107,-106,-111,-107,-107,-105,-105,-105,-107,-106,-105,-105,-104,-107,-109,-112,-104,-104,-104,-103,-105,-102,-102,-104,-102,-101,-106,354,1.4603174603174602
HDOK,PLOK,17472,15,15,-94,6,10,2,29,-99,-93,-93,-93,-100,-94,-93,-93,-93,-93,-93,-93,-93,-93,-93,-94,-100,-99,-93,-93,-93,-93,-96,-93,-94,-99,-95,-93,-97,354,2.503401360544217
HDOK,PLOK,17472,16,16,-94,7,10,2,29,-95,-93,-95,-95,-99,-97,-96,-93,-93,-93,-105,-93,-94,-95,-94,-97,-98,-101,-93,-93,-94,-94,-95,-94,-94,-96,-95,-93,-94,354,1.387755102040816
HDOK,PLOK,17472,17,17,-95,9,10,2,29,-101,-95,-96,-95,-103,-98,-96,-95,-96,-95,-96,-95,-95,-95,-95,-97,-101,-103,-95,-95,-95,-95,-98,-95,-95,-99,-97,-95,-95,354,1.4557823129251701
HDOK,PLFL,17472,18,17,-95,4,10,2,29,-95,-94,-96,-98,-100,-98,-98,-95,-95,-95,-105,-95,-95,-97,-95,-102,-99,-103,-95,-95,-96,-95,-96,-95,-96,-98,-95,-96,-103,354,2.317460317460317
HDOK,PLOK,17472,19,18,-94,6,10,2,29,-99,-93,-94,-93,-101,-95,-94,-93,-94,-93,-94,-94,-93,-93,-93,-94,-101,-99,-94,-93,-93,-93,-97,-94,-95,-99,-95,-93,-93,354,2.122448979591836
HDOK,PLOK,17472,20,19,-99,7,10,2,29,-102,-95,-97,-97,-103,-99,-98,-96,-97,-96,-101,-96,-95,-97,-97,-105,-101,-105,-97,-97,-98,-97,-99,-98,-98,-99,-98,-98,-105,354,2.3129251700680262
HDOK,PLOK,17472,21,20,-96,8,10,2,29,-99,-92,-93,-93,-100,-95,-94,-93,-94,-94,-94,-93,-94,-94,-94,-96,-101,-101,-95,-95,-96,-95,-99,-96,-97,-101,-99,-97,-100,354,4.013605442176872
HDOK,PLOK,17472,22,21,-99,7,10,2,29,-105,-98,-99,-98,-105,-101,-100,-98,-99,-99,-101,-98,-98,-99,-98,-105,-103,-106,-98,-98,-99,-98,-99,-99,-99,-101,-99,-98,-99,354,1.6099773242630386
HDOK,PLOK,17472,23,22,-99,7,10,2,29,-103,-98,-100,-100,-103,-98,-101,-98,-99,-98,-106,-98,-98,-101,-99,-99,-101,-106,-98,-98,-99,-98,-99,-98,-99,-99,-98,-98,-98,354,1.0929705215419498
HDOK,PLOK,17472,24,23,-99,7,10,2,29,-105,-99,-99,-99,-107,-99,-99,-99,-100,-99,-99,-101,-99,-99,-99,-99,-106,-103,-99,-99,-98,-98,-102,-98,-106,-102,-101,-99,-100,354,1.5147392290249433
