hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,rssi_19,rssi_20,rssi_21,rssi_22,rssi_23,rssi_24,rssi_25,rssi_26,rssi_27,rssi_28,location_id,realtime_average_rssi,median_rssi,mode_rssi,rssi_variance
HDOK,PLOK,17472,1,1,-72,7,10,2,29,-71,-65,-68,-76,-71,-70,-72,-65,-67,-67,-79,-67,-67,-68,-68,-75,-73,-76,-68,-68,-69,-68,-71,-69,-69,-72,-71,-69,-70,point3,-69.96551724137932,-69.0,-68.0,2.9160997732426304
HDOK,PLOK,17472,2,2,-73,8,10,2,29,-73,-67,-68,-67,-75,-69,-68,-67,-67,-67,-68,-68,-68,-68,-68,-69,-76,-75,-70,-69,-70,-69,-74,-70,-72,-79,-75,-74,-74,point3,-70.48275862068965,-69.0,-68.0,6.045351473922902
HDOK,PLOK,17472,3,3,-72,8,10,2,29,-77,-72,-74,-73,-80,-76,-75,-74,-75,-75,-76,-75,-75,-75,-74,-76,-81,-81,-74,-72,-71,-71,-73,-69,-69,-72,-69,-67,-70,point3,-73.82758620689656,-74.0,-75.0,3.0612244897959178
HDOK,PLOK,17472,4,4,-70,7,10,2,29,-73,-67,-68,-68,-75,-69,-68,-67,-68,-67,-68,-68,-67,-67,-67,-68,-75,-73,-67,-67,-67,-67,-71,-67,-71,-75,-70,-68,-67,point3,-68.96551724137932,-68.0,-67.0,2.585034013605442
HDOK,PLOK,17472,5,5,-72,8,10,2,29,-71,-67,-67,-67,-76,-69,-68,-68,-69,-69,-70,-71,-71,-70,-71,-71,-79,-75,-71,-71,-70,-71,-76,-69,-77,-77,-73,-69,-69,point3,-71.10344827586206,-71.0,-71.0,3.746031746031747
HDOK,PLOK,17472,6,6,-72,7,10,2,29,-73,-66,-68,-67,-75,-69,-68,-67,-68,-67,-68,-68,-67,-67,-68,-69,-75,-73,-68,-68,-68,-69,-72,-69,-72,-76,-73,-71,-73,point3,-69.72413793103448,-68.0,-68.0,4.0317460317460325
HDOK,PLOK,17472,7,7,-68,9,10,2,29,-71,-65,-66,-66,-75,-67,-65,-65,-67,-65,-65,-71,-67,-65,-65,-66,-75,-69,-66,-67,-65,-66,-73,-65,-67,-73,-71,-68,-65,point3,-67.62068965517241,-66.0,-65.0,3.8956916099773236
HDOK,PLOK,17472,8,8,-74,9,10,2,29,-81,-74,-75,-75,-80,-76,-75,-73,-73,-72,-74,-72,-72,-72,-71,-73,-79,-77,-72,-71,-71,-71,-74,-71,-71,-76,-74,-71,-71,point3,-73.6896551724138,-73.0,-71.0,2.5986394557823123
HDOK,PLOK,17472,9,9,-73,9,10,2,29,-77,-71,-72,-72,-77,-75,-73,-71,-71,-71,-74,-71,-71,-71,-71,-74,-77,-79,-71,-71,-71,-71,-74,-72,-71,-76,-73,-72,-76,point3,-72.96551724137932,-72.0,-71.0,2.8208616780045355
HDOK,PLOK,17472,10,10,-71,7,10,2,29,-75,-69,-70,-70,-76,-71,-71,-69,-69,-69,-71,-69,-69,-69,-69,-70,-75,-75,-70,-69,-69,-69,-71,-69,-69,-75,-71,-69,-73,point3,-70.6896551724138,-70.0,-69.0,2.3129251700680262
HDOK,PLOK,17472,11,11,-71,7,10,2,29,-74,-68,-69,-69,-75,-70,-70,-68,-69,-68,-69,-69,-68,-69,-69,-70,-75,-75,-69,-68,-69,-69,-71,-68,-69,-75,-71,-69,-68,point3,-70.0,-69.0,-69.0,1.673469387755102
HDOK,PLOK,17472,12,12,-73,9,10,2,29,-75,-69,-71,-70,-77,-72,-71,-70,-70,-70,-71,-70,-70,-70,-70,-71,-77,-76,-71,-69,-70,-69,-74,-70,-71,-76,-73,-71,-73,point3,-71.62068965517241,-71.0,-70.0,2.0272108843537406
HDOK,PLOK,17472,13,13,-71,7,10,2,29,-73,-68,-68,-68,-75,-70,-69,-68,-68,-67,-68,-68,-68,-68,-68,-69,-75,-73,-67,-68,-67,-68,-71,-67,-70,-75,-70,-69,-68,point3,-69.34482758620689,-68.0,-68.0,1.678004535147392
HDOK,PLOK,17472,14,14,-72,8,10,2,29,-75,-70,-70,-70,-77,-71,-69,-70,-70,-70,-70,-71,-69,-70,-70,-70,-77,-75,-69,-70,-70,-70,-75,-69,-79,-77,-75,-72,-70,point3,-71.72413793103448,-70.0,-70.0,3.741496598639455
HDOK,PLOK,17472,15,15,-72,7,10,2,29,-75,-69,-70,-69,-77,-70,-69,-69,-70,-69,-69,-75,-71,-69,-68,-69,-77,-73,-69,-70,-69,-70,-76,-70,-73,-79,-74,-72,-71,point3,-71.41379310344827,-70.0,-69.0,3.9637188208616787
HDOK,PLOK,17472,16,16,-72,6,10,2,29,-75,-69,-69,-69,-77,-70,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-77,-73,-69,-69,-69,-69,-74,-69,-77,-76,-72,-70,-69,point3,-70.75862068965517,-69.0,-69.0,3.2834467120181396
HDOK,PLOK,17472,17,17,-72,7,10,2,29,-81,-75,-75,-74,-81,-74,-73,-72,-74,-71,-71,-74,-72,-71,-71,-71,-79,-74,-71,-70,-71,-70,-75,-70,-79,-77,-72,-71,-71,point3,-73.44827586206897,-72.0,-71.0,3.2018140589569155
HDOK,PLOK,17472,18,18,-71,8,10,2,29,-75,-69,-70,-71,-74,-71,-71,-69,-69,-68,-73,-68,-68,-69,-68,-75,-73,-76,-69,-69,-69,-69,-70,-68,-69,-71,-70,-69,-73,point3,-70.44827586206897,-69.0,-69.0,2.1405895691609973
HDOK,PLOK,17472,19,19,-71,8,10,2,29,-72,-68,-68,-68,-76,-69,-68,-68,-69,-68,-68,-72,-69,-68,-68,-68,-76,-71,-69,-69,-68,-69,-75,-69,-71,-76,-73,-71,-69,point3,-70.10344827586206,-69.0,-68.0,2.3401360544217686
HDOK,PLOK,17472,20,20,-73,9,10,2,29,-76,-72,-70,-70,-76,-71,-70,-71,-73,-70,-70,-81,-79,-70,-70,-70,-76,-72,-71,-77,-71,-77,-79,-70,-71,-77,-77,-74,-71,point3,-73.17241379310344,-71.0,-70.0,6.88888888888889
HDOK,PLOK,17472,21,21,-73,9,10,2,29,-77,-70,-71,-71,-79,-72,-71,-70,-71,-70,-71,-71,-71,-71,-70,-71,-79,-76,-70,-71,-71,-71,-75,-70,-72,-77,-73,-71,-71,point3,-72.20689655172414,-71.0,-71.0,2.058956916099773
HDOK,PLOK,17472,22,22,-73,9,10,2,29,-76,-70,-71,-70,-79,-71,-70,-70,-71,-70,-70,-71,-71,-70,-70,-71,-79,-75,-70,-70,-71,-70,-75,-70,-77,-77,-75,-72,-70,point3,-72.13793103448276,-71.0,-70.0,3.7687074829931966
HDOK,PLOK,17472,23,23,-74,9,10,2,29,-77,-72,-74,-77,-77,-76,-75,-71,-72,-71,-81,-72,-72,-73,-71,-81,-77,-81,-71,-71,-72,-71,-74,-71,-71,-76,-73,-72,-76,point3,-74.06896551724138,-73.0,-71.0,4.630385487528345
HDOK,PLOK,17472,24,24,-72,9,10,2,29,-76,-70,-69,-70,-77,-71,-69,-70,-71,-69,-70,-74,-71,-70,-69,-70,-77,-73,-70,-71,-69,-71,-76,-69,-77,-79,-75,-71,-71,point3,-71.89655172413794,-71.0,-71.0,4.3310657596371875
HDOK,PLOK,17472,25,25,-72,8,10,2,29,-76,-69,-71,-70,-76,-73,-71,-69,-70,-69,-79,-69,-69,-70,-69,-72,-76,-77,-70,-69,-70,-69,-73,-71,-70,-76,-72,-71,-69,point3,-71.55172413793103,-70.0,-69.0,4.095238095238095
HDOK,PLOK,17472,26,26,-72,6,10,2,29,-76,-70,-70,-69,-79,-71,-70,-69,-70,-70,-70,-71,-70,-70,-70,-70,-77,-75,-69,-69,-70,-69,-75,-70,-79,-77,-74,-71,-70,point3,-71.72413793103448,-70.0,-70.0,3.9501133786848066
HDOK,PLOK,17472,27,27,-72,6,10,2,29,-70,-69,-70,-70,-77,-70,-69,-69,-70,-69,-69,-70,-69,-69,-69,-70,-77,-73,-69,-69,-70,-69,-74,-69,-77,-76,-73,-71,-71,point3,-70.93103448275862,-70.0,-69.0,2.058956916099773
HDOK,PLOK,17472,28,28,-72,8,10,2,29,-76,-69,-69,-69,-77,-71,-69,-69,-71,-69,-69,-71,-71,-69,-69,-70,-77,-75,-70,-70,-69,-70,-75,-69,-76,-77,-74,-71,-69,point3,-71.37931034482759,-70.0,-69.0,4.820861678004536
HDOK,PLOK,17472,29,29,-72,9,10,2,29,-71,-71,-70,-70,-77,-71,-70,-70,-72,-70,-70,-77,-72,-70,-70,-70,-79,-73,-71,-71,-70,-71,-76,-70,-73,-79,-74,-72,-71,point3,-72.10344827586206,-71.0,-70.0,2.3310657596371875
HDOK,PLOK,17472,30,30,-73,9,10,2,29,-76,-70,-71,-71,-77,-73,-72,-70,-71,-71,-71,-70,-71,-71,-71,-71,-77,-77,-70,-70,-71,-70,-74,-70,-71,-76,-73,-71,-74,point3,-72.10344827586206,-71.0,-71.0,2.235827664399092
HDOK,PLOK,17472,31,31,-75,8,10,2,29,-78,-73,-73,-73,-81,-74,-73,-72,-74,-72,-73,-74,-73,-73,-72,-73,-81,-77,-73,-73,-74,-73,-77,-73,-81,-81,-76,-75,-73,point3,-74.75862068965517,-73.0,-73.0,2.426303854875283
