hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,rssi_19,rssi_20,rssi_21,rssi_22,rssi_23,rssi_24,rssi_25,rssi_26,rssi_27,rssi_28,location_id,realtime_average_rssi,median_rssi,mode_rssi,rssi_variance
HDOK,PLOK,17472,37,37,-55,6,10,2,29,-54,-50,-51,-50,-58,-50,-50,-50,-51,-50,-51,-51,-51,-50,-50,-51,-58,-57,-51,-51,-51,-51,-54,-51,-53,-55,-53,-51,-51,1m,-51.89655172413793,-51.0,-51.0,1.3469387755102038
HDOK,PLOK,17472,38,38,-55,6,10,2,29,-57,-51,-51,-51,-59,-51,-51,-51,-52,-51,-50,-55,-53,-50,-50,-51,-58,-53,-51,-51,-50,-51,-56,-51,-55,-57,-55,-56,-51,1m,-52.724137931034484,-51.0,-51.0,3.4421768707482983
HDOK,PLOK,17472,39,39,-55,6,10,2,29,-52,-51,-51,-51,-59,-51,-51,-51,-51,-51,-51,-52,-51,-51,-51,-52,-59,-55,-51,-51,-51,-51,-56,-51,-52,-55,-54,-52,-53,1m,-52.3448275862069,-51.0,-51.0,1.1746031746031749
HDOK,PLOK,17472,40,40,-55,6,10,2,29,-57,-51,-52,-51,-57,-51,-51,-51,-53,-51,-51,-61,-56,-51,-51,-51,-58,-53,-51,-53,-51,-52,-58,-51,-53,-58,-56,-53,-52,1m,-53.275862068965516,-52.0,-51.0,4.126984126984128
HDOK,PLOK,17472,41,41,-55,6,10,2,29,-56,-50,-51,-51,-58,-50,-51,-50,-51,-51,-51,-50,-50,-50,-50,-52,-57,-57,-50,-51,-51,-51,-53,-50,-51,-53,-52,-51,-50,1m,-51.689655172413794,-51.0,-51.0,0.7619047619047619
HDOK,PLOK,17472,42,42,-55,6,10,2,29,-57,-50,-51,-50,-58,-50,-51,-51,-51,-50,-51,-51,-50,-51,-50,-52,-57,-57,-51,-51,-51,-51,-53,-50,-51,-54,-53,-51,-51,1m,-51.89655172413793,-51.0,-51.0,0.9433106575963719
HDOK,PLOK,17472,43,43,-55,7,10,2,29,-56,-50,-50,-50,-58,-50,-50,-50,-51,-50,-50,-52,-51,-50,-50,-51,-58,-55,-51,-51,-50,-51,-55,-50,-59,-56,-53,-51,-52,1m,-52.10344827586207,-51.0,-50.0,3.197278911564626
HDOK,PLOK,17472,44,44,-54,7,10,2,29,-57,-50,-50,-50,-57,-50,-50,-50,-51,-50,-50,-53,-51,-50,-50,-51,-58,-53,-51,-51,-50,-51,-56,-50,-57,-57,-55,-52,-50,1m,-52.10344827586207,-51.0,-50.0,4.249433106575966
HDOK,PLOK,17472,45,45,-54,7,10,2,29,-56,-51,-50,-50,-58,-50,-50,-51,-52,-51,-51,-61,-54,-50,-51,-51,-58,-53,-51,-53,-51,-52,-58,-51,-52,-58,-55,-53,-51,1m,-52.86206896551724,-51.0,-51.0,3.82312925170068
HDOK,PLOK,17472,46,46,-54,7,10,2,29,-57,-50,-50,-50,-58,-50,-50,-50,-51,-50,-50,-51,-51,-50,-50,-51,-59,-55,-50,-51,-50,-50,-55,-50,-59,-55,-55,-51,-52,1m,-52.10344827586207,-51.0,-50.0,3.4603174603174605
HDOK,PLOK,17472,47,47,-54,7,10,2,29,-55,-50,-50,-50,-57,-50,-50,-51,-56,-50,-50,-60,-58,-51,-50,-50,-57,-52,-51,-58,-51,-60,-58,-50,-51,-58,-57,-54,-50,1m,-53.275862068965516,-51.0,-50.0,9.29705215419501
HDOK,PLOK,17472,48,48,-54,7,10,2,29,-57,-50,-51,-50,-58,-50,-50,-50,-51,-50,-50,-51,-51,-50,-50,-51,-58,-55,-51,-50,-49,-50,-54,-50,-54,-55,-54,-51,-52,1m,-51.827586206896555,-51.0,-50.0,2.4671201814058956
HDOK,PLOK,17472,49,49,-55,7,10,2,29,-55,-50,-51,-50,-58,-50,-50,-50,-51,-50,-51,-50,-50,-50,-50,-51,-58,-55,-51,-50,-50,-50,-54,-50,-53,-55,-53,-51,-50,1m,-51.62068965517241,-50.0,-50.0,2.0952380952380953
HDOK,PLOK,17472,50,50,-55,7,10,2,29,-57,-50,-51,-50,-58,-51,-50,-50,-51,-50,-50,-56,-52,-50,-50,-51,-59,-53,-51,-51,-51,-51,-57,-50,-53,-56,-56,-53,-50,1m,-52.3448275862069,-51.0,-50.0,3.8956916099773244
