hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,rssi_19,rssi_20,rssi_21,rssi_22,rssi_23,rssi_24,rssi_25,rssi_26,rssi_27,rssi_28,location_id,rssi_variance
HDOK,PLOK,17472,1,1,-131,-14,10,2,29,-117,-118,-118,-119,-119,-119,-118,-117,-118,-118,-119,-118,-118,-119,-118,-119,-118,-118,-119,-119,-118,-118,-119,-119,-117,-119,-118,-118,-118,point1,0.22222222222222224
HDOK,PLOK,17472,2,2,-133,-15,10,2,29,-119,-118,-118,-118,-121,-121,-119,-118,-117,-118,-118,-119,-117,-119,-121,-118,-118,-121,-117,-118,-121,-117,-118,-118,-118,-117,-119,-119,-118,point1,0.6167800453514739
HDOK,PLFL,33856,3,2,-134,-17,10,2,29,-119,-118,-118,-116,-118,-118,-119,-118,-118,-119,-119,-119,-119,-118,-118,-119,-119,-118,-119,-119,-119,-118,-117,-119,-118,-118,-118,-118,-119,point1,0.2448979591836735
HDOK,PLOK,17472,4,3,-133,-15,10,2,29,-117,-118,-119,-118,-119,-118,-118,-118,-117,-119,-121,-119,-119,-118,-117,-118,-119,-118,-118,-119,-118,-119,-118,-117,-118,-118,-118,-117,-118,point1,0.2494331065759637
HDOK,PLOK,17472,5,4,-134,-17,10,2,29,-117,-118,-118,-117,-118,-118,-119,-118,-119,-117,-118,-119,-117,-119,-118,-118,-117,-118,-118,-119,-121,-116,-119,-119,-117,-118,-118,-120,-121,point1,0.40816326530612246
HDOK,PLOK,17472,6,5,-132,-15,10,2,29,-118,-118,-118,-121,-118,-118,-119,-117,-118,-117,-117,-118,-119,-119,-119,-121,-116,-118,-117,-118,-119,-118,-118,-119,-117,-118,-119,-118,-119,point1,0.34467120181405897
HDOK,PLOK,17472,7,6,-131,-14,10,2,29,-118,-117,-119,-118,-119,-117,-118,-121,-118,-117,-118,-119,-119,-118,-118,-119,-119,-118,-119,-119,-118,-118,-119,-119,-117,-118,-117,-118,-118,point1,0.2993197278911565
HDOK,PLOK,17472,8,7,-134,-17,10,2,29,-121,-119,-118,-118,-117,-118,-118,-119,-119,-118,-118,-117,-119,-117,-118,-119,-119,-118,-118,-121,-118,-119,-119,-118,-119,-117,-118,-118,-118,point1,0.22222222222222224
HDOK,PLOK,17472,9,8,-131,-14,10,2,29,-117,-118,-119,-119,-118,-119,-118,-118,-118,-118,-119,-118,-117,-117,-118,-119,-119,-118,-117,-119,-121,-119,-118,-116,-117,-119,-118,-118,-118,point1,0.34467120181405897
HDOK,PLOK,17472,10,9,-131,-14,10,2,29,-118,-119,-119,-119,-118,-118,-118,-118,-119,-119,-119,-119,-119,-118,-118,-119,-119,-118,-119,-117,-119,-117,-117,-119,-117,-117,-119,-117,-121,point1,0.43537414965986393
