hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,rssi_19,rssi_20,rssi_21,rssi_22,rssi_23,rssi_24,rssi_25,rssi_26,rssi_27,rssi_28,location_id,rssi_variance
HDOK,PLOK,17472,1,1,-62,9,10,2,29,-65,-59,-60,-59,-67,-61,-59,-59,-60,-59,-59,-60,-60,-59,-59,-60,-69,-65,-59,-59,-60,-59,-63,-60,-60,-65,-62,-61,-64,330,2.8163265306122445
HDOK,PLOK,17472,2,2,-64,9,10,2,29,-65,-59,-61,-61,-67,-63,-62,-60,-60,-60,-62,-60,-60,-60,-60,-64,-65,-69,-60,-60,-61,-60,-63,-60,-60,-65,-62,-61,-60,330,2.154195011337868
HDOK,PLOK,17472,3,3,-65,8,10,2,29,-66,-61,-61,-61,-69,-62,-61,-60,-62,-61,-61,-62,-61,-61,-61,-61,-69,-65,-61,-61,-60,-61,-65,-61,-65,-69,-64,-62,-64,330,2.2358276643990926
HDOK,PLOK,17472,4,4,-65,8,10,2,29,-67,-61,-62,-61,-69,-62,-61,-61,-62,-61,-61,-62,-62,-61,-61,-62,-69,-67,-61,-61,-61,-61,-65,-61,-63,-67,-64,-62,-64,330,2.4399092970521536
HDOK,PLOK,17472,5,5,-65,7,10,2,29,-66,-61,-62,-61,-69,-62,-61,-61,-63,-61,-61,-63,-62,-61,-61,-62,-70,-65,-62,-62,-61,-62,-66,-61,-70,-68,-64,-63,-61,330,2.4353741496598635
HDOK,PLOK,17472,6,6,-65,8,10,2,29,-67,-62,-61,-61,-69,-62,-61,-61,-63,-61,-61,-69,-65,-61,-61,-62,-69,-64,-62,-62,-61,-62,-67,-61,-71,-69,-66,-63,-61,330,5.523809523809524
HDOK,PLOK,17472,7,7,-65,8,10,2,29,-67,-61,-61,-61,-69,-62,-61,-61,-63,-61,-61,-65,-63,-61,-61,-62,-69,-65,-62,-62,-61,-62,-67,-61,-71,-69,-65,-63,-63,330,3.6099773242630384
HDOK,PLOK,17472,8,8,-70,7,10,2,29,-69,-64,-64,-64,-70,-65,-64,-65,-67,-65,-65,-75,-72,-67,-67,-67,-75,-70,-68,-70,-68,-69,-75,-68,-69,-76,-74,-69,-68,330,5.10657596371882
HDOK,PLOK,17472,9,9,-67,7,10,2,29,-71,-65,-65,-65,-73,-66,-65,-64,-65,-63,-64,-63,-63,-64,-64,-64,-70,-71,-63,-63,-64,-63,-66,-64,-63,-69,-65,-64,-64,330,1.673469387755102
HDOK,PLOK,17472,10,10,-66,7,10,2,29,-67,-62,-63,-63,-67,-65,-65,-63,-63,-62,-69,-62,-62,-63,-62,-69,-66,-69,-61,-61,-62,-61,-63,-61,-61,-65,-63,-62,-67,330,2.9024943310657587
HDOK,PLOK,17472,11,11,-65,7,10,2,29,-69,-63,-63,-63,-70,-65,-64,-63,-63,-62,-63,-62,-62,-62,-62,-63,-69,-69,-61,-62,-62,-62,-65,-62,-63,-68,-64,-63,-63,330,1.8956916099773242
HDOK,PLOK,17472,12,12,-66,7,10,2,29,-69,-62,-62,-62,-69,-63,-62,-62,-64,-62,-62,-71,-69,-62,-62,-62,-70,-65,-63,-63,-62,-63,-68,-62,-65,-70,-67,-65,-63,330,5.47392290249433
HDOK,PLOK,17472,13,13,-66,8,10,2,29,-67,-61,-62,-62,-68,-64,-63,-62,-62,-62,-65,-63,-62,-63,-62,-67,-67,-70,-62,-62,-62,-61,-63,-61,-62,-65,-63,-62,-67,330,2.467120181405895
