hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,rssi_19,rssi_20,rssi_21,rssi_22,rssi_23,rssi_24,rssi_25,rssi_26,rssi_27,rssi_28,location_id,rssi_variance
HDOK,PLOK,17472,28,28,-117,-2,10,2,29,-119,-116,-116,-116,-118,-115,-116,-116,-115,-115,-116,-117,-118,-116,-117,-115,-117,-116,-115,-114,-115,-116,-117,-117,-116,-118,-118,-117,-117,366,0.5850340136054422
HDOK,PLOK,17472,29,29,-124,-8,10,2,29,-117,-117,-118,-117,-119,-117,-119,-117,-119,-116,-117,-118,-118,-118,-119,-116,-118,-118,-118,-118,-121,-117,-118,-119,-119,-118,-118,-118,-119,366,0.42630385487528344
HDOK,PLOK,17472,30,30,-119,-3,10,2,29,-118,-117,-117,-118,-118,-117,-117,-117,-114,-116,-118,-113,-117,-117,-118,-118,-118,-118,-116,-117,-116,-124,-117,-115,-116,-116,-116,-116,-118,366,0.5714285714285714
HDOK,PLOK,17472,31,31,-119,-3,10,2,29,-118,-115,-116,-116,-119,-118,-117,-113,-116,-116,-116,-117,-117,-116,-117,-118,-119,-117,-115,-117,-117,-116,-117,-116,-118,-116,-117,-117,-118,366,0.46712018140589573
HDOK,PLOK,17472,32,32,-120,-4,10,2,29,-116,-118,-116,-118,-117,-118,-117,-117,-118,-117,-115,-118,-118,-115,-117,-117,-116,-117,-117,-117,-117,-117,-118,-116,-117,-119,-119,-118,-116,366,0.40816326530612246
HDOK,PLOK,17472,33,33,-118,-2,10,2,29,-116,-115,-117,-115,-118,-114,-116,-116,-116,-112,-117,-117,-115,-117,-115,-117,-119,-119,-115,-120,-117,-117,-118,-116,-118,-116,-117,-117,-117,366,0.7256235827664399
HDOK,PLOK,17472,34,34,-116,-1,10,2,29,-116,-115,-116,-115,-119,-116,-117,-115,-116,-115,-115,-115,-116,-110,-116,-117,-118,-118,-115,-117,-116,-116,-117,-116,-118,-118,-116,-116,-114,366,0.6167800453514738
HDOK,PLOK,17472,35,35,-116,-1,10,2,29,-117,-117,-115,-116,-118,-115,-117,-117,-115,-116,-116,-117,-116,-113,-114,-116,-117,-117,-114,-117,-115,-114,-116,-115,-115,-118,-117,-113,-118,366,0.8571428571428571
HDOK,PLOK,17472,36,36,-119,-3,10,2,29,-117,-116,-114,-114,-118,-113,-113,-113,-115,-114,-115,-116,-115,-115,-116,-115,-119,-117,-116,-117,-116,-117,-118,-116,-118,-118,-116,-117,-118,366,1.2380952380952381
HDOK,PLOK,17472,37,37,-116,-1,10,2,29,-118,-115,-114,-116,-118,-116,-117,-117,-115,-117,-115,-116,-115,-114,-115,-116,-117,-117,-114,-114,-116,-116,-117,-115,-114,-118,-117,-116,-113,366,0.9160997732426301
HDOK,PLOK,17472,38,38,-116,-1,10,2,29,-118,-116,-113,-115,-118,-113,-115,-115,-115,-115,-115,-120,-116,-114,-115,-116,-116,-118,-115,-114,-116,-116,-116,-116,-114,-116,-115,-115,-118,366,0.6303854875283448
HDOK,PLOK,17472,39,39,-118,-2,10,2,29,-118,-116,-115,-116,-118,-116,-115,-115,-117,-115,-116,-118,-118,-116,-118,-116,-117,-115,-117,-116,-115,-118,-118,-113,-116,-118,-118,-116,-116,366,1.0113378684807257
HDOK,PLOK,17472,40,40,-119,-3,10,2,29,-118,-116,-116,-115,-118,-117,-116,-116,-115,-101,-113,-115,-116,-117,-117,-116,-117,-118,-117,-116,-116,-116,-121,-116,-117,-117,-117,-116,-115,366,0.39455782312925175
HDOK,PLOK,17472,41,41,-119,-3,10,2,29,-117,-118,-119,-117,-118,-117,-118,-117,-117,-116,-116,-118,-116,-116,-116,-117,-118,-118,-116,-116,-116,-114,-116,-116,-118,-117,-118,-117,-117,366,0.562358276643991
HDOK,PLOK,17472,42,42,-117,-2,10,2,29,-117,-117,-116,-116,-117,-116,-117,-116,-116,-116,-116,-115,-116,-115,-116,-118,-114,-119,-116,-116,-116,-117,-118,-116,-116,-117,-113,-117,-114,366,0.27664399092970526
HDOK,PLOK,17472,43,43,-121,-5,10,2,29,-117,-117,-117,-117,-121,-118,-117,-116,-117,-117,-118,-118,-118,-116,-116,-116,-117,-119,-117,-117,-117,-117,-119,-116,-117,-120,-119,-118,-118,366,0.41269841269841273
HDOK,PLOK,17472,44,44,-120,-4,10,2,29,-117,-117,-118,-117,-118,-119,-117,-116,-118,-119,-118,-119,-119,-117,-118,-115,-116,-118,-116,-116,-118,-117,-117,-114,-118,-119,-119,-117,-117,366,0.6303854875283448
HDOK,PLOK,17472,45,45,-121,-5,10,2,29,-119,-117,-116,-117,-121,-117,-118,-118,-118,-117,-117,-119,-118,-118,-119,-117,-117,-118,-117,-118,-117,-119,-118,-118,-121,-118,-118,-119,-118,366,0.40816326530612246
HDOK,PLOK,17472,46,46,-120,-4,10,2,29,-118,-117,-116,-118,-119,-118,-116,-118,-118,-115,-116,-119,-118,-116,-117,-116,-121,-117,-118,-118,-116,-118,-118,-117,-116,-118,-117,-118,-117,366,0.603174603174603
HDOK,PLOK,17472,47,47,-126,-8,10,2,29,-117,-117,-118,-117,-117,-118,-118,-117,-117,-117,-118,-119,-119,-116,-118,-117,-121,-118,-118,-119,-118,-118,-118,-117,-119,-118,-118,-117,-118,366,0.2993197278911565
HDOK,PLOK,17472,48,48,-117,-2,10,2,29,-118,-115,-115,-116,-118,-116,-118,-114,-115,-115,-116,-116,-116,-115,-116,-117,-118,-117,-115,-116,-116,-116,-117,-114,-115,-117,-116,-117,-118,366,0.6575963718820862
HDOK,PLOK,17472,49,49,-115,-2,10,2,29,-117,-116,-116,-119,-119,-115,-117,-111,-116,-116,-117,-116,-116,-117,-115,-116,-116,-118,-114,-114,-117,-114,-116,-114,-115,-116,-117,-118,-117,366,0.6575963718820862
HDOK,PLOK,17472,50,50,-116,-1,10,2,29,-117,-115,-116,-113,-117,-114,-115,-114,-113,-113,-114,-113,-114,-113,-115,-116,-117,-117,-115,-115,-115,-114,-116,-115,-115,-117,-116,-115,-116,366,0.8571428571428571
