hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,rssi_19,rssi_20,rssi_21,rssi_22,rssi_23,rssi_24,rssi_25,rssi_26,rssi_27,rssi_28,location_id,rssi_variance
HDOK,PLOK,17472,1,1,-119,-3,10,2,29,-115,-117,-117,-116,-117,-117,-117,-118,-116,-117,-116,-109,-118,-116,-116,-117,-117,-119,-117,-117,-116,-116,-119,-117,-116,-117,-116,-117,-118,356,0.2993197278911565
HDOK,PLOK,17472,2,2,-124,-7,10,2,29,-117,-116,-117,-118,-118,-117,-118,-119,-117,-118,-117,-117,-119,-119,-117,-119,-119,-118,-116,-116,-118,-119,-118,-119,-118,-117,-118,-117,-118,356,0.46712018140589573
HDOK,PLOK,17472,3,3,-111,2,10,2,29,-117,-113,-113,-116,-118,-115,-114,-113,-115,-115,-114,-116,-113,-114,-113,-116,-119,-116,-113,-113,-112,-112,-113,-112,-113,-117,-113,-112,-113,356,1.4285714285714286
HDOK,PLOK,17472,4,4,-126,-9,10,2,29,-118,-118,-117,-118,-121,-118,-117,-119,-116,-118,-116,-121,-118,-118,-118,-117,-118,-117,-117,-119,-119,-120,-119,-118,-119,-118,-119,-118,-117,356,0.42630385487528344
HDOK,PLFL,17472,5,4,-124,-7,10,2,29,-119,-118,-119,-116,-117,-121,-119,-119,-119,-121,-118,-119,-119,-119,-119,-117,-119,-118,-117,-118,-117,-119,-118,-117,-118,-118,-117,-118,-118,356,0.489795918367347
HDOK,PLOK,17472,6,5,-125,-8,10,2,29,-118,-118,-118,-118,-119,-117,-118,-117,-117,-119,-118,-117,-117,-119,-118,-119,-118,-119,-121,-119,-118,-118,-118,-117,-119,-117,-118,-118,-118,356,0.3310657596371882
HDOK,PLOK,17472,7,6,-126,-9,10,2,29,-118,-121,-117,-119,-118,-118,-119,-116,-119,-117,-121,-118,-121,-118,-118,-118,-119,-119,-118,-117,-118,-117,-118,-118,-117,-116,-118,-117,-118,356,0.38095238095238093
HDOK,PLOK,17472,8,7,-127,-10,10,2,29,-117,-118,-119,-118,-119,-119,-118,-119,-119,-119,-119,-119,-119,-119,-118,-118,-119,-119,-118,-118,-118,-119,-118,-118,-118,-118,-118,-118,-118,356,0.2448979591836735
HDOK,PLOK,17472,9,8,-129,-12,10,2,29,-118,-119,-117,-119,-119,-118,-119,-117,-118,-117,-118,-119,-117,-119,-121,-118,-119,-118,-119,-119,-117,-118,-121,-118,-118,-116,-117,-119,-117,356,0.5351473922902494
HDOK,PLOK,17472,10,9,-131,-13,10,2,29,-118,-121,-119,-119,-119,-118,-117,-117,-119,-118,-118,-119,-117,-101,-119,-119,-118,-121,-119,-118,-119,-118,-118,-118,-118,-119,-117,-119,-119,356,0.34013605442176875
