hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,location_id,realtime_average_rssi,median_rssi,mode_rssi,rssi_variance
HDOK,PLOK,17472,1,1,-66,7,8,2,19,-68,-71,-73,-70,-73,-69,-68,-67,-67,-68,-65,-65,-65,-64,-64,-65,-64,-64,-63,1m,-67.0,-67.0,-65.0,2.6115702479338845
HDOK,PLOK,17472,2,2,-57,8,8,2,19,-53,-54,-53,-53,-53,-53,-58,-53,-54,-53,-53,-53,-55,-55,-54,-53,-53,-58,-53,1m,-53.89473684210526,-53.0,-53.0,0.1983471074380165
HDOK,PLOK,17472,3,3,-56,8,8,2,19,-53,-53,-52,-52,-52,-53,-58,-52,-54,-53,-52,-54,-52,-53,-55,-53,-52,-52,-55,1m,-53.1578947368421,-53.0,-52.0,0.38016528925619836
HDOK,PLOK,17472,4,4,-55,8,8,2,19,-53,-58,-56,-53,-56,-52,-53,-52,-52,-57,-52,-57,-53,-52,-55,-52,-52,-51,-52,1m,-53.578947368421055,-53.0,-52.0,1.6363636363636365
HDOK,PLOK,17472,5,5,-56,8,8,2,19,-53,-53,-57,-58,-55,-55,-52,-53,-52,-52,-55,-52,-58,-53,-52,-58,-52,-57,-53,1m,-54.21052631578947,-53.0,-52.0,2.198347107438016
HDOK,PLOK,17472,6,6,-57,8,8,2,19,-53,-53,-54,-58,-53,-57,-53,-53,-53,-53,-56,-53,-58,-55,-53,-58,-53,-58,-53,1m,-54.578947368421055,-53.0,-53.0,1.9008264462809918
HDOK,PLOK,17472,7,7,-57,8,8,2,19,-53,-53,-53,-53,-53,-53,-57,-53,-57,-57,-54,-57,-53,-53,-57,-54,-53,-53,-53,1m,-54.1578947368421,-53.0,-53.0,1.3388429752066118
HDOK,PLOK,17472,8,8,-56,8,8,2,19,-53,-53,-56,-58,-55,-55,-53,-53,-53,-53,-55,-53,-58,-53,-53,-59,-53,-58,-58,1m,-54.8421052631579,-53.0,-53.0,2.5619834710743796
HDOK,PLOK,17472,9,9,-56,8,8,2,19,-53,-53,-53,-52,-53,-53,-57,-53,-57,-56,-53,-56,-52,-52,-57,-56,-52,-52,-58,1m,-54.10526315789474,-53.0,-53.0,2.0165289256198347
HDOK,PLOK,17472,10,10,-55,8,8,2,19,-52,-56,-53,-52,-53,-52,-55,-55,-57,-58,-52,-58,-52,-52,-58,-53,-52,-52,-59,1m,-54.26315789473684,-53.0,-52.0,2.958677685950413
HDOK,PLOK,17472,11,11,-56,8,8,2,19,-53,-55,-58,-56,-57,-53,-51,-52,-53,-53,-53,-53,-55,-53,-53,-56,-53,-54,-54,1m,-53.94736842105263,-53.0,-53.0,0.6115702479338844
HDOK,PLOK,17472,12,12,-56,8,8,2,19,-53,-53,-55,-58,-54,-55,-52,-53,-52,-52,-55,-52,-58,-53,-52,-58,-52,-57,-55,1m,-54.1578947368421,-53.0,-52.0,1.322314049586777
HDOK,PLOK,17472,13,13,-56,8,8,2,19,-52,-54,-53,-52,-53,-53,-57,-53,-57,-56,-53,-56,-52,-52,-57,-56,-52,-53,-53,1m,-53.89473684210526,-53.0,-53.0,1.5206611570247934
HDOK,PLOK,17472,14,14,-56,8,8,2,19,-53,-54,-57,-56,-57,-53,-52,-52,-52,-53,-53,-53,-56,-53,-52,-57,-52,-55,-52,1m,-53.78947368421053,-53.0,-53.0,1.322314049586777
HDOK,PLOK,17472,15,15,-57,8,8,2,19,-53,-57,-57,-53,-58,-52,-52,-52,-56,-55,-53,-54,-53,-53,-53,-54,-57,-53,-52,1m,-54.05263157894737,-53.0,-53.0,0.9586776859504134
HDOK,PLOK,17472,16,16,-55,8,8,2,19,-52,-53,-58,-57,-55,-54,-52,-52,-52,-52,-53,-52,-57,-53,-51,-58,-52,-55,-54,1m,-53.78947368421053,-53.0,-52.0,1.2396694214876034
HDOK,PLOK,17472,17,17,-56,8,8,2,19,-52,-53,-52,-52,-53,-55,-58,-52,-56,-55,-53,-55,-52,-52,-56,-53,-52,-54,-53,1m,-53.578947368421055,-53.0,-52.0,1.0578512396694215
HDOK,PLOK,17472,18,18,-57,8,8,2,19,-52,-57,-54,-53,-57,-53,-53,-52,-56,-55,-53,-55,-53,-53,-54,-53,-56,-53,-52,1m,-53.89473684210526,-53.0,-53.0,0.6115702479338844
HDOK,PLOK,17472,19,19,-56,8,8,2,19,-53,-54,-52,-52,-53,-52,-56,-53,-57,-57,-52,-57,-52,-52,-58,-54,-52,-53,-52,1m,-53.73684210526316,-53.0,-52.0,1.355371900826446
HDOK,PLOK,17472,20,20,-56,8,8,2,19,-53,-58,-53,-52,-56,-52,-53,-52,-53,-57,-52,-57,-53,-52,-56,-53,-52,-53,-54,1m,-53.73684210526316,-53.0,-53.0,1.0578512396694213
HDOK,PLOK,17472,21,21,-56,8,8,2,19,-53,-53,-56,-58,-53,-56,-52,-53,-53,-53,-56,-52,-58,-56,-52,-57,-52,-58,-55,1m,-54.526315789473685,-53.0,-53.0,2.0165289256198347
HDOK,PLOK,17472,22,22,-55,8,8,2,19,-51,-53,-51,-50,-52,-51,-53,-52,-55,-57,-51,-57,-51,-51,-57,-52,-51,-51,-51,1m,-52.473684210526315,-51.0,-51.0,0.5950413223140496
