hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,location_id,rssi_variance
HDOK,PLOK,17472,65,54,-120,-8,8,2,19,-115,-115,-116,-115,-117,-116,-113,-116,-114,-114,-113,-113,-115,-115,-114,-111,-110,-115,-117,366,0.7455621301775148
HDOK,PLOK,17472,66,55,-120,-7,8,2,19,-113,-115,-115,-113,-115,-113,-115,-115,-113,-113,-117,-112,-113,-113,-117,-112,-117,-115,-115,366,1.467455621301775
HDOK,PLOK,17472,67,56,-116,-4,8,2,19,-114,-115,-115,-113,-113,-115,-113,-115,-115,-113,-113,-112,-113,-115,-113,-113,-115,-115,-115,366,0.8994082840236687
HDOK,PLOK,17472,68,57,-118,-6,8,2,19,-113,-113,-116,-114,-113,-114,-113,-116,-114,-114,-114,-113,-113,-113,-113,-117,-115,-113,-114,366,0.7455621301775148
HDOK,PLOK,17472,69,58,-121,-9,8,2,19,-112,-115,-114,-115,-114,-114,-114,-112,-113,-113,-113,-113,-115,-115,-115,-115,-115,-114,-111,366,0.5917159763313609
HDOK,PLOK,17472,70,59,-122,-10,8,2,19,-115,-114,-113,-113,-112,-112,-115,-115,-116,-115,-115,-117,-114,-115,-114,-106,-113,-115,-115,366,0.5562130177514794
HDOK,PLOK,17472,71,60,-124,-11,8,2,19,-113,-115,-114,-115,-115,-115,-112,-115,-117,-115,-113,-114,-115,-116,-117,-115,-114,-113,-113,366,0.5207100591715975
HDOK,PLOK,17472,72,61,-123,-11,8,2,19,-113,-114,-117,-115,-115,-113,-116,-114,-116,-117,-117,-114,-114,-116,-115,-115,-115,-113,-117,366,0.9822485207100591
HDOK,PLOK,17472,73,62,-124,-12,8,2,19,-116,-116,-114,-118,-116,-114,-116,-115,-114,-114,-115,-113,-114,-114,-114,-115,-114,-115,-116,366,0.6863905325443785
HDOK,PLOK,17472,74,63,-123,-11,8,2,19,-114,-115,-114,-115,-115,-111,-113,-114,-115,-115,-115,-115,-115,-115,-115,-115,-115,-117,-114,366,0.1301775147928994
HDOK,PLFL,17472,75,63,-123,-11,8,2,19,-117,-115,-116,-116,-116,-115,-112,-115,-115,-117,-115,-114,-115,-114,-115,-116,-116,-117,-113,366,0.40236686390532533
HDOK,PLOK,17472,76,64,-122,-10,8,2,19,-113,-116,-114,-113,-113,-115,-113,-115,-114,-115,-116,-116,-113,-115,-117,-115,-115,-117,-116,366,0.7692307692307693
HDOK,PLOK,17472,77,65,-123,-10,8,2,19,-115,-115,-115,-115,-117,-116,-114,-114,-115,-115,-116,-115,-116,-115,-115,-115,-116,-115,-117,366,0.21301775147928986
HDOK,PLOK,17472,78,66,-121,-9,8,2,19,-113,-115,-114,-115,-114,-113,-115,-115,-113,-115,-115,-115,-114,-115,-115,-115,-116,-115,-115,366,0.1301775147928994
HDOK,PLFL,17472,79,66,-125,-13,8,2,19,-114,-116,-115,-114,-116,-114,-113,-115,-115,-114,-113,-115,-114,-114,-117,-115,-116,-116,-113,366,0.591715976331361
HDOK,PLOK,17472,80,67,-122,-11,8,2,19,-113,-115,-115,-115,-115,-113,-112,-113,-113,-112,-112,-112,-113,-113,-113,-112,-113,-113,-113,366,0.6390532544378698
