hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,location_id,rssi_variance
HDOK,PLOK,17472,1,1,-106,-6,8,2,19,-102,-104,-102,-104,-102,-102,-103,-103,-108,-101,-104,-103,-103,-104,-102,-103,-101,-102,-102,point2,0.4132231404958677
HDOK,PLOK,17472,2,2,-102,-2,8,2,19,-101,-105,-103,-101,-103,-100,-101,-106,-101,-101,-116,-103,-101,-101,-103,-100,-100,-101,-101,point2,0.793388429752066
HDOK,PLOK,17472,3,3,-102,-2,8,2,19,-101,-103,-103,-101,-103,-101,-101,-101,-101,-103,-101,-103,-101,-101,-103,-101,-101,-101,-101,point2,0.5950413223140495
HDOK,PLOK,17472,4,4,-100,-1,8,2,19,-100,-103,-101,-101,-101,-100,-101,-101,-101,-103,-100,-103,-100,-101,-103,-101,-100,-100,-103,point2,0.5454545454545454
HDOK,PLOK,17472,5,5,-104,-4,8,2,19,-103,-103,-105,-102,-102,-107,-101,-101,-90,-101,-101,-105,-101,-103,-101,-105,-103,-102,-104,point2,0.9256198347107436
HDOK,PLOK,17472,6,6,-103,-3,8,2,19,-101,-103,-103,-101,-103,-101,-101,-101,-102,-103,-100,-105,-101,-101,-101,-103,-100,-101,-102,point2,0.6115702479338844
HDOK,PLOK,17472,7,7,-104,-4,8,2,19,-102,-103,-103,-103,-101,-102,-103,-103,-101,-101,-103,-103,-103,-102,-102,-103,-102,-101,-101,point2,0.4132231404958678
HDOK,PLOK,17472,8,8,-103,-3,8,2,19,-101,-103,-103,-103,-102,-101,-100,-101,-103,-101,-101,-101,-102,-101,-100,-103,-103,-100,-102,point2,0.5950413223140495
HDOK,PLOK,17472,9,9,-102,-2,8,2,19,-101,-103,-103,-103,-103,-100,-100,-103,-101,-101,-100,-101,-103,-100,-101,-101,-101,-103,-101,point2,0.793388429752066
HDOK,PLOK,17472,10,10,-106,-5,8,2,19,-103,-102,-102,-103,-102,-103,-101,-103,-101,-101,-104,-103,-103,-102,-100,-101,-101,-102,-102,point2,0.4462809917355372
HDOK,PLOK,17472,11,11,-109,-8,8,2,19,-100,-101,-102,-101,-101,-101,-101,-99,-105,-101,-100,-103,-105,-105,-95,-101,-103,-103,-99,point2,0.7768595041322314
HDOK,PLOK,17472,12,12,-108,-8,8,2,19,-101,-103,-101,-101,-103,-100,-101,-101,-101,-100,-101,-103,-101,-116,-101,-101,-101,-101,-101,point2,0.0
HDOK,PLOK,17472,13,13,-106,-7,8,2,19,-101,-101,-101,-101,-101,-103,-103,-101,-101,-100,-101,-101,-101,-101,-101,-101,-101,-101,-103,point2,0.0
HDOK,PLOK,17472,14,14,-106,-7,8,2,19,-101,-101,-101,-101,-101,-103,-101,-103,-101,-103,-103,-101,-105,-108,-103,-105,-105,-105,-103,point2,1.5206611570247934
HDOK,PLOK,17472,15,15,-108,-8,8,2,19,-101,-98,-105,-105,-105,-103,-99,-103,-103,-105,-103,-103,-101,-103,-103,-101,-103,-101,-109,point2,1.0578512396694215
HDOK,PLOK,17472,16,16,-108,-8,8,2,19,-101,-102,-101,-101,-103,-101,-100,-101,-100,-101,-101,-100,-103,-103,-101,-101,-101,-101,-99,point2,0.0
HDOK,PLOK,17472,17,17,-108,-8,8,2,19,-101,-103,-103,-69,-101,-101,-105,-101,-100,-101,-101,-101,-100,-101,-103,-103,-100,-101,-101,point2,0.3305785123966941
HDOK,PLOK,17472,18,18,-108,-8,8,2,19,-101,-105,-105,-103,-103,-103,-101,-103,-103,-103,-101,-101,-101,-103,-101,-100,-103,-100,-101,point2,0.9917355371900825
HDOK,PLOK,17472,19,19,-110,-11,8,2,19,-101,-104,-105,-103,-103,-103,-101,-107,-102,-102,-101,-103,-101,-103,-101,-103,-103,-101,-103,point2,0.6115702479338843
HDOK,PLOK,17472,20,20,-107,-7,8,2,19,-101,-102,-101,-100,-101,-100,-103,-101,-103,-103,-103,-101,-103,-101,-101,-101,-103,-103,-103,point2,0.8760330578512399
HDOK,PLOK,17472,21,21,-107,-8,8,2,19,-103,-102,-101,-102,-101,-103,-103,-105,-103,-101,-103,-101,-101,-101,-103,-101,-100,-103,-101,point2,0.8099173553719008
HDOK,PLOK,17472,22,22,-107,-8,8,2,19,-101,-101,-101,-101,-101,-101,-101,-103,-101,-101,-101,-101,-101,-101,-103,-101,-100,-101,-103,point2,0.0
