hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,location_id,rssi_variance
HDOK,PLOK,17472,1,1,-104,5,8,2,19,-106,-106,-111,-106,-109,-105,-105,-105,-106,-106,-105,-106,-106,-105,-105,-107,-106,-106,-104,308,0.1983471074380165
HDOK,PLOK,17472,2,2,-110,-1,8,2,19,-110,-110,-113,-110,-112,-110,-112,-111,-112,-112,-110,-112,-112,-108,-112,-110,-111,-109,-111,308,0.7272727272727273
HDOK,PLOK,17472,3,3,-96,7,8,2,19,-99,-99,-97,-98,-97,-98,-103,-97,-99,-98,-97,-98,-97,-97,-99,-96,-97,-101,-96,308,0.56198347107438
HDOK,PLOK,17472,4,4,-98,7,8,2,19,-102,-103,-100,-100,-100,-99,-101,-101,-103,-103,-97,-101,-96,-97,-101,-97,-97,-97,-98,308,2.2479338842975207
HDOK,PLOK,17472,5,5,-101,7,8,2,19,-101,-107,-102,-101,-103,-100,-102,-101,-101,-105,-99,-105,-99,-100,-105,-100,-100,-99,-103,308,1.1074380165289255
HDOK,PLOK,17472,6,6,-103,5,8,2,19,-106,-106,-109,-109,-105,-109,-105,-104,-103,-105,-107,-102,-107,-105,-103,-107,-101,-107,-105,308,0.9586776859504131
HDOK,PLOK,17472,7,7,-100,7,8,2,19,-100,-100,-99,-99,-99,-100,-105,-99,-103,-101,-99,-103,-99,-99,-103,-100,-99,-99,-103,308,1.355371900826446
HDOK,PLOK,17472,8,8,-101,6,8,2,19,-101,-102,-105,-103,-104,-101,-99,-101,-100,-101,-102,-102,-104,-102,-100,-105,-101,-103,-101,308,0.56198347107438
HDOK,PLOK,17472,9,9,-100,7,8,2,19,-94,-96,-94,-93,-95,-95,-98,-97,-100,-101,-96,-101,-97,-97,-103,-99,-99,-100,-105,308,2.595041322314049
HDOK,PLOK,17472,10,10,-101,6,8,2,19,-102,-106,-103,-101,-105,-101,-102,-101,-104,-105,-101,-104,-101,-101,-104,-101,-102,-101,-103,308,1.2396694214876034
HDOK,PLOK,17472,11,11,-107,2,8,2,19,-110,-111,-109,-108,-110,-108,-108,-109,-108,-111,-107,-110,-107,-107,-110,-108,-108,-108,-108,308,0.6115702479338844
HDOK,PLOK,17472,12,12,-100,7,8,2,19,-99,-101,-99,-99,-99,-99,-105,-100,-103,-103,-100,-103,-99,-99,-105,-103,-99,-100,-103,308,2.6115702479338845
HDOK,PLOK,17472,13,13,-101,6,8,2,19,-96,-100,-100,-98,-103,-97,-97,-97,-100,-100,-99,-100,-101,-100,-101,-103,-103,-101,-101,308,0.7272727272727273
HDOK,PLOK,17472,14,14,-100,7,8,2,19,-99,-99,-105,-103,-100,-116,-98,-99,-98,-99,-100,-99,-105,-100,-98,-105,-99,-105,-105,308,5.289256198347108
HDOK,PLOK,17472,15,15,-104,5,8,2,19,-98,-103,-100,-99,-103,-99,-99,-100,-103,-104,-100,-104,-103,-102,-106,-105,-106,-105,-105,308,2.793388429752066
HDOK,PLOK,17472,16,16,-111,-2,8,2,19,-108,-112,-110,-112,-111,-110,-109,-109,-111,-111,-110,-110,-110,-111,-111,-109,-111,-110,-110,308,0.23140495867768598
HDOK,PLOK,17472,17,17,-101,6,8,2,19,-101,-101,-101,-101,-100,-104,-105,-100,-104,-102,-100,-101,-99,-100,-103,-100,-100,-103,-105,308,1.0578512396694215
HDOK,PLOK,17472,18,18,-104,5,8,2,19,-103,-104,-103,-103,-103,-103,-107,-103,-107,-106,-104,-107,-103,-103,-107,-106,-103,-102,-103,308,1.2892561983471074
HDOK,PLOK,17472,19,19,-103,6,8,2,19,-104,-106,-103,-102,-103,-104,-107,-104,-106,-107,-103,-106,-102,-101,-107,-106,-101,-103,-103,308,1.537190082644628
HDOK,PLOK,17472,20,20,-108,0,8,2,19,-110,-109,-109,-109,-109,-109,-110,-109,-110,-111,-109,-109,-109,-105,-111,-108,-107,-112,-110,308,0.1983471074380165
HDOK,PLOK,17472,21,21,-106,3,8,2,19,-104,-107,-107,-105,-109,-105,-105,-105,-107,-107,-106,-107,-109,-107,-109,-109,-107,-107,-106,308,0.4132231404958677
HDOK,PLOK,17472,22,22,-103,5,8,2,19,-108,-109,-110,-112,-110,-111,-107,-107,-107,-106,-107,-105,-109,-105,-103,-107,-102,-106,-102,308,1.3553719008264464
HDOK,PLOK,17472,23,23,-101,6,8,2,19,-103,-103,-102,-101,-101,-101,-104,-101,-105,-104,-101,-104,-99,-100,-105,-103,-100,-100,-100,308,1.421487603305785
HDOK,PLOK,17472,24,24,-105,4,8,2,19,-108,-104,-106,-111,-106,-109,-106,-106,-105,-105,-109,-104,-109,-107,-104,-106,-104,-109,-109,308,1.867768595041322
HDOK,PLOK,17472,25,25,-114,-4,8,2,19,-113,-113,-115,-112,-111,-112,-112,-112,-113,-113,-111,-112,-111,-112,-116,-115,-111,-112,-110,308,0.33057851239669417
HDOK,PLOK,17472,26,26,-107,3,8,2,19,-107,-108,-107,-107,-107,-107,-112,-106,-111,-110,-108,-110,-107,-107,-110,-110,-107,-107,-106,308,1.2892561983471074
HDOK,PLOK,17472,27,27,-106,3,8,2,19,-106,-105,-107,-105,-106,-106,-109,-106,-107,-106,-105,-107,-106,-106,-107,-105,-105,-106,-111,308,0.2644628099173553
HDOK,PLOK,17472,28,28,-104,5,8,2,19,-104,-103,-105,-109,-105,-105,-104,-104,-103,-102,-106,-103,-109,-104,-103,-107,-103,-109,-104,308,0.743801652892562
HDOK,PLOK,17472,29,29,-104,4,8,2,19,-106,-105,-107,-109,-107,-107,-105,-106,-104,-104,-107,-104,-109,-106,-104,-109,-105,-109,-105,308,0.7272727272727273
HDOK,PLOK,17472,30,30,-104,4,8,2,19,-106,-107,-106,-105,-106,-105,-107,-106,-106,-109,-104,-109,-105,-105,-106,-105,-104,-105,-107,308,0.38016528925619836
HDOK,PLOK,17472,31,31,-101,6,8,2,19,-108,-108,-111,-110,-108,-107,-104,-105,-103,-103,-105,-101,-106,-102,-101,-105,-101,-105,-104,308,2.1818181818181817
HDOK,PLOK,17472,32,32,-101,6,8,2,19,-101,-101,-105,-106,-105,-102,-100,-101,-100,-101,-102,-101,-106,-101,-101,-106,-101,-106,-101,308,2.2644628099173554
HDOK,PLOK,17472,33,33,-114,-4,8,2,19,-113,-113,-115,-113,-111,-113,-113,-112,-112,-110,-112,-112,-113,-111,-111,-115,-112,-111,-110,308,0.512396694214876
HDOK,PLOK,17472,34,34,-109,-1,8,2,19,-108,-112,-111,-110,-111,-101,-109,-109,-109,-111,-108,-111,-111,-110,-111,-110,-110,-111,-111,308,0.5619834710743802
HDOK,PLOK,17472,35,35,-119,-8,8,2,19,-112,-113,-112,-113,-113,-112,-115,-112,-113,-113,-113,-115,-112,-112,-115,-112,-112,-112,-111,308,0.2479338842975206
HDOK,PLOK,17472,36,36,-101,7,8,2,19,-101,-106,-101,-101,-104,-101,-101,-101,-102,-105,-101,-106,-101,-102,-104,-101,-101,-100,-100,308,0.7933884297520662
HDOK,PLOK,17472,37,37,-100,6,8,2,19,-101,-100,-105,-105,-103,-101,-100,-99,-100,-99,-101,-99,-105,-100,-100,-106,-99,-105,-100,308,2.3636363636363638
HDOK,PLOK,17472,38,38,-105,3,8,2,19,-113,-113,-112,-113,-113,-112,-111,-112,-110,-109,-110,-107,-111,-107,-106,-111,-105,-109,-104,308,2.231404958677686
HDOK,PLOK,17472,39,39,-98,7,8,2,19,-95,-101,-97,-96,-99,-96,-97,-97,-97,-101,-97,-100,-98,-97,-100,-98,-97,-98,-98,308,0.4297520661157025
HDOK,PLOK,17472,40,40,-106,3,8,2,19,-107,-105,-105,-105,-106,-107,-109,-106,-107,-106,-106,-107,-105,-106,-109,-106,-104,-109,-109,308,0.38016528925619836
HDOK,PLOK,17472,41,41,-89,8,8,2,19,-88,-89,-87,-87,-89,-88,-93,-88,-93,-91,-89,-93,-87,-87,-93,-92,-88,-88,-89,308,1.6363636363636365
HDOK,PLFL,17472,42,41,-115,-5,8,2,19,-113,-115,-112,-113,-113,-115,-113,-113,-113,-115,-113,-112,-113,-111,-113,-113,-112,-115,-112,308,0.08264462809917356
HDOK,PLOK,17472,43,42,-98,7,8,2,19,-98,-99,-98,-97,-98,-101,-105,-98,-101,-100,-97,-100,-98,-98,-101,-97,-97,-97,-98,308,0.7768595041322314
HDOK,PLOK,17472,44,43,-100,7,8,2,19,-98,-100,-103,-103,-103,-100,-98,-98,-99,-99,-100,-99,-103,-100,-99,-103,-99,-103,-100,308,1.9669421487603307
HDOK,PLOK,17472,45,44,-103,6,8,2,19,-105,-109,-104,-104,-106,-104,-107,-107,-106,-109,-104,-107,-103,-103,-107,-103,-103,-102,-103,308,1.9669421487603307
HDOK,PLOK,17472,46,45,-101,6,8,2,19,-100,-99,-105,-104,-101,-103,-100,-99,-99,-99,-101,-100,-105,-100,-99,-105,-99,-106,-99,308,2.429752066115703
HDOK,PLOK,17472,47,46,-98,7,8,2,19,-97,-97,-96,-97,-96,-97,-103,-96,-99,-98,-97,-98,-104,-98,-99,-97,-97,-97,-100,308,0.4297520661157025
HDOK,PLOK,17472,48,47,-94,7,8,2,19,-94,-95,-93,-93,-94,-94,-99,-94,-99,-99,-94,-99,-93,-93,-99,-97,-93,-94,-94,308,2.7438016528925613
HDOK,PLOK,17472,49,48,-98,7,8,2,19,-96,-98,-96,-96,-97,-96,-101,-96,-101,-100,-97,-101,-95,-95,-101,-100,-96,-97,-96,308,2.1487603305785123
HDOK,PLOK,17472,50,49,-95,8,8,2,19,-94,-95,-99,-99,-97,-96,-94,-94,-94,-95,-96,-95,-100,-95,-95,-100,-95,-100,-95,308,1.471074380165289
HDOK,PLOK,17472,51,50,-98,7,8,2,19,-97,-98,-100,-103,-99,-99,-97,-97,-97,-97,-98,-97,-101,-97,-97,-103,-96,-103,-98,308,0.9917355371900826
HDOK,PLOK,17472,52,51,-94,7,8,2,19,-93,-99,-94,-93,-95,-93,-94,-94,-94,-99,-93,-99,-94,-93,-99,-94,-94,-94,-93,308,0.2644628099173554
HDOK,PLOK,17472,53,52,-96,7,8,2,19,-97,-98,-101,-99,-101,-96,-96,-95,-96,-97,-96,-97,-99,-97,-96,-100,-96,-98,-101,308,1.1074380165289255
HDOK,PLOK,17472,54,53,-99,7,8,2,19,-97,-100,-97,-97,-98,-100,-103,-97,-100,-99,-98,-99,-98,-98,-100,-98,-98,-97,-101,308,0.793388429752066
HDOK,PLOK,17472,55,54,-99,7,8,2,19,-98,-98,-97,-97,-98,-101,-103,-97,-100,-99,-97,-100,-98,-98,-100,-98,-98,-100,-98,308,0.6115702479338844
HDOK,PLOK,17472,56,55,-98,7,8,2,19,-95,-98,-101,-99,-100,-97,-95,-96,-97,-97,-97,-97,-99,-97,-96,-99,-96,-99,-95,308,0.9256198347107438
HDOK,PLOK,17472,57,56,-89,8,8,2,19,-88,-88,-89,-93,-89,-90,-87,-87,-87,-88,-90,-88,-93,-88,-87,-94,-88,-93,-91,308,1.0578512396694215
HDOK,PLOK,17472,58,57,-94,7,8,2,19,-94,-95,-99,-99,-98,-95,-93,-93,-94,-94,-95,-94,-98,-95,-93,-99,-94,-98,-97,308,2.2314049586776856
HDOK,PLOK,17472,59,58,-96,7,8,2,19,-95,-96,-95,-96,-95,-95,-100,-95,-97,-96,-95,-96,-97,-99,-97,-95,-97,-100,-96,308,0.5454545454545454
HDOK,PLOK,17472,60,59,-98,7,8,2,19,-96,-100,-100,-98,-101,-96,-95,-96,-99,-98,-95,-98,-97,-97,-98,-98,-94,-98,-96,308,0.7438016528925618
HDOK,PLOK,17472,61,60,-96,7,8,2,19,-96,-100,-100,-96,-100,-95,-95,-95,-96,-100,-95,-100,-95,-95,-99,-95,-95,-95,-95,308,2.809917355371901
HDOK,PLOK,17472,62,61,-95,7,8,2,19,-97,-100,-99,-96,-100,-95,-96,-95,-95,-100,-95,-100,-96,-95,-99,-96,-95,-95,-95,308,2.0165289256198347
HDOK,PLOK,17472,63,62,-98,7,8,2,19,-97,-96,-98,-101,-98,-99,-95,-97,-95,-96,-99,-96,-101,-96,-96,-103,-96,-101,-96,308,1.3553719008264462
HDOK,PLOK,17472,64,63,-100,6,8,2,19,-100,-101,-105,-103,-103,-100,-99,-99,-99,-100,-100,-99,-103,-101,-99,-103,-100,-103,-105,308,1.900826446280992
HDOK,PLOK,17472,65,64,-95,7,8,2,19,-95,-96,-95,-95,-95,-96,-100,-95,-98,-96,-95,-97,-95,-95,-97,-95,-95,-99,-96,308,0.4297520661157025
HDOK,PLOK,17472,66,65,-98,7,8,2,19,-98,-98,-97,-97,-98,-101,-103,-97,-100,-99,-98,-100,-97,-97,-100,-98,-97,-97,-97,308,0.8099173553719008
HDOK,PLOK,17472,67,66,-96,7,8,2,19,-97,-99,-101,-100,-101,-98,-96,-97,-97,-99,-97,-98,-99,-98,-97,-100,-98,-99,-101,308,0.7768595041322314
HDOK,PLOK,17472,68,67,-94,7,8,2,19,-92,-94,-92,-91,-93,-91,-95,-95,-97,-97,-92,-99,-93,-93,-99,-94,-93,-94,-98,308,1.7190082644628097
HDOK,PLOK,17472,69,68,-98,7,8,2,19,-98,-103,-97,-98,-99,-97,-97,-100,-100,-103,-97,-103,-97,-97,-101,-97,-97,-97,-97,308,1.3553719008264462
HDOK,PLOK,17472,70,69,-98,7,8,2,19,-97,-99,-101,-100,-101,-98,-97,-97,-97,-98,-98,-99,-101,-98,-98,-101,-104,-100,-101,308,1.3553719008264462
HDOK,PLOK,17472,71,70,-104,5,8,2,19,-100,-103,-104,-103,-106,-102,-101,-101,-103,-103,-102,-103,-105,-104,-103,-105,-106,-106,-104,308,0.5950413223140495
HDOK,PLOK,17472,72,71,-99,7,8,2,19,-99,-99,-99,-99,-99,-100,-103,-99,-100,-100,-99,-100,-99,-100,-100,-99,-98,-103,-99,308,0.23140495867768598
HDOK,PLOK,17472,73,72,-102,6,8,2,19,-100,-105,-100,-100,-103,-99,-103,-101,-103,-106,-101,-106,-101,-101,-106,-101,-101,-102,-102,308,0.7438016528925618
HDOK,PLOK,17472,74,73,-99,7,8,2,19,-99,-103,-98,-98,-100,-97,-99,-99,-100,-103,-98,-103,-98,-97,-103,-98,-97,-98,-99,308,0.56198347107438
HDOK,PLOK,17472,75,74,-98,7,8,2,19,-97,-101,-96,-97,-98,-96,-98,-99,-99,-103,-97,-101,-96,-96,-101,-97,-96,-96,-98,308,0.9752066115702479
HDOK,PLOK,17472,76,75,-98,7,8,2,19,-97,-103,-98,-98,-99,-97,-98,-100,-99,-103,-97,-103,-97,-97,-103,-98,-97,-97,-97,308,0.9090909090909091
HDOK,PLOK,17472,77,76,-96,7,8,2,19,-96,-101,-97,-96,-99,-96,-98,-98,-99,-101,-96,-101,-96,-96,-101,-97,-96,-96,-100,308,1.884297520661157
HDOK,PLOK,17472,78,77,-100,7,8,2,19,-99,-105,-100,-100,-101,-98,-99,-105,-99,-103,-99,-103,-98,-98,-103,-99,-98,-99,-98,308,1.6859504132231407
HDOK,PLOK,17472,79,78,-99,7,8,2,19,-98,-101,-101,-100,-103,-99,-99,-98,-101,-100,-99,-100,-99,-99,-100,-100,-101,-100,-98,308,0.38016528925619836
HDOK,PLOK,17472,80,79,-102,6,8,2,19,-101,-101,-101,-101,-101,-102,-105,-101,-108,-103,-101,-104,-101,-100,-104,-101,-101,-102,-101,308,0.4132231404958677
HDOK,PLOK,17472,81,80,-99,7,8,2,19,-99,-100,-99,-99,-98,-100,-101,-98,-100,-99,-99,-99,-100,-103,-100,-98,-100,-99,-100,308,0.2479338842975206
HDOK,PLOK,17472,82,81,-99,6,8,2,19,-99,-105,-100,-99,-101,-99,-98,-105,-100,-103,-99,-103,-98,-99,-103,-99,-99,-98,-100,308,1.4214876033057855
HDOK,PLOK,17472,83,82,-99,6,8,2,19,-99,-105,-100,-98,-101,-98,-100,-100,-101,-105,-98,-103,-98,-99,-103,-99,-99,-99,-101,308,0.6942148760330578
HDOK,PLOK,17472,84,83,-99,7,8,2,19,-98,-99,-97,-97,-98,-97,-101,-99,-101,-101,-98,-103,-97,-97,-103,-100,-97,-98,-97,308,1.5041322314049588
HDOK,PLOK,17472,85,84,-100,7,8,2,19,-98,-99,-103,-99,-101,-97,-97,-97,-98,-97,-97,-99,-100,-99,-98,-101,-100,-99,-99,308,0.5950413223140495
HDOK,PLOK,17472,86,85,-100,6,8,2,19,-96,-97,-100,-103,-98,-100,-97,-98,-97,-98,-132,-99,-105,-98,-99,-105,-98,-103,-99,308,2.0826446280991737
HDOK,PLOK,17472,87,86,-99,7,8,2,19,-99,-103,-103,-100,-103,-98,-98,-98,-103,-101,-98,-101,-99,-98,-100,-100,-103,-99,-99,308,1.7190082644628097
