hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,location_id,realtime_average_rssi,median_rssi,mode_rssi,rssi_variance
HDOK,PLOK,17472,1,1,-74,8,8,2,19,-74,-73,-72,-72,-73,-79,-77,-73,-77,-76,-73,-76,-72,-72,-77,-76,-72,-74,-72,334,-74.21052631578948,-73.0,-72.0,2.1487603305785123
HDOK,PLOK,17472,2,2,-72,7,8,2,19,-70,-75,-73,-71,-75,-70,-70,-69,-72,-73,-69,-73,-70,-71,-72,-70,-70,-69,-69,334,-71.10526315789474,-70.0,-70.0,1.0578512396694215
HDOK,PLOK,17472,3,3,-72,8,8,2,19,-70,-73,-75,-71,-75,-70,-69,-69,-73,-73,-70,-71,-71,-70,-71,-71,-73,-70,-70,334,-71.3157894736842,-71.0,-70.0,1.0909090909090908
HDOK,PLOK,17472,4,4,-72,7,8,2,19,-70,-71,-70,-69,-70,-70,-75,-70,-74,-74,-70,-75,-69,-69,-75,-73,-69,-69,-69,334,-71.10526315789474,-70.0,-70.0,2.2479338842975207
HDOK,PLOK,17472,5,5,-72,8,8,2,19,-69,-70,-71,-76,-71,-72,-69,-69,-69,-69,-72,-69,-75,-70,-69,-75,-69,-74,-75,334,-71.21052631578948,-70.0,-69.0,2.429752066115703
HDOK,PLOK,17472,6,6,-73,7,8,2,19,-71,-75,-71,-69,-71,-69,-71,-73,-73,-76,-69,-75,-69,-70,-75,-70,-69,-69,-75,334,-71.57894736842105,-71.0,-69.0,3.057851239669422
HDOK,PLOK,17472,7,7,-72,8,8,2,19,-70,-74,-75,-71,-75,-69,-70,-69,-68,-73,-69,-73,-71,-70,-71,-71,-73,-70,-70,334,-71.15789473684211,-71.0,-70.0,1.1735537190082643
HDOK,PLOK,17472,8,8,-72,8,8,2,19,-70,-71,-75,-72,-74,-70,-69,-69,-70,-71,-71,-71,-72,-71,-70,-73,-70,-71,-71,334,-71.10526315789474,-71.0,-71.0,0.33057851239669417
HDOK,PLOK,17472,9,9,-73,7,8,2,19,-71,-70,-71,-76,-70,-73,-69,-70,-69,-70,-73,-69,-77,-71,-69,-75,-70,-75,-74,334,-71.6842105263158,-71.0,-70.0,1.9669421487603307
HDOK,PLOK,17472,10,10,-72,7,8,2,19,-69,-75,-74,-71,-75,-69,-70,-69,-73,-73,-69,-73,-71,-70,-73,-71,-71,-69,-76,334,-71.63157894736842,-71.0,-69.0,1.8677685950413225
HDOK,PLOK,17472,11,11,-73,7,8,2,19,-70,-71,-75,-72,-75,-70,-69,-69,-70,-71,-70,-71,-73,-71,-70,-73,-71,-71,-70,334,-71.15789473684211,-71.0,-71.0,0.38016528925619836
HDOK,PLOK,17472,12,12,-72,7,8,2,19,-69,-70,-69,-69,-69,-70,-74,-70,-71,-71,-70,-71,-70,-79,-71,-69,-70,-69,-75,334,-70.84210526315789,-70.0,-70.0,0.4462809917355372
