hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,location_id,realtime_average_rssi,median_rssi,mode_rssi,rssi_variance
HDOK,PLOK,17472,1,1,-88,8,8,2,19,-88,-88,-87,-87,-88,-88,-93,-88,-91,-91,-88,-91,-87,-87,-93,-85,-87,-87,-88,322,-88.52631578947368,-88.0,-88.0,1.0909090909090908
HDOK,PLOK,17472,2,2,-88,8,8,2,19,-86,-91,-88,-86,-88,-86,-88,-88,-88,-91,-86,-91,-86,-86,-91,-86,-86,-86,-88,322,-87.6842105263158,-88.0,-86.0,0.9917355371900825
HDOK,PLOK,17472,3,3,-87,8,8,2,19,-86,-87,-91,-89,-91,-87,-86,-85,-86,-86,-87,-86,-89,-87,-85,-91,-86,-88,-85,322,-87.26315789473684,-87.0,-86.0,0.8760330578512397
HDOK,PLOK,17472,4,4,-92,8,8,2,19,-90,-92,-94,-92,-94,-90,-89,-90,-90,-91,-91,-92,-93,-92,-92,-95,-98,-93,-92,322,-92.10526315789474,-92.0,-92.0,0.6942148760330578
HDOK,PLOK,17472,5,5,-113,-3,8,2,19,-109,-112,-111,-111,-110,-112,-112,-111,-112,-113,-110,-113,-110,-112,-112,-112,-112,-113,-112,322,-111.52631578947368,-112.0,-112.0,0.1983471074380165
HDOK,PLOK,17472,6,6,-112,-2,8,2,19,-107,-108,-107,-107,-108,-111,-112,-109,-110,-109,-110,-110,-112,-110,-112,-111,-110,-110,-113,322,-109.78947368421052,-110.0,-110.0,0.6942148760330578
HDOK,PLOK,17472,7,7,-101,6,8,2,19,-101,-105,-105,-102,-106,-101,-100,-101,-103,-103,-101,-102,-101,-101,-102,-103,-105,-102,-105,322,-102.57894736842105,-102.0,-101.0,1.2892561983471074
HDOK,PLOK,17472,8,8,-87,8,8,2,19,-87,-87,-89,-91,-89,-88,-86,-86,-86,-86,-88,-86,-91,-87,-86,-93,-86,-91,-86,322,-87.84210526315789,-87.0,-86.0,1.2396694214876034
HDOK,PLOK,17472,9,9,-91,7,8,2,19,-85,-91,-87,-86,-88,-86,-88,-88,-91,-93,-88,-93,-89,-89,-94,-90,-90,-91,-91,322,-89.36842105263158,-89.0,-91.0,1.5041322314049588
HDOK,PLOK,17472,10,10,-96,7,8,2,19,-96,-100,-99,-98,-101,-98,-96,-96,-103,-97,-97,-98,-98,-97,-97,-99,-97,-98,-100,322,-98.15789473684211,-98.0,-98.0,0.512396694214876
HDOK,PLOK,17472,11,11,-95,7,8,2,19,-95,-100,-99,-97,-101,-95,-95,-95,-99,-98,-94,-97,-95,-95,-95,-95,-93,-94,-93,322,-96.05263157894737,-95.0,-95.0,1.1404958677685952
HDOK,PLOK,17472,12,12,-99,7,8,2,19,-98,-103,-99,-97,-100,-97,-98,-98,-98,-101,-97,-101,-97,-98,-101,-98,-98,-98,-98,322,-98.6842105263158,-98.0,-98.0,0.3801652892561984
HDOK,PLOK,17472,13,13,-98,7,8,2,19,-96,-96,-100,-100,-98,-97,-95,-95,-95,-95,-98,-95,-101,-95,-96,-101,-97,-101,-97,322,-97.26315789473684,-97.0,-95.0,1.966942148760331
HDOK,PLOK,17472,14,14,-100,7,8,2,19,-100,-103,-103,-101,-105,-99,-98,-99,-99,-100,-98,-100,-99,-99,-98,-100,-101,-100,-99,322,-100.05263157894737,-100.0,-99.0,0.4132231404958677
HDOK,PLOK,17472,15,15,-108,0,8,2,19,-107,-107,-107,-107,-106,-109,-110,-109,-110,-109,-108,-111,-109,-110,-110,-110,-108,-110,-108,322,-108.6842105263158,-109.0,-110.0,0.8760330578512397
HDOK,PLOK,17472,16,16,-108,1,8,2,19,-107,-109,-107,-107,-110,-108,-107,-107,-110,-110,-109,-111,-110,-107,-110,-108,-109,-108,-108,322,-108.52631578947368,-108.0,-107.0,0.9752066115702479
HDOK,PLOK,17472,17,17,-105,4,8,2,19,-107,-107,-105,-106,-105,-107,-111,-105,-109,-107,-106,-107,-106,-105,-107,-106,-107,-109,-106,322,-106.73684210526316,-107.0,-107.0,0.2479338842975206
HDOK,PLOK,17472,18,18,-101,6,8,2,19,-101,-102,-100,-100,-101,-100,-104,-101,-105,-105,-101,-104,-99,-100,-105,-103,-99,-99,-103,322,-101.6842105263158,-101.0,-101.0,1.702479338842975
HDOK,PLOK,17472,19,19,-100,7,8,2,19,-100,-103,-103,-100,-105,-99,-100,-100,-105,-103,-99,-103,-100,-100,-101,-101,-103,-99,-100,322,-101.26315789473684,-100.0,-100.0,1.6363636363636365
HDOK,PLOK,17472,20,20,-100,6,8,2,19,-99,-103,-101,-100,-104,-99,-100,-100,-103,-103,-100,-103,-101,-100,-101,-100,-101,-100,-103,322,-101.10526315789474,-101.0,-100.0,1.1735537190082643
HDOK,PLOK,17472,21,21,-101,7,8,2,19,-100,-100,-105,-105,-101,-101,-99,-99,-100,-100,-101,-100,-105,-100,-99,-105,-99,-103,-99,322,-101.10526315789474,-100.0,-100.0,0.975206611570248
HDOK,PLOK,17472,22,22,-99,7,8,2,19,-99,-103,-98,-98,-100,-98,-101,-103,-101,-103,-98,-105,-98,-99,-105,-99,-99,-99,-99,322,-100.26315789473684,-99.0,-99.0,1.8347107438016523
HDOK,PLOK,17472,23,23,-95,7,8,2,19,-94,-95,-94,-93,-94,-93,-97,-94,-99,-99,-94,-99,-94,-94,-99,-101,-93,-94,-95,322,-95.52631578947368,-94.0,-94.0,2.4462809917355375
HDOK,PLOK,17472,24,24,-94,7,8,2,19,-94,-94,-99,-99,-94,-97,-93,-93,-93,-94,-97,-94,-99,-91,-94,-99,-93,-99,-99,322,-95.52631578947368,-94.0,-99.0,4.413223140495868
HDOK,PLOK,17472,25,25,-94,7,8,2,19,-94,-95,-93,-93,-94,-93,-97,-94,-99,-99,-93,-99,-93,-94,-99,-94,-93,-93,-95,322,-94.94736842105263,-94.0,-93.0,1.2396694214876034
HDOK,PLOK,17472,26,26,-94,7,8,2,19,-94,-95,-97,-99,-97,-95,-94,-94,-93,-94,-96,-93,-99,-94,-93,-100,-93,-100,-99,322,-95.73684210526316,-95.0,-94.0,2.5950413223140494
HDOK,PLOK,17472,27,27,-88,8,8,2,19,-87,-89,-87,-87,-88,-87,-89,-89,-91,-93,-87,-93,-87,-87,-93,-88,-87,-87,-91,322,-88.78947368421052,-88.0,-87.0,1.5371900826446279
HDOK,PLOK,17472,28,28,-89,8,8,2,19,-88,-91,-94,-90,-94,-89,-88,-87,-88,-89,-88,-89,-90,-89,-88,-92,-88,-90,-88,322,-89.47368421052632,-89.0,-88.0,0.628099173553719
