hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,location_id,realtime_average_rssi,median_rssi,mode_rssi,rssi_variance
HDOK,PLOK,17472,1,1,-101,6,8,2,19,-100,-101,-99,-100,-101,-103,-106,-100,-104,-102,-100,-102,-100,-100,-103,-100,-100,-100,-100,306-304,-101.10526315789474,-100.0,-100.0,0.6115702479338844
HDOK,PLOK,17472,2,2,-100,7,8,2,19,-96,-100,-99,-97,-101,-95,-96,-97,-101,-100,-97,-100,-99,-99,-99,-100,-100,-100,-99,306-304,-98.6842105263158,-99.0,-100.0,1.0909090909090908
HDOK,PLOK,17472,3,3,-101,6,8,2,19,-101,-105,-100,-100,-103,-100,-101,-101,-101,-105,-99,-105,-100,-100,-105,-100,-101,-100,-101,306-304,-101.47368421052632,-101.0,-100.0,0.6942148760330578
HDOK,PLOK,17472,4,4,-101,6,8,2,19,-100,-103,-103,-101,-105,-100,-99,-99,-103,-101,-100,-101,-101,-100,-85,-103,-103,-100,-103,306-304,-100.52631578947368,-101.0,-103.0,1.421487603305785
HDOK,PLOK,17472,5,5,-104,5,8,2,19,-103,-106,-103,-102,-104,-102,-107,-105,-107,-107,-104,-107,-103,-103,-107,-105,-103,-103,-107,306-304,-104.63157894736842,-104.0,-107.0,2.2479338842975207
HDOK,PLOK,17472,6,6,-108,0,8,2,19,-110,-110,-112,-111,-113,-111,-110,-112,-110,-110,-111,-111,-111,-111,-110,-111,-110,-110,-111,306-304,-110.78947368421052,-111.0,-111.0,0.23140495867768596
HDOK,PLOK,17472,7,7,-101,7,8,2,19,-101,-101,-100,-100,-101,-103,-105,-100,-104,-103,-101,-103,-100,-100,-103,-101,-100,-99,-100,306-304,-101.3157894736842,-101.0,-100.0,1.0909090909090908
HDOK,PLOK,17472,8,8,-100,7,8,2,19,-100,-105,-101,-99,-105,-99,-99,-99,-101,-103,-99,-103,-99,-99,-101,-100,-100,-99,-99,306-304,-100.52631578947368,-100.0,-99.0,0.6942148760330578
HDOK,PLOK,17472,9,9,-101,6,8,2,19,-101,-100,-100,-99,-100,-105,-105,-100,-104,-102,-101,-102,-100,-100,-104,-101,-99,-100,-101,306-304,-101.26315789473684,-101.0,-100.0,0.56198347107438
HDOK,PLOK,17472,10,10,-101,6,8,2,19,-101,-101,-101,-101,-101,-104,-106,-101,-105,-103,-101,-104,-101,-100,-104,-101,-101,-102,-101,306-304,-102.05263157894737,-101.0,-101.0,0.975206611570248
HDOK,PLOK,17472,11,11,-103,6,8,2,19,-103,-103,-107,-107,-106,-105,-102,-102,-103,-103,-105,-101,-107,-104,-103,-107,-102,-105,-107,306-304,-104.3157894736842,-104.0,-107.0,1.834710743801653
HDOK,PLOK,17472,12,12,-99,7,8,2,19,-98,-99,-103,-101,-103,-99,-98,-97,-97,-98,-99,-98,-101,-98,-98,-101,-98,-100,-98,306-304,-99.15789473684211,-98.0,-98.0,0.9256198347107436
HDOK,PLOK,17472,13,13,-100,7,8,2,19,-99,-100,-103,-103,-105,-100,-99,-99,-99,-100,-100,-99,-103,-101,-99,-104,-100,-101,-100,306-304,-100.73684210526316,-100.0,-100.0,1.1074380165289257
HDOK,PLOK,17472,14,14,-107,2,8,2,19,-107,-111,-109,-106,-109,-106,-107,-107,-107,-111,-107,-111,-108,-107,-111,-107,-107,-107,-108,306-304,-108.05263157894737,-107.0,-107.0,0.6115702479338844
HDOK,PLOK,17472,15,15,-104,5,8,2,19,-105,-107,-106,-106,-111,-105,-103,-105,-107,-106,-104,-105,-105,-105,-106,-107,-107,-105,-104,306-304,-105.73684210526316,-105.0,-105.0,0.4297520661157025
HDOK,PLOK,17472,16,16,-105,4,8,2,19,-106,-105,-107,-109,-109,-107,-105,-106,-104,-104,-107,-105,-111,-105,-106,-109,-105,-109,-106,306-304,-106.57894736842105,-106.0,-105.0,1.2892561983471074
HDOK,PLOK,17472,17,17,-103,5,8,2,19,-104,-107,-105,-105,-105,-104,-106,-107,-107,-109,-104,-109,-104,-104,-109,-104,-103,-104,-104,306-304,-105.47368421052632,-105.0,-104.0,1.2727272727272727
HDOK,PLOK,17472,18,18,-105,4,8,2,19,-106,-106,-109,-109,-107,-107,-106,-106,-105,-106,-109,-106,-109,-107,-106,-109,-105,-109,-105,306-304,-106.94736842105263,-106.0,-106.0,1.2396694214876034
HDOK,PLOK,17472,19,19,-101,6,8,2,19,-102,-106,-103,-101,-102,-100,-103,-104,-103,-105,-100,-105,-100,-100,-105,-100,-101,-100,-100,306-304,-102.10526315789474,-102.0,-100.0,1.834710743801653
HDOK,PLOK,17472,20,20,-98,7,8,2,19,-98,-97,-101,-103,-100,-101,-99,-99,-98,-98,-101,-98,-103,-98,-98,-103,-97,-103,-97,306-304,-99.57894736842105,-99.0,-98.0,1.603305785123967
HDOK,PLOK,17472,21,21,-98,7,8,2,19,-97,-98,-97,-97,-97,-104,-101,-97,-101,-101,-97,-101,-97,-97,-101,-101,-97,-97,-97,306-304,-98.6842105263158,-97.0,-97.0,3.057851239669421
HDOK,PLOK,17472,22,22,-101,6,8,2,19,-101,-104,-105,-101,-105,-99,-100,-99,-101,-101,-100,-101,-101,-100,-100,-102,-103,-101,-105,306-304,-101.52631578947368,-101.0,-101.0,0.6280991735537191
HDOK,PLOK,17472,23,23,-100,7,8,2,19,-100,-105,-105,-100,-105,-99,-99,-99,-103,-101,-100,-101,-100,-100,-101,-100,-103,-101,-103,306-304,-101.3157894736842,-101.0,-100.0,1.1735537190082643
HDOK,PLOK,17472,24,24,-100,7,8,2,19,-97,-101,-101,-99,-103,-98,-97,-97,-100,-100,-98,-100,-99,-99,-99,-100,-103,-100,-98,306-304,-99.42105263157895,-99.0,-100.0,0.5619834710743802
HDOK,PLOK,17472,25,25,-100,7,8,2,19,-99,-101,-105,-101,-105,-99,-98,-99,-100,-100,-99,-100,-101,-100,-100,-101,-101,-101,-99,306-304,-100.47368421052632,-100.0,-101.0,0.512396694214876
HDOK,PLOK,17472,26,26,-100,6,8,2,19,-101,-105,-103,-101,-104,-99,-100,-100,-103,-103,-100,-103,-101,-100,-103,-101,-101,-100,-103,306-304,-101.63157894736842,-101.0,-103.0,1.3388429752066116
HDOK,PLOK,17472,27,27,-101,6,8,2,19,-99,-105,-105,-101,-104,-100,-100,-100,-104,-103,-99,-103,-101,-100,-103,-101,-103,-101,-105,306-304,-101.94736842105263,-101.0,-103.0,1.7851239669421488
HDOK,PLOK,17472,28,28,-101,6,8,2,19,-101,-103,-100,-100,-101,-99,-105,-102,-104,-105,-100,-105,-100,-100,-105,-100,-100,-100,-99,306-304,-101.52631578947368,-100.0,-100.0,1.8181818181818181
HDOK,PLOK,17472,29,29,-101,6,8,2,19,-100,-102,-101,-99,-101,-100,-103,-101,-104,-105,-100,-105,-100,-100,-105,-103,-100,-100,-100,306-304,-101.52631578947368,-101.0,-100.0,1.2727272727272727
HDOK,PLOK,17472,30,30,-100,6,8,2,19,-100,-101,-99,-99,-100,-100,-105,-100,-103,-103,-100,-103,-100,-93,-105,-103,-100,-99,-101,306-304,-100.73684210526316,-100.0,-100.0,1.2892561983471074
HDOK,PLOK,17472,31,31,-99,7,8,2,19,-98,-103,-101,-98,-101,-98,-99,-105,-99,-103,-97,-103,-98,-98,-103,-98,-98,-98,-101,306-304,-99.94736842105263,-99.0,-98.0,2.7933884297520666
HDOK,PLOK,17472,32,32,-101,6,8,2,19,-101,-105,-104,-101,-105,-101,-101,-100,-103,-104,-100,-104,-101,-101,-103,-101,-101,-101,-103,306-304,-102.10526315789474,-101.0,-101.0,1.2396694214876034
HDOK,PLOK,17472,33,33,-101,6,8,2,19,-101,-101,-99,-99,-100,-101,-105,-101,-105,-104,-101,-104,-99,-100,-105,-104,-100,-101,-102,306-304,-101.6842105263158,-101.0,-101.0,1.702479338842975
HDOK,PLOK,17472,34,34,-101,7,8,2,19,-101,-101,-105,-105,-102,-102,-101,-101,-100,-101,-102,-101,-105,-102,-100,-106,-101,-104,-101,306-304,-102.15789473684211,-101.0,-101.0,0.7768595041322314
HDOK,PLOK,17472,35,35,-101,6,8,2,19,-101,-105,-101,-100,-103,-100,-101,-101,-101,-105,-100,-104,-101,-100,-104,-101,-101,-101,-102,306-304,-101.6842105263158,-101.0,-101.0,0.3801652892561984
HDOK,PLOK,17472,36,36,-102,6,8,2,19,-101,-105,-101,-101,-103,-100,-103,-105,-104,-106,-101,-106,-100,-101,-106,-101,-101,-101,-105,306-304,-102.6842105263158,-101.0,-101.0,2.595041322314049
HDOK,PLOK,17472,37,37,-103,6,8,2,19,-103,-106,-106,-105,-107,-103,-102,-102,-106,-106,-103,-105,-104,-103,-103,-104,-106,-104,-106,306-304,-104.42105263157895,-104.0,-106.0,1.3388429752066116
HDOK,PLOK,17472,38,38,-102,6,8,2,19,-101,-106,-103,-102,-105,-101,-102,-101,-101,-105,-101,-105,-101,-102,-104,-101,-101,-102,-102,306-304,-102.42105263157895,-102.0,-101.0,0.8099173553719008
HDOK,PLOK,17472,39,39,-102,6,8,2,19,-101,-106,-102,-101,-104,-101,-101,-101,-102,-105,-101,-105,-103,-101,-104,-101,-101,-101,-101,306-304,-102.21052631578948,-101.0,-101.0,0.9586776859504134
HDOK,PLOK,17472,40,40,-102,6,8,2,19,-101,-101,-101,-101,-101,-102,-106,-101,-103,-101,-101,-101,-101,-102,-103,-101,-101,-105,-101,306-304,-101.78947368421052,-101.0,-101.0,0.1487603305785124
HDOK,PLOK,17472,41,41,-101,6,8,2,19,-101,-103,-103,-102,-106,-101,-101,-101,-101,-103,-101,-102,-103,-103,-101,-104,-103,-102,-106,306-304,-102.47368421052632,-102.0,-101.0,0.6942148760330578
HDOK,PLOK,17472,42,42,-103,5,8,2,19,-103,-103,-102,-104,-102,-104,-107,-103,-104,-103,-103,-104,-104,-105,-104,-102,-103,-106,-105,306-304,-103.73684210526316,-104.0,-104.0,0.2479338842975206
HDOK,PLOK,17472,43,43,-103,6,8,2,19,-102,-103,-102,-103,-102,-104,-106,-103,-104,-104,-101,-102,-102,-103,-104,-101,-103,-101,-107,306-304,-103.0,-103.0,-103.0,0.512396694214876
HDOK,PLOK,17472,44,44,-102,6,8,2,19,-103,-106,-104,-103,-106,-102,-102,-102,-104,-106,-101,-105,-102,-103,-105,-103,-103,-103,-104,306-304,-103.52631578947368,-103.0,-103.0,0.5950413223140495
HDOK,PLOK,17472,45,45,-102,6,8,2,19,-102,-103,-102,-102,-101,-105,-107,-101,-105,-104,-102,-103,-101,-101,-105,-102,-101,-101,-106,306-304,-102.84210526315789,-102.0,-101.0,1.3388429752066118
HDOK,PLOK,17472,46,46,-101,6,8,2,19,-101,-101,-104,-106,-102,-105,-101,-102,-101,-101,-105,-101,-107,-105,-101,-105,-101,-106,-104,306-304,-103.10526315789474,-102.0,-101.0,2.87603305785124
HDOK,PLOK,17472,47,47,-103,6,8,2,19,-103,-103,-103,-103,-103,-103,-106,-102,-104,-103,-102,-104,-104,-105,-104,-103,-104,-103,-103,306-304,-103.42105263157895,-103.0,-103.0,0.1983471074380165
