hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,location_id,rssi_variance
HDOK,PLOK,17472,1,1,-77,8,8,2,19,-76,-79,-79,-76,-81,-76,-75,-75,-79,-77,-75,-77,-76,-76,-77,-76,-76,-75,-76,340,1.1360946745562128
HDOK,PLOK,17472,2,2,-77,8,8,2,19,-77,-77,-79,-81,-79,-78,-76,-76,-76,-76,-77,-76,-80,-77,-76,-80,-76,-78,-76,340,1.6213017751479293
HDOK,PLOK,17472,3,3,-77,8,8,2,19,-77,-78,-77,-75,-77,-75,-80,-76,-81,-80,-76,-80,-76,-75,-81,-80,-75,-76,-76,340,2.85207100591716
HDOK,PLOK,17472,4,4,-79,7,8,2,19,-77,-82,-79,-77,-79,-77,-78,-79,-80,-82,-77,-82,-77,-77,-82,-77,-77,-77,-77,340,3.1715976331360944
HDOK,PLOK,17472,5,5,-75,8,8,2,19,-73,-79,-74,-73,-75,-72,-74,-74,-75,-79,-72,-79,-73,-73,-79,-74,-73,-74,-77,340,4.071005917159763
HDOK,PLOK,17472,6,6,-76,8,8,2,19,-75,-77,-81,-76,-81,-75,-75,-74,-73,-76,-75,-76,-76,-75,-76,-76,-76,-75,-77,340,0.4378698224852071
HDOK,PLOK,17472,7,7,-77,7,8,2,19,-75,-75,-79,-79,-77,-76,-74,-75,-74,-75,-76,-75,-79,-76,-75,-79,-74,-77,-74,340,1.9763313609467454
HDOK,PLOK,17472,8,8,-77,8,8,2,19,-75,-76,-81,-79,-79,-76,-75,-75,-75,-76,-76,-76,-79,-77,-75,-81,-76,-77,-79,340,2.0
HDOK,PLOK,17472,9,9,-77,7,8,2,19,-75,-76,-74,-75,-75,-73,-81,-75,-79,-77,-75,-77,-75,-75,-77,-75,-75,-79,-73,340,1.5147928994082838
HDOK,PLOK,17472,10,10,-79,8,8,2,19,-78,-79,-78,-78,-78,-78,-82,-77,-79,-78,-77,-78,-79,-82,-78,-77,-78,-77,-82,340,1.1715976331360949
