hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,location_id,realtime_average_rssi,median_rssi,mode_rssi,rssi_variance
HDOK,PLOK,17472,64,64,-69,8,8,2,19,-67,-73,-71,-68,-71,-67,-68,-68,-68,-73,-67,-73,-68,-68,-71,-68,-67,-68,-67,330,-69.0,-68.0,-68.0,1.5206611570247934
HDOK,PLOK,17472,65,65,-64,7,8,2,19,-63,-69,-64,-62,-64,-62,-64,-64,-65,-67,-62,-67,-62,-62,-67,-62,-61,-62,-61,330,-63.68421052631579,-63.0,-62.0,1.1735537190082643
HDOK,PLOK,17472,66,66,-69,8,8,2,19,-67,-71,-69,-67,-69,-67,-70,-64,-71,-73,-67,-73,-67,-67,-73,-70,-67,-68,-68,330,-68.84210526315789,-68.0,-67.0,1.884297520661157
HDOK,PLOK,17472,67,67,-73,8,8,2,19,-71,-72,-71,-71,-71,-71,-75,-71,-72,-71,-71,-71,-72,-75,-72,-71,-71,-71,-73,330,-71.73684210526316,-71.0,-71.0,0.1983471074380165
HDOK,PLOK,17472,68,68,-71,7,8,2,19,-69,-75,-71,-70,-72,-69,-71,-77,-71,-75,-69,-75,-69,-69,-74,-69,-70,-70,-70,330,-71.3157894736842,-70.0,-69.0,1.8677685950413225
HDOK,PLOK,17472,69,69,-72,8,8,2,19,-70,-71,-70,-70,-70,-70,-75,-70,-75,-75,-70,-75,-69,-69,-75,-73,-69,-70,-73,330,-71.52631578947368,-70.0,-70.0,2.809917355371901
HDOK,PLOK,17472,70,70,-71,8,8,2,19,-69,-70,-73,-75,-71,-72,-70,-71,-69,-70,-72,-69,-75,-71,-69,-75,-69,-75,-73,330,-71.47368421052632,-71.0,-69.0,1.537190082644628
HDOK,PLOK,17472,71,71,-71,8,8,2,19,-70,-71,-75,-75,-75,-70,-70,-69,-69,-70,-71,-70,-73,-70,-70,-75,-69,-75,-71,330,-71.47368421052632,-70.0,-70.0,2.3636363636363638
HDOK,PLOK,17472,72,72,-72,8,8,2,19,-71,-76,-75,-71,-75,-71,-71,-71,-71,-75,-70,-75,-71,-71,-74,-71,-72,-71,-76,330,-72.52631578947368,-71.0,-71.0,2.628099173553719
HDOK,PLOK,17472,73,73,-71,7,8,2,19,-71,-75,-73,-71,-76,-70,-70,-69,-72,-74,-69,-73,-71,-70,-72,-71,-71,-71,-69,330,-71.47368421052632,-71.0,-71.0,0.6942148760330578
HDOK,PLOK,17472,74,74,-71,7,8,2,19,-69,-75,-73,-69,-73,-70,-70,-70,-70,-75,-69,-75,-70,-70,-73,-70,-70,-70,-70,330,-71.10526315789474,-70.0,-70.0,1.3388429752066118
HDOK,PLOK,17472,75,75,-72,8,8,2,19,-72,-72,-75,-77,-72,-75,-71,-72,-71,-71,-75,-71,-76,-75,-70,-75,-70,-75,-71,330,-72.94736842105263,-72.0,-75.0,2.87603305785124
HDOK,PLOK,17472,76,76,-72,8,8,2,19,-70,-71,-70,-70,-69,-70,-75,-69,-71,-71,-70,-71,-70,-70,-71,-70,-70,-74,-74,330,-70.84210526315789,-70.0,-70.0,0.23140495867768598
HDOK,PLOK,17472,77,77,-73,8,8,2,19,-71,-71,-71,-71,-71,-75,-77,-71,-74,-73,-71,-74,-71,-71,-74,-71,-71,-71,-71,330,-72.10526315789474,-71.0,-71.0,0.975206611570248
HDOK,PLOK,17472,78,78,-72,8,8,2,19,-71,-73,-76,-75,-76,-72,-71,-71,-71,-72,-72,-72,-75,-73,-71,-76,-71,-75,-75,330,-73.05263157894737,-72.0,-71.0,2.1487603305785123
HDOK,PLOK,17472,79,79,-72,7,8,2,19,-71,-77,-73,-72,-74,-71,-72,-72,-74,-76,-71,-76,-71,-71,-76,-71,-71,-71,-71,330,-72.6842105263158,-72.0,-71.0,1.2727272727272727
HDOK,PLOK,17472,80,80,-72,8,8,2,19,-71,-73,-71,-71,-72,-71,-75,-72,-76,-76,-71,-76,-71,-71,-77,-73,-71,-71,-71,330,-72.63157894736842,-71.0,-71.0,1.5371900826446279
