hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,rssi_19,rssi_20,rssi_21,rssi_22,rssi_23,rssi_24,rssi_25,rssi_26,rssi_27,rssi_28,rssi_29,rssi_30,rssi_31,rssi_32,location_id,realtime_average_rssi,median_rssi,mode_rssi,rssi_variance
HDOK,PLOK,17472,37,37,-81,9,11,2,33,-88,-80,-81,-79,-83,-80,-81,-79,-81,-80,-80,-81,-80,-80,-80,-81,-80,-83,-89,-80,-79,-81,-79,-87,-80,-80,-80,-80,-80,-80,-80,-80,-80,340,-80.96969696969697,-80.0,-80.0,0.47040000000000004
HDOK,PLOK,17472,38,38,-82,9,11,2,33,-80,-80,-81,-80,-83,-80,-81,-80,-81,-80,-79,-81,-80,-80,-81,-81,-80,-83,-85,-80,-80,-81,-81,-87,-79,-80,-80,-80,-81,-80,-80,-79,-91,340,-81.06060606060606,-80.0,-80.0,0.48960000000000004
HDOK,PLOK,17472,39,39,-81,9,11,2,33,-88,-80,-81,-79,-81,-80,-82,-80,-82,-79,-79,-81,-80,-80,-80,-80,-80,-82,-91,-80,-79,-81,-80,-87,-80,-80,-80,-82,-81,-80,-80,-79,-79,340,-81.0,-80.0,-80.0,0.6304
HDOK,PLOK,17472,40,40,-81,9,11,2,33,-80,-79,-81,-80,-83,-80,-81,-80,-81,-79,-80,-81,-80,-79,-80,-81,-80,-83,-85,-80,-80,-81,-79,-87,-79,-80,-80,-81,-81,-80,-80,-85,-79,340,-80.75757575757575,-80.0,-80.0,0.6304000000000001
HDOK,PLOK,17472,41,41,-82,9,11,2,33,-88,-80,-82,-79,-80,-79,-82,-79,-87,-79,-79,-81,-81,-79,-80,-80,-81,-81,-82,-80,-80,-81,-80,-88,-79,-80,-80,-81,-82,-80,-80,-80,-80,340,-80.9090909090909,-80.0,-80.0,0.7103999999999999
HDOK,PLOK,17472,42,42,-86,8,11,2,33,-81,-82,-83,-82,-86,-82,-83,-82,-83,-83,-83,-86,-84,-84,-86,-86,-86,-88,-99,-86,-85,-87,-86,-94,-86,-87,-87,-88,-88,-87,-87,-86,-89,340,-85.81818181818181,-86.0,-86.0,2.96
HDOK,PLOK,17472,43,43,-81,8,11,2,33,-88,-80,-82,-79,-80,-80,-82,-81,-85,-79,-79,-81,-81,-80,-81,-81,-81,-81,-83,-81,-79,-80,-80,-89,-80,-80,-80,-83,-83,-81,-81,-84,-81,340,-81.39393939393939,-81.0,-81.0,0.9184
HDOK,PLOK,17472,44,44,-81,9,11,2,33,-80,-80,-82,-80,-81,-79,-82,-79,-82,-80,-80,-81,-80,-80,-80,-81,-81,-82,-88,-80,-80,-81,-80,-88,-80,-80,-80,-82,-81,-80,-80,-80,-80,340,-80.9090909090909,-80.0,-80.0,0.48960000000000004
HDOK,PLOK,17472,45,45,-81,9,11,2,33,-88,-80,-83,-80,-80,-79,-82,-80,-87,-80,-79,-81,-81,-80,-80,-80,-81,-81,-81,-81,-80,-80,-80,-88,-80,-80,-80,-81,-81,-81,-81,-79,-80,340,-81.06060606060606,-80.0,-80.0,0.3296
HDOK,PLOK,17472,46,46,-82,9,11,2,33,-81,-81,-83,-80,-81,-80,-82,-81,-89,-80,-80,-81,-81,-80,-81,-81,-81,-82,-82,-81,-80,-81,-80,-89,-80,-80,-79,-81,-82,-80,-81,-80,-80,340,-81.24242424242425,-81.0,-81.0,0.4224
HDOK,PLOK,17472,47,47,-81,9,11,2,33,-88,-79,-83,-80,-80,-80,-83,-80,-89,-79,-80,-81,-83,-80,-80,-80,-81,-81,-81,-81,-80,-81,-81,-89,-80,-80,-80,-83,-82,-81,-82,-80,-80,340,-81.45454545454545,-81.0,-80.0,1.0144
HDOK,PLOK,17472,48,48,-81,9,11,2,33,-80,-80,-82,-80,-81,-80,-82,-79,-83,-80,-80,-81,-81,-80,-80,-81,-81,-81,-82,-81,-80,-81,-80,-89,-80,-80,-80,-83,-83,-80,-81,-83,-80,340,-81.06060606060606,-81.0,-80.0,0.6816
HDOK,PLOK,17472,49,49,-82,8,11,2,33,-88,-80,-82,-80,-81,-80,-82,-79,-83,-80,-80,-81,-80,-80,-80,-81,-81,-82,-87,-80,-80,-81,-80,-88,-80,-80,-80,-81,-82,-80,-80,-80,-85,340,-81.33333333333333,-80.0,-80.0,0.7776000000000002
HDOK,PLOK,17472,50,50,-81,9,11,2,33,-80,-80,-83,-80,-80,-79,-83,-80,-87,-80,-80,-81,-82,-80,-80,-80,-81,-81,-81,-81,-80,-81,-80,-88,-80,-80,-80,-81,-81,-80,-80,-80,-80,340,-80.9090909090909,-80.0,-80.0,0.32
