hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,rssi_19,rssi_20,rssi_21,rssi_22,rssi_23,rssi_24,rssi_25,rssi_26,rssi_27,rssi_28,rssi_29,rssi_30,rssi_31,rssi_32,location_id,rssi_variance
HDOK,PLOK,17472,1,1,-77,10,11,2,33,-87,-79,-82,-78,-79,-85,-80,-78,-85,-78,-78,-78,-79,-77,-77,-77,-78,-79,-78,-77,-76,-77,-76,-85,-76,-76,-77,-77,-78,-77,-77,-77,-76,336,1.5135999999999998
HDOK,PLOK,17472,2,2,-76,10,11,2,33,-76,-76,-78,-76,-83,-85,-77,-76,-77,-76,-76,-78,-76,-76,-77,-77,-77,-80,-81,-77,-76,-78,-77,-82,-76,-76,-76,-77,-77,-77,-76,-78,-75,336,0.9056000000000002
HDOK,PLOK,17472,3,3,-77,10,11,2,33,-85,-76,-80,-76,-79,-85,-78,-76,-77,-76,-76,-77,-76,-76,-77,-77,-77,-79,-87,-77,-76,-77,-76,-83,-76,-76,-77,-78,-78,-76,-77,-77,-76,336,1.1583999999999999
HDOK,PLOK,17472,4,4,-78,10,11,2,33,-77,-77,-80,-76,-77,-83,-80,-77,-85,-77,-76,-77,-86,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-87,-77,-76,-77,-81,-78,-77,-79,-83,-77,336,2.4223999999999997
HDOK,PLOK,17472,5,5,-77,10,11,2,33,-85,-76,-77,-75,-78,-85,-78,-75,-78,-76,-76,-77,-76,-76,-76,-76,-77,-78,-82,-76,-75,-77,-76,-85,-76,-75,-75,-77,-77,-76,-75,-76,-77,336,0.7296
HDOK,PLOK,17472,6,6,-76,8,11,2,33,-75,-76,-77,-76,-80,-85,-77,-76,-77,-76,-75,-77,-76,-76,-76,-76,-76,-78,-84,-76,-75,-77,-76,-83,-76,-76,-76,-77,-79,-76,-76,-79,-76,336,0.8064
HDOK,PLOK,17472,7,7,-77,10,11,2,33,-85,-75,-79,-76,-75,-81,-79,-76,-79,-76,-75,-76,-87,-76,-75,-75,-77,-77,-76,-77,-75,-76,-77,-83,-77,-75,-75,-81,-81,-77,-77,-76,-76,336,2.7456
HDOK,PLOK,17472,8,8,-76,10,11,2,33,-76,-76,-77,-75,-81,-87,-77,-76,-77,-76,-76,-77,-76,-75,-77,-77,-77,-78,-81,-76,-75,-77,-76,-83,-76,-76,-76,-79,-77,-76,-77,-75,-76,336,0.56
HDOK,PLOK,17472,9,9,-76,8,11,2,33,-83,-76,-79,-76,-75,-82,-79,-76,-81,-76,-75,-76,-82,-76,-75,-76,-77,-77,-75,-77,-76,-76,-76,-83,-76,-76,-76,-79,-81,-76,-79,-77,-75,336,2.64
HDOK,PLOK,17472,10,10,-76,8,11,2,33,-75,-76,-77,-76,-76,-83,-78,-77,-82,-76,-76,-77,-77,-76,-75,-76,-76,-77,-77,-76,-75,-77,-76,-85,-76,-76,-76,-77,-77,-76,-76,-76,-76,336,0.23040000000000002
HDOK,PLOK,17472,11,11,-76,8,11,2,33,-83,-76,-77,-76,-77,-83,-77,-76,-77,-76,-76,-77,-76,-76,-75,-76,-76,-78,-87,-76,-75,-77,-76,-83,-76,-76,-75,-79,-76,-76,-76,-75,-75,336,0.64
