hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,rssi_19,rssi_20,rssi_21,rssi_22,rssi_23,rssi_24,rssi_25,rssi_26,rssi_27,rssi_28,rssi_29,rssi_30,rssi_31,rssi_32,location_id,realtime_average_rssi,median_rssi,mode_rssi,rssi_variance
HDOK,PLOK,17472,1,1,-129,-13,11,2,33,-116,-117,-115,-118,-119,-117,-116,-119,-118,-117,-117,-117,-119,-118,-117,-117,-116,-117,-117,-118,-118,-117,-118,-118,-116,-116,-116,-116,-118,-116,-119,-119,-116,point1,-117.21212121212122,-117.0,-117.0,0.6944
HDOK,PLOK,17472,2,2,-131,-15,11,2,33,-116,-118,-117,-116,-116,-119,-101,-117,-117,-118,-118,-118,-118,-117,-118,-118,-117,-116,-118,-117,-116,-118,-118,-118,-116,-118,-117,-117,-118,-118,-117,-119,-118,point1,-116.9090909090909,-118.0,-118.0,0.48
HDOK,PLOK,17472,3,3,-129,-13,11,2,33,-115,-117,-119,-118,-117,-118,-119,-117,-115,-118,-117,-117,-117,-118,-117,-117,-117,-116,-117,-115,-117,-117,-117,-117,-117,-117,-116,-116,-118,-116,-117,-117,-119,point1,-117.03030303030303,-117.0,-117.0,0.2784
HDOK,PLOK,17472,4,4,-129,-13,11,2,33,-116,-116,-117,-113,-117,-116,-118,-117,-118,-116,-117,-117,-118,-118,-118,-117,-117,-118,-117,-119,-117,-115,-116,-118,-118,-115,-118,-118,-117,-116,-117,-117,-118,point1,-116.96969696969697,-117.0,-117.0,0.5056
HDOK,PLOK,17472,5,5,-131,-15,11,2,33,-115,-116,-116,-116,-118,-117,-118,-116,-118,-118,-118,-118,-116,-117,-117,-118,-119,-118,-116,-117,-116,-117,-117,-117,-116,-118,-117,-117,-118,-118,-117,-117,-121,point1,-117.21212121212122,-117.0,-118.0,0.5344000000000001
HDOK,PLOK,17472,6,6,-130,-14,11,2,33,-116,-116,-118,-118,-117,-118,-117,-117,-117,-117,-118,-118,-117,-118,-117,-117,-115,-117,-116,-118,-117,-117,-117,-117,-116,-117,-118,-117,-117,-117,-117,-116,-117,point1,-117.03030303030303,-117.0,-117.0,0.2336
HDOK,PLOK,17472,7,7,-129,-13,11,2,33,-117,-116,-117,-116,-118,-117,-118,-118,-117,-115,-118,-118,-119,-115,-116,-118,-117,-117,-118,-115,-116,-116,-118,-117,-116,-118,-116,-117,-117,-118,-116,-117,-116,point1,-116.9090909090909,-117.0,-118.0,0.5983999999999999
HDOK,PLOK,17472,8,8,-129,-13,11,2,33,-115,-118,-118,-118,-115,-118,-117,-119,-116,-117,-118,-117,-118,-118,-116,-117,-117,-117,-115,-117,-117,-118,-117,-116,-117,-116,-117,-118,-116,-118,-118,-118,-115,point1,-117.03030303030303,-117.0,-118.0,0.5344000000000001
HDOK,PLOK,17472,9,9,-128,-12,11,2,33,-117,-118,-117,-116,-117,-115,-117,-117,-117,-117,-115,-118,-118,-116,-118,-118,-118,-118,-117,-118,-117,-116,-118,-118,-116,-124,-118,-117,-117,-117,-117,-115,-113,point1,-117.12121212121212,-117.0,-117.0,0.4544
HDOK,PLOK,17472,10,10,-130,-14,11,2,33,-117,-117,-117,-118,-118,-116,-117,-119,-117,-118,-118,-117,-117,-117,-116,-116,-118,-117,-116,-118,-117,-118,-116,-117,-118,-117,-113,-117,-119,-117,-117,-115,-117,point1,-117.03030303030303,-117.0,-117.0,0.3456
HDOK,PLOK,17472,11,11,-131,-14,11,2,33,-117,-117,-117,-116,-116,-117,-116,-117,-118,-118,-118,-117,-117,-115,-118,-117,-118,-115,-117,-116,-115,-118,-117,-118,-117,-116,-115,-118,-118,-116,-117,-117,-117,point1,-116.84848484848484,-117.0,-117.0,0.4383999999999999
HDOK,PLOK,17472,12,12,-128,-12,11,2,33,-116,-116,-118,-115,-117,-119,-117,-116,-116,-116,-116,-116,-118,-116,-116,-116,-117,-117,-118,-117,-117,-117,-116,-118,-118,-116,-116,-116,-116,-119,-118,-117,-116,point1,-116.75757575757575,-116.0,-116.0,0.5504
HDOK,PLOK,17472,13,13,-131,-15,11,2,33,-113,-117,-115,-117,-117,-118,-116,-115,-118,-118,-117,-117,-117,-118,-117,-118,-119,-117,-116,-118,-119,-119,-117,-118,-117,-116,-118,-117,-116,-118,-117,-118,-119,point1,-117.18181818181819,-117.0,-117.0,0.44160000000000005
HDOK,PLOK,17472,14,14,-130,-13,11,2,33,-116,-117,-118,-117,-117,-118,-117,-118,-118,-118,-119,-115,-117,-117,-118,-116,-117,-118,-118,-117,-119,-117,-116,-118,-117,-118,-117,-117,-116,-118,-117,-117,-117,point1,-117.27272727272727,-117.0,-117.0,0.29760000000000003
HDOK,PLOK,17472,15,15,-128,-12,11,2,33,-118,-116,-117,-119,-118,-117,-118,-117,-115,-117,-117,-132,-118,-117,-116,-117,-117,-118,-118,-115,-118,-118,-116,-117,-116,-116,-118,-118,-117,-118,-116,-118,-117,point1,-117.57575757575758,-117.0,-118.0,0.5024
HDOK,PLOK,17472,16,16,-129,-13,11,2,33,-115,-116,-116,-116,-118,-117,-117,-117,-118,-118,-117,-117,-117,-115,-116,-119,-116,-118,-117,-118,-117,-119,-117,-116,-117,-115,-117,-116,-118,-118,-113,-118,-116,point1,-116.81818181818181,-117.0,-117.0,0.5536
HDOK,PLOK,17472,17,17,-128,-12,11,2,33,-116,-116,-117,-117,-117,-118,-118,-118,-116,-116,-117,-117,-117,-118,-117,-117,-117,-116,-117,-117,-117,-117,-118,-117,-117,-117,-117,-116,-117,-115,-115,-117,-118,point1,-116.87878787878788,-117.0,-117.0,0.2336
HDOK,PLOK,17472,18,18,-128,-12,11,2,33,-116,-116,-118,-118,-117,-118,-117,-117,-117,-119,-117,-119,-116,-116,-117,-117,-118,-117,-117,-118,-116,-117,-119,-119,-117,-116,-117,-117,-116,-118,-118,-118,-118,point1,-117.3030303030303,-117.0,-117.0,0.42239999999999994
HDOK,PLOK,17472,19,19,-130,-14,11,2,33,-116,-117,-118,-116,-117,-119,-118,-118,-118,-117,-117,-116,-117,-118,-117,-117,-118,-117,-118,-119,-118,-116,-119,-118,-118,-119,-117,-117,-115,-118,-118,-117,-119,point1,-117.48484848484848,-118.0,-118.0,0.4096000000000001
HDOK,PLOK,17472,20,20,-126,-10,11,2,33,-117,-117,-117,-119,-117,-118,-118,-118,-118,-117,-117,-117,-116,-117,-117,-115,-118,-117,-116,-117,-117,-117,-119,-116,-117,-117,-114,-118,-116,-116,-117,-117,-117,point1,-117.0,-117.0,-117.0,0.2784
HDOK,PLOK,17472,21,21,-129,-13,11,2,33,-117,-116,-116,-117,-117,-117,-117,-119,-113,-116,-117,-118,-117,-117,-117,-119,-113,-116,-116,-116,-118,-118,-117,-116,-117,-117,-117,-116,-115,-118,-117,-117,-118,point1,-116.72727272727273,-117.0,-117.0,0.37440000000000007
HDOK,PLOK,17472,22,22,-129,-13,11,2,33,-117,-118,-116,-118,-116,-117,-117,-117,-118,-116,-114,-117,-116,-118,-117,-117,-116,-118,-117,-115,-117,-118,-118,-117,-117,-117,-117,-117,-116,-117,-118,-119,-118,point1,-117.0,-117.0,-117.0,0.3936
HDOK,PLOK,17472,23,23,-131,-14,11,2,33,-117,-116,-118,-117,-117,-117,-117,-116,-118,-116,-117,-117,-117,-117,-118,-116,-118,-117,-115,-117,-117,-116,-118,-117,-117,-118,-118,-119,-117,-116,-117,-117,-117,point1,-117.03030303030303,-117.0,-117.0,0.2784
HDOK,PLOK,17472,24,24,-130,-13,11,2,33,-117,-117,-117,-117,-117,-118,-118,-118,-116,-118,-117,-118,-117,-118,-116,-117,-117,-116,-118,-118,-118,-119,-117,-117,-118,-116,-118,-119,-118,-117,-118,-116,-118,point1,-117.39393939393939,-117.0,-118.0,0.3264
HDOK,PLOK,17472,25,25,-129,-13,11,2,33,-118,-118,-117,-116,-116,-116,-117,-117,-118,-117,-116,-117,-118,-117,-118,-118,-116,-118,-117,-117,-117,-117,-117,-116,-117,-117,-116,-116,-116,-117,-117,-115,-117,point1,-116.87878787878788,-117.0,-117.0,0.3456
HDOK,PLOK,17472,26,26,-130,-13,11,2,33,-115,-118,-119,-117,-118,-117,-115,-116,-118,-117,-116,-118,-117,-118,-118,-117,-118,-118,-115,-117,-117,-117,-113,-118,-117,-116,-118,-116,-118,-118,-118,-117,-124,point1,-117.24242424242425,-117.0,-118.0,0.5216000000000001
HDOK,PLOK,17472,27,27,-129,-13,11,2,33,-117,-117,-116,-116,-117,-118,-118,-118,-116,-116,-115,-117,-117,-119,-117,-117,-118,-116,-117,-119,-117,-116,-117,-115,-117,-118,-119,-118,-116,-118,-118,-117,-117,point1,-117.0909090909091,-117.0,-117.0,0.4736
HDOK,PLOK,17472,28,28,-128,-12,11,2,33,-117,-117,-118,-117,-117,-118,-117,-117,-117,-116,-116,-116,-118,-117,-118,-117,-115,-118,-117,-118,-118,-116,-116,-117,-117,-117,-118,-119,-116,-117,-118,-118,-117,point1,-117.12121212121212,-117.0,-117.0,0.37440000000000007
HDOK,PLOK,17472,29,29,-130,-13,11,2,33,-115,-117,-118,-116,-118,-117,-132,-116,-116,-118,-115,-117,-117,-118,-118,-117,-118,-117,-116,-117,-117,-116,-118,-118,-116,-117,-117,-117,-117,-118,-115,-117,-118,point1,-117.39393939393939,-117.0,-117.0,0.4736
HDOK,PLOK,17472,30,30,-129,-13,11,2,33,-116,-117,-116,-117,-118,-118,-118,-118,-117,-118,-117,-116,-118,-118,-116,-117,-117,-117,-117,-118,-116,-117,-117,-117,-115,-118,-116,-117,-117,-117,-118,-116,-117,point1,-117.03030303030303,-117.0,-117.0,0.3936
HDOK,PLOK,17472,31,31,-129,-12,11,2,33,-118,-117,-117,-117,-117,-117,-118,-116,-117,-116,-118,-118,-116,-117,-117,-116,-118,-117,-116,-117,-117,-117,-118,-117,-116,-117,-116,-117,-117,-116,-116,-117,-116,point1,-116.87878787878788,-117.0,-117.0,0.29440000000000005
HDOK,PLOK,17472,32,32,-128,-12,11,2,33,-117,-118,-117,-116,-117,-117,-116,-117,-117,-117,-117,-119,-116,-118,-118,-117,-118,-117,-117,-116,-118,-118,-117,-117,-117,-118,-117,-117,-118,-118,-118,-117,-120,point1,-117.33333333333333,-117.0,-117.0,0.21760000000000002
HDOK,PLOK,17472,33,33,-128,-12,11,2,33,-117,-117,-118,-118,-117,-118,-118,-116,-116,-118,-116,-116,-117,-117,-119,-117,-117,-116,-117,-118,-118,-117,-116,-117,-118,-117,-117,-118,-118,-117,-116,-119,-117,point1,-117.21212121212122,-117.0,-117.0,0.4000000000000001
HDOK,PLOK,17472,34,34,-129,-13,11,2,33,-117,-116,-117,-117,-115,-117,-109,-117,-116,-118,-116,-118,-118,-116,-117,-118,-117,-116,-118,-117,-116,-117,-117,-117,-117,-118,-117,-118,-117,-116,-117,-117,-119,point1,-116.75757575757575,-117.0,-117.0,0.35839999999999994
HDOK,PLOK,17472,35,35,-127,-11,11,2,33,-117,-118,-117,-119,-116,-117,-118,-117,-118,-117,-117,-117,-118,-118,-121,-116,-118,-117,-118,-119,-118,-117,-118,-116,-117,-117,-117,-119,-116,-116,-115,-118,-117,point1,-117.39393939393939,-117.0,-117.0,0.37760000000000005
HDOK,PLOK,17472,36,36,-128,-12,11,2,33,-116,-116,-118,-117,-115,-117,-117,-119,-118,-116,-117,-116,-117,-118,-117,-118,-116,-117,-118,-118,-118,-118,-119,-116,-118,-117,-118,-118,-118,-117,-117,-116,-117,point1,-117.21212121212122,-117.0,-118.0,0.5024
HDOK,PLOK,17472,37,37,-129,-13,11,2,33,-116,-117,-117,-116,-118,-116,-115,-117,-118,-117,-116,-118,-118,-117,-118,-118,-118,-117,-117,-117,-117,-116,-117,-117,-117,-118,-116,-117,-116,-116,-117,-118,-117,point1,-116.96969696969697,-117.0,-117.0,0.4
HDOK,PLOK,17472,38,38,-128,-12,11,2,33,-117,-117,-118,-117,-117,-116,-118,-116,-116,-118,-117,-118,-115,-116,-118,-118,-117,-117,-118,-116,-117,-118,-119,-118,-118,-117,-118,-117,-117,-118,-117,-117,-117,point1,-117.21212121212122,-117.0,-117.0,0.36160000000000003
HDOK,PLOK,17472,39,39,-129,-13,11,2,33,-117,-115,-116,-116,-118,-121,-116,-117,-119,-117,-117,-117,-118,-117,-117,-118,-118,-118,-117,-116,-119,-117,-117,-118,-115,-118,-117,-119,-117,-117,-117,-116,-118,point1,-117.27272727272727,-117.0,-117.0,0.4000000000000001
HDOK,PLOK,17472,40,40,-128,-12,11,2,33,-117,-120,-119,-117,-116,-116,-118,-119,-118,-117,-117,-118,-117,-116,-117,-118,-116,-117,-118,-118,-116,-118,-115,-118,-118,-118,-117,-116,-119,-117,-117,-116,-118,point1,-117.33333333333333,-117.0,-118.0,0.5216000000000001
