hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,rssi_19,rssi_20,rssi_21,rssi_22,rssi_23,rssi_24,rssi_25,rssi_26,rssi_27,rssi_28,rssi_29,rssi_30,rssi_31,rssi_32,location_id,rssi_variance
HDOK,PLOK,17472,1,1,-130,-14,11,2,33,-117,-115,-118,-116,-117,-117,-115,-117,-118,-117,-117,-118,-117,-117,-117,-117,-118,-118,-117,-117,-118,-116,-119,-116,-117,-117,-119,-118,-117,-118,-116,-116,-117,370,0.3456
HDOK,PLOK,17472,2,2,-129,-13,11,2,33,-118,-117,-114,-116,-118,-117,-117,-116,-116,-117,-116,-115,-117,-117,-117,-118,-115,-117,-117,-115,-115,-115,-117,-117,-117,-117,-118,-115,-118,-116,-117,-118,-116,370,0.64
HDOK,PLOK,17472,3,3,-128,-12,11,2,33,-115,-117,-117,-118,-116,-117,-118,-116,-117,-117,-117,-118,-117,-116,-117,-116,-118,-116,-118,-116,-118,-117,-117,-118,-116,-117,-116,-118,-117,-116,-116,-118,-117,370,0.4736
HDOK,PLOK,17472,4,4,-126,-10,11,2,33,-116,-117,-117,-117,-116,-116,-116,-116,-118,-117,-115,-117,-117,-117,-117,-116,-115,-118,-117,-115,-118,-114,-116,-116,-117,-117,-115,-116,-117,-118,-116,-117,-115,370,0.4064000000000001
HDOK,PLFL,17472,5,4,-131,-15,11,2,33,-117,-118,-118,-117,-115,-118,-117,-117,-118,-117,-116,-116,-115,-118,-117,-118,-117,-117,-116,-116,-115,-118,-117,-119,-116,-117,-115,-118,-117,-118,-117,-117,-117,370,0.4383999999999999
HDOK,PLOK,17472,6,5,-131,-15,11,2,33,-116,-109,-117,-117,-117,-118,-116,-117,-117,-115,-117,-116,-116,-118,-117,-118,-118,-118,-117,-118,-118,-117,-115,-116,-117,-119,-118,-116,-116,-117,-118,-118,-118,370,0.5536
HDOK,PLOK,17472,7,6,-129,-13,11,2,33,-116,-117,-116,-116,-117,-117,-118,-116,-117,-113,-119,-116,-117,-132,-117,-117,-117,-118,-116,-117,-117,-118,-115,-119,-118,-117,-117,-117,-116,-116,-117,-118,-117,370,0.3936
HDOK,PLOK,17472,8,7,-128,-12,11,2,33,-116,-117,-117,-117,-115,-118,-115,-118,-117,-115,-117,-118,-118,-118,-118,-117,-118,-118,-117,-115,-117,-118,-132,-116,-116,-117,-116,-116,-117,-117,-118,-117,-119,370,0.5056
HDOK,PLOK,17472,9,8,-129,-13,11,2,33,-116,-116,-118,-115,-117,-116,-116,-116,-116,-117,-117,-117,-118,-116,-117,-116,-118,-116,-117,-116,-116,-117,-116,-117,-117,-118,-118,-116,-119,-117,-117,-117,-115,370,0.39039999999999997
HDOK,PLOK,17472,10,9,-127,-11,11,2,33,-115,-116,-118,-117,-118,-117,-118,-118,-117,-117,-114,-117,-117,-116,-117,-116,-118,-117,-117,-117,-118,-116,-116,-117,-116,-117,-117,-115,-117,-117,-114,-117,-116,370,0.32
HDOK,PLOK,17472,11,10,-127,-12,11,2,33,-117,-117,-117,-117,-118,-118,-116,-116,-117,-118,-118,-118,-117,-117,-117,-116,-116,-118,-118,-118,-117,-117,-116,-116,-118,-117,-116,-117,-117,-113,-117,-117,-116,370,0.4
HDOK,PLOK,17472,12,11,-129,-13,11,2,33,-117,-116,-118,-117,-115,-117,-117,-116,-117,-115,-116,-117,-115,-117,-109,-117,-117,-117,-117,-119,-118,-117,-118,-118,-116,-117,-117,-117,-116,-116,-117,-116,-118,370,0.32
HDOK,PLOK,17472,13,12,-129,-13,11,2,33,-116,-118,-118,-116,-117,-117,-117,-116,-118,-119,-118,-118,-117,-116,-118,-116,-115,-117,-117,-118,-116,-117,-117,-117,-118,-117,-117,-117,-117,-118,-116,-117,-118,370,0.42560000000000003
HDOK,PLOK,17472,14,13,-131,-15,11,2,33,-116,-118,-117,-118,-117,-118,-120,-119,-115,-116,-117,-118,-118,-118,-116,-116,-117,-115,-117,-117,-117,-118,-115,-116,-117,-115,-118,-116,-118,-117,-117,-118,-116,370,0.5983999999999999
HDOK,PLOK,17472,15,14,-129,-13,11,2,33,-117,-118,-117,-119,-117,-119,-116,-116,-118,-115,-117,-117,-118,-118,-117,-116,-118,-118,-115,-118,-118,-114,-117,-116,-118,-117,-117,-119,-116,-117,-118,-118,-116,370,0.56
HDOK,PLOK,17472,16,15,-129,-13,11,2,33,-116,-117,-117,-118,-116,-117,-117,-118,-117,-117,-118,-116,-117,-116,-117,-118,-116,-115,-117,-117,-117,-115,-117,-117,-118,-117,-116,-118,-116,-117,-118,-117,-116,370,0.3456
HDOK,PLOK,17472,17,16,-129,-13,11,2,33,-117,-118,-117,-116,-118,-117,-116,-115,-118,-117,-116,-118,-118,-117,-117,-117,-117,-118,-116,-118,-116,-115,-118,-117,-115,-117,-116,-116,-117,-117,-117,-117,-118,370,0.4383999999999999
HDOK,PLOK,17472,18,17,-129,-13,11,2,33,-117,-115,-119,-117,-117,-115,-116,-116,-118,-117,-117,-118,-117,-116,-118,-118,-117,-117,-116,-118,-115,-118,-116,-118,-117,-117,-116,-116,-116,-116,-117,-117,-119,370,0.5056
HDOK,PLOK,17472,19,18,-128,-12,11,2,33,-116,-115,-118,-118,-118,-118,-116,-116,-117,-116,-117,-116,-117,-118,-116,-116,-117,-118,-116,-117,-118,-117,-117,-117,-117,-118,-115,-116,-117,-115,-117,-118,-119,370,0.5536
HDOK,PLOK,17472,20,19,-129,-13,11,2,33,-117,-116,-117,-116,-118,-117,-116,-117,-116,-117,-116,-117,-117,-117,-117,-117,-118,-117,-116,-116,-119,-117,-116,-117,-117,-117,-117,-117,-117,-118,-116,-117,-118,370,0.2144
HDOK,PLOK,17472,21,20,-128,-12,11,2,33,-117,-117,-118,-117,-117,-117,-116,-117,-117,-116,-118,-117,-116,-118,-118,-117,-117,-116,-118,-117,-117,-119,-117,-115,-116,-118,-118,-116,-116,-117,-117,-119,-118,370,0.3936
HDOK,PLOK,17472,22,21,-129,-13,11,2,33,-118,-116,-116,-115,-116,-117,-117,-117,-117,-117,-115,-117,-118,-117,-116,-116,-117,-118,-116,-117,-115,-117,-117,-118,-118,-116,-118,-117,-117,-117,-117,-119,-118,370,0.3936
HDOK,PLFL,17472,23,21,-132,-16,11,2,33,-115,-117,-117,-117,-118,-116,-116,-118,-117,-118,-117,-117,-116,-117,-116,-115,-116,-119,-118,-117,-118,-118,-117,-119,-118,-117,-117,-117,-117,-117,-117,-114,-118,370,0.3936
HDOK,PLOK,17472,24,22,-127,-11,11,2,33,-116,-118,-116,-117,-118,-117,-119,-116,-118,-117,-117,-116,-116,-117,-117,-117,-116,-115,-118,-117,-119,-118,-117,-116,-117,-119,-116,-117,-117,-115,-117,-118,-116,370,0.4736
HDOK,PLOK,17472,25,23,-130,-14,11,2,33,-118,-115,-118,-116,-117,-118,-116,-117,-118,-116,-118,-117,-116,-117,-119,-117,-118,-117,-117,-117,-118,-116,-117,-117,-117,-117,-116,-114,-116,-119,-117,-117,-117,370,0.4
HDOK,PLOK,17472,26,24,-130,-14,11,2,33,-116,-118,-117,-117,-118,-116,-117,-117,-117,-117,-117,-132,-117,-117,-116,-117,-115,-116,-117,-115,-117,-117,-117,-118,-116,-117,-118,-116,-117,-119,-117,-117,-116,370,0.2656
HDOK,PLOK,17472,27,25,-130,-14,11,2,33,-115,-118,-117,-116,-118,-117,-117,-116,-118,-117,-118,-117,-116,-117,-118,-117,-117,-115,-116,-116,-116,-118,-119,-117,-116,-118,-116,-117,-116,-118,-117,-116,-117,370,0.5056
HDOK,PLOK,17472,28,26,-129,-14,11,2,33,-118,-117,-117,-116,-118,-117,-116,-117,-118,-116,-117,-116,-117,-116,-118,-117,-117,-117,-118,-116,-116,-117,-116,-118,-117,-118,-119,-117,-116,-118,-116,-117,-116,370,0.4736
HDOK,PLOK,17472,29,27,-131,-15,11,2,33,-116,-116,-116,-117,-118,-116,-117,-117,-117,-117,-116,-117,-118,-116,-117,-117,-118,-117,-118,-118,-118,-117,-117,-118,-117,-116,-117,-117,-117,-116,-116,-117,-116,370,0.3456
HDOK,PLOK,17472,30,28,-130,-14,11,2,33,-117,-116,-119,-117,-119,-117,-118,-117,-118,-115,-118,-118,-117,-116,-118,-118,-118,-117,-117,-116,-117,-117,-117,-117,-118,-116,-116,-117,-117,-117,-117,-117,-117,370,0.29440000000000005
HDOK,PLOK,17472,31,29,-131,-15,11,2,33,-116,-116,-116,-117,-119,-114,-116,-117,-118,-117,-117,-118,-115,-118,-117,-109,-115,-119,-117,-118,-118,-117,-117,-116,-117,-118,-119,-117,-117,-118,-116,-115,-116,370,0.6656
HDOK,PLOK,17472,32,30,-130,-14,11,2,33,-116,-115,-117,-118,-116,-117,-119,-117,-116,-118,-115,-118,-119,-118,-119,-117,-117,-117,-117,-117,-117,-118,-116,-118,-117,-116,-118,-116,-118,-118,-118,-116,-117,370,0.5344000000000001
HDOK,PLOK,17472,33,31,-128,-12,11,2,33,-116,-117,-117,-118,-115,-116,-118,-116,-117,-118,-116,-116,-118,-117,-117,-117,-116,-115,-109,-116,-117,-117,-116,-115,-118,-117,-116,-117,-118,-117,-119,-117,-116,370,0.44160000000000005
HDOK,PLOK,17472,34,32,-128,-12,11,2,33,-117,-117,-118,-116,-118,-118,-117,-117,-117,-118,-118,-117,-117,-116,-118,-117,-116,-117,-118,-117,-117,-116,-118,-116,-117,-116,-115,-116,-117,-117,-116,-118,-118,370,0.4383999999999999
HDOK,PLOK,17472,35,33,-132,-16,11,2,33,-117,-117,-115,-117,-117,-116,-117,-118,-119,-117,-118,-118,-118,-114,-117,-117,-116,-117,-118,-117,-117,-116,-117,-117,-115,-115,-117,-118,-117,-116,-116,-117,-117,370,0.3136
HDOK,PLOK,17472,36,34,-131,-15,11,2,33,-116,-116,-117,-117,-117,-117,-117,-117,-117,-119,-116,-118,-118,-116,-116,-119,-116,-117,-117,-118,-117,-117,-117,-118,-116,-116,-117,-117,-118,-117,-118,-116,-116,370,0.3936
HDOK,PLOK,17472,37,35,-131,-15,11,2,33,-117,-119,-117,-118,-117,-116,-116,-117,-117,-115,-117,-118,-117,-116,-113,-117,-117,-119,-119,-118,-117,-116,-116,-117,-118,-117,-117,-116,-117,-117,-117,-118,-118,370,0.35839999999999994
HDOK,PLOK,17472,38,36,-131,-15,11,2,33,-115,-116,-117,-116,-118,-116,-117,-117,-117,-118,-116,-115,-115,-116,-117,-116,-117,-117,-116,-118,-118,-115,-115,-115,-116,-115,-116,-118,-117,-117,-116,-115,-116,370,0.6016
HDOK,PLOK,17472,39,37,-126,-10,11,2,33,-117,-118,-117,-118,-117,-117,-117,-119,-116,-117,-117,-116,-117,-116,-117,-118,-116,-117,-116,-117,-115,-113,-117,-117,-115,-116,-117,-116,-117,-118,-117,-116,-117,370,0.2624
HDOK,PLFL,17472,40,37,-130,-14,11,2,33,-116,-117,-118,-117,-116,-117,-117,-116,-115,-118,-117,-116,-117,-117,-117,-117,-117,-116,-117,-118,-117,-118,-117,-117,-117,-115,-116,-116,-119,-118,-117,-117,-116,370,0.29440000000000005
HDOK,PLOK,17472,41,38,-128,-12,11,2,33,-116,-117,-118,-115,-116,-116,-117,-116,-119,-118,-116,-115,-117,-117,-119,-117,-116,-119,-117,-118,-117,-117,-118,-118,-115,-116,-116,-115,-118,-116,-116,-120,-117,370,0.6144000000000001
HDOK,PLOK,17472,42,39,-124,-8,11,2,33,-115,-117,-117,-117,-109,-114,-115,-116,-117,-116,-117,-118,-118,-116,-117,-116,-118,-117,-116,-116,-118,-116,-116,-117,-116,-116,-116,-117,-117,-117,-117,-118,-117,370,0.32
HDOK,PLOK,17472,43,40,-125,-9,11,2,33,-115,-117,-118,-117,-118,-116,-116,-116,-117,-116,-116,-117,-118,-117,-117,-117,-117,-117,-117,-118,-114,-118,-117,-117,-116,-116,-101,-117,-116,-116,-117,-117,-118,370,0.34240000000000004
HDOK,PLOK,17472,44,41,-126,-10,11,2,33,-117,-118,-118,-118,-118,-118,-118,-117,-118,-117,-116,-118,-116,-119,-117,-116,-117,-115,-118,-118,-117,-117,-115,-117,-132,-117,-114,-116,-116,-117,-115,-116,-116,370,0.5983999999999999
HDOK,PLOK,17472,45,42,-125,-10,11,2,33,-117,-117,-115,-117,-117,-115,-117,-116,-118,-116,-116,-117,-119,-114,-115,-118,-117,-116,-116,-116,-116,-118,-114,-118,-116,-117,-117,-118,-116,-116,-117,-117,-115,370,0.5696000000000001
HDOK,PLOK,17472,46,43,-127,-11,11,2,33,-117,-115,-116,-117,-118,-116,-118,-116,-119,-116,-116,-117,-117,-116,-118,-118,-116,-118,-117,-118,-115,-118,-118,-115,-116,-118,-118,-117,-119,-117,-116,-116,-118,370,0.72
HDOK,PLOK,17472,47,44,-124,-8,11,2,33,-117,-117,-116,-116,-117,-118,-116,-117,-116,-117,-118,-118,-118,-116,-117,-117,-117,-115,-117,-118,-117,-115,-116,-117,-116,-116,-117,-116,-116,-115,-117,-117,-119,370,0.36160000000000003
HDOK,PLOK,17472,48,45,-124,-9,11,2,33,-115,-116,-118,-118,-117,-117,-117,-117,-116,-118,-117,-116,-117,-116,-117,-118,-115,-117,-117,-117,-117,-118,-116,-115,-117,-116,-116,-117,-116,-116,-115,-117,-115,370,0.4
HDOK,PLOK,17472,49,46,-131,-15,11,2,33,-116,-115,-115,-117,-118,-115,-117,-116,-118,-118,-116,-118,-118,-117,-116,-116,-115,-116,-118,-116,-116,-115,-117,-117,-117,-124,-118,-118,-116,-117,-118,-118,-117,370,0.7744
HDOK,PLOK,17472,50,47,-127,-12,11,2,33,-118,-118,-118,-117,-118,-118,-118,-118,-117,-116,-117,-116,-117,-117,-115,-116,-117,-117,-115,-116,-117,-116,-115,-117,-116,-116,-116,-117,-117,-117,-117,-116,-115,370,0.4224
