hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,rssi_19,rssi_20,rssi_21,rssi_22,rssi_23,rssi_24,rssi_25,rssi_26,rssi_27,rssi_28,rssi_29,rssi_30,rssi_31,rssi_32,location_id,rssi_variance
HDOK,PLOK,17472,1,1,-125,-10,11,2,33,-115,-116,-118,-118,-116,-117,-116,-116,-113,-117,-117,-117,-117,-115,-117,-116,-116,-116,-116,-116,-117,-116,-116,-116,-117,-117,-101,-118,-117,-118,-116,-116,-116,366,0.24
HDOK,PLOK,17472,2,2,-119,-4,11,2,33,-117,-116,-118,-115,-116,-119,-117,-116,-116,-117,-115,-116,-116,-116,-116,-115,-115,-117,-116,-117,-116,-117,-116,-117,-116,-117,-114,-114,-114,-116,-116,-115,-117,366,0.42560000000000003
HDOK,PLOK,17472,3,3,-121,-6,11,2,33,-115,-117,-115,-117,-118,-118,-115,-117,-116,-116,-116,-118,-117,-116,-115,-115,-116,-117,-115,-115,-117,-116,-116,-118,-117,-117,-115,-116,-115,-116,-116,-115,-114,366,0.5983999999999999
HDOK,PLOK,17472,4,4,-123,-7,11,2,33,-114,-115,-116,-117,-117,-116,-115,-116,-116,-116,-117,-116,-116,-116,-117,-116,-116,-116,-118,-115,-115,-117,-117,-117,-116,-117,-117,-116,-118,-116,-115,-117,-116,366,0.3423999999999999
HDOK,PLOK,17472,5,5,-124,-8,11,2,33,-115,-118,-116,-117,-115,-116,-116,-116,-115,-117,-116,-116,-115,-117,-116,-116,-116,-113,-116,-118,-115,-117,-116,-116,-117,-116,-116,-118,-117,-117,-116,-116,-117,366,0.32
HDOK,PLOK,17472,6,6,-121,-6,11,2,33,-113,-116,-118,-114,-116,-116,-116,-116,-118,-116,-116,-117,-118,-117,-116,-116,-116,-116,-116,-115,-117,-109,-116,-118,-115,-117,-116,-116,-117,-116,-116,-115,-115,366,0.3136
HDOK,PLOK,17472,7,7,-124,-8,11,2,33,-116,-118,-116,-116,-116,-115,-115,-117,-118,-118,-116,-116,-118,-116,-118,-114,-115,-117,-117,-115,-116,-117,-118,-115,-118,-116,-115,-117,-116,-117,-118,-116,-115,366,0.88
HDOK,PLOK,17472,8,8,-120,-5,11,2,33,-116,-116,-116,-116,-118,-117,-115,-115,-117,-117,-115,-115,-116,-116,-117,-116,-116,-116,-117,-116,-117,-116,-116,-117,-115,-116,-114,-118,-115,-115,-115,-117,-116,366,0.4383999999999999
HDOK,PLOK,17472,9,9,-124,-8,11,2,33,-117,-117,-115,-117,-116,-116,-116,-116,-118,-118,-118,-116,-116,-116,-117,-116,-116,-118,-117,-115,-117,-114,-116,-117,-116,-117,-116,-117,-116,-117,-116,-118,-118,366,0.4064000000000001
HDOK,PLOK,17472,10,10,-122,-7,11,2,33,-115,-117,-116,-116,-115,-116,-116,-114,-117,-114,-117,-116,-117,-117,-116,-115,-116,-117,-118,-116,-115,-114,-115,-117,-118,-117,-118,-116,-116,-117,-118,-116,-101,366,0.5344000000000001
