hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,rssi_19,rssi_20,rssi_21,rssi_22,rssi_23,rssi_24,rssi_25,rssi_26,rssi_27,rssi_28,rssi_29,rssi_30,rssi_31,rssi_32,location_id,rssi_variance
HDOK,PLOK,17472,1,1,-73,9,11,2,33,-72,-72,-74,-72,-75,-81,-73,-71,-73,-73,-74,-75,-74,-74,-74,-73,-73,-75,-81,-74,-74,-75,-76,-83,-74,-74,-74,-74,-75,-72,-72,-79,-72,334,1.0144
HDOK,PLOK,17472,2,2,-71,8,11,2,33,-88,-77,-79,-73,-71,-79,-74,-71,-83,-71,-71,-73,-74,-73,-72,-72,-72,-72,-72,-71,-69,-71,-70,-76,-68,-68,-67,-71,-71,-69,-70,-70,-69,334,3.5743999999999994
HDOK,PLOK,17472,3,3,-73,10,11,2,33,-71,-72,-75,-72,-72,-79,-74,-70,-77,-71,-71,-72,-73,-72,-73,-73,-74,-75,-75,-73,-71,-72,-71,-81,-71,-71,-71,-74,-73,-71,-74,-79,-73,334,1.7376000000000003
HDOK,PLOK,17472,4,4,-73,10,11,2,33,-80,-71,-74,-71,-71,-77,-75,-71,-82,-71,-71,-72,-74,-71,-71,-72,-73,-73,-71,-72,-71,-72,-71,-81,-71,-71,-71,-73,-73,-72,-71,-71,-72,334,1.3184
HDOK,PLOK,17472,5,5,-72,10,11,2,33,-71,-71,-73,-71,-74,-81,-74,-71,-74,-71,-71,-73,-72,-72,-72,-72,-73,-74,-77,-72,-71,-73,-72,-81,-71,-71,-71,-73,-75,-72,-71,-75,-71,334,1.4176000000000002
HDOK,PLOK,17472,6,6,-73,10,11,2,33,-81,-71,-73,-71,-73,-81,-74,-72,-75,-71,-71,-73,-72,-72,-72,-72,-72,-74,-77,-72,-71,-73,-72,-81,-71,-71,-71,-75,-74,-72,-72,-72,-71,334,1.3664
HDOK,PLOK,17472,7,7,-73,10,11,2,33,-71,-72,-74,-71,-66,-79,-74,-72,-77,-71,-71,-73,-72,-72,-72,-72,-73,-74,-73,-72,-71,-72,-72,-80,-72,-71,-71,-75,-73,-72,-74,-71,-71,334,0.9824
HDOK,PLOK,17472,8,8,-72,10,11,2,33,-80,-71,-74,-71,-71,-79,-74,-71,-85,-71,-71,-72,-74,-72,-71,-72,-73,-73,-73,-73,-71,-72,-72,-80,-71,-71,-71,-73,-75,-72,-74,-74,-71,334,1.52
HDOK,PLOK,17472,9,9,-73,10,11,2,33,-72,-71,-73,-71,-74,-80,-74,-71,-74,-71,-71,-73,-72,-72,-72,-72,-72,-74,-79,-72,-71,-73,-72,-81,-71,-71,-71,-73,-73,-72,-72,-71,-72,334,0.88
HDOK,PLOK,17472,10,10,-73,10,11,2,33,-82,-73,-74,-72,-74,-81,-74,-73,-75,-72,-72,-74,-73,-73,-73,-73,-73,-75,-77,-73,-72,-73,-72,-81,-72,-72,-71,-75,-73,-72,-71,-72,-72,334,0.9536000000000001
HDOK,PLOK,17472,11,11,-73,10,11,2,33,-71,-71,-73,-71,-71,-79,-74,-71,-79,-71,-71,-72,-73,-72,-72,-72,-73,-74,-74,-73,-71,-73,-72,-81,-71,-71,-71,-75,-75,-72,-71,-71,-71,334,1.4143999999999999
HDOK,PLOK,17472,12,12,-72,10,11,2,33,-81,-71,-73,-71,-82,-79,-73,-71,-72,-71,-71,-73,-71,-71,-72,-73,-72,-75,-76,-72,-71,-74,-71,-77,-71,-71,-71,-72,-72,-71,-71,-71,-71,334,1.7984
HDOK,PLOK,17472,13,13,-73,10,11,2,33,-71,-72,-74,-71,-74,-81,-74,-72,-74,-71,-72,-73,-72,-72,-72,-72,-72,-74,-97,-72,-71,-73,-71,-79,-71,-72,-72,-72,-74,-71,-72,-76,-83,334,1.4399999999999997
HDOK,PLOK,17472,14,14,-74,10,11,2,33,-81,-74,-75,-71,-71,-77,-74,-71,-82,-72,-71,-72,-75,-72,-72,-72,-73,-74,-73,-72,-71,-72,-72,-80,-71,-71,-72,-76,-75,-72,-74,-72,-71,334,2.0224
HDOK,PLOK,17472,15,15,-73,10,11,2,33,-71,-70,-72,-69,-72,-81,-77,-77,-81,-80,-79,-79,-77,-76,-76,-76,-76,-77,-77,-75,-75,-76,-75,-82,-72,-71,-71,-73,-71,-70,-71,-72,-74,334,6.3776
HDOK,PLOK,17472,16,16,-83,9,11,2,33,-85,-76,-79,-77,-81,-87,-80,-78,-79,-77,-77,-80,-80,-82,-82,-84,-87,-89,-100,-93,-93,-94,-93,-97,-88,-85,-84,-84,-84,-81,-80,-81,-77,334,17.8176
HDOK,PLOK,17472,17,17,-71,9,11,2,33,-71,-71,-76,-73,-74,-79,-75,-71,-82,-71,-71,-71,-72,-71,-71,-71,-72,-73,-71,-72,-71,-72,-71,-81,-71,-70,-70,-70,-70,-69,-71,-69,-69,334,1.3695999999999997
HDOK,PLOK,17472,18,18,-73,10,11,2,33,-82,-74,-77,-73,-73,-80,-76,-73,-83,-71,-71,-72,-75,-72,-73,-74,-76,-77,-75,-75,-72,-73,-72,-81,-71,-71,-71,-76,-73,-72,-71,-71,-72,334,3.3696
HDOK,PLOK,17472,19,19,-74,10,11,2,33,-72,-72,-75,-71,-66,-78,-75,-71,-85,-71,-71,-72,-75,-72,-72,-72,-73,-73,-72,-73,-71,-72,-72,-81,-71,-71,-71,-76,-75,-72,-71,-71,-71,334,1.8015999999999999
HDOK,PLOK,17472,20,20,-72,10,11,2,33,-81,-71,-73,-71,-73,-81,-74,-71,-74,-71,-71,-73,-71,-71,-72,-72,-72,-74,-83,-72,-71,-73,-71,-79,-71,-71,-71,-72,-73,-71,-71,-77,-71,334,2.08
HDOK,PLOK,17472,21,21,-72,10,11,2,33,-71,-71,-73,-71,-71,-79,-74,-71,-77,-71,-71,-72,-72,-71,-71,-71,-72,-73,-73,-72,-71,-72,-71,-81,-71,-71,-72,-72,-72,-71,-73,-71,-71,334,0.5504
HDOK,PLOK,17472,22,22,-73,9,11,2,33,-81,-71,-73,-71,-65,-81,-74,-71,-75,-72,-71,-73,-72,-72,-72,-72,-73,-74,-75,-73,-72,-73,-72,-82,-72,-72,-72,-75,-74,-72,-71,-80,-74,334,1.36
