average_rssi,rssi_variance,snr,average_snr,sf,tp,location_id
-60.0,33.841269841269835,8.0,8.0,10.0,2.0,1m
-53.0,2.5079365079365084,8.0,8.0,10.0,2.0,1m
-53.0,2.154195011337868,9.0,9.0,10.0,2.0,1m
-54.0,2.154195011337868,8.0,8.0,10.0,2.0,1m
-55.0,4.126984126984128,8.0,8.0,10.0,2.0,1m
-55.0,1.895691609977324,7.0,7.0,10.0,2.0,1m
-55.0,3.96371882086168,7.0,7.0,10.0,2.0,1m
-54.0,4.02721088435374,8.0,8.0,10.0,2.0,1m
-55.0,1.959183673469388,8.0,8.0,10.0,2.0,1m
-54.0,1.895691609977324,7.0,7.0,10.0,2.0,1m
-55.0,1.8367346938775515,6.0,6.0,10.0,2.0,1m
-55.0,3.07482993197279,7.0,7.0,10.0,2.0,1m
-55.0,1.387755102040816,7.0,7.0,10.0,2.0,1m
-55.0,1.9637188208616767,6.0,6.0,10.0,2.0,1m
-55.0,2.7120181405895685,7.0,7.0,10.0,2.0,1m
-55.0,2.91156462585034,6.0,6.0,10.0,2.0,1m
-55.0,2.2222222222222223,6.0,6.0,10.0,2.0,1m
-55.0,3.0385487528344672,7.0,7.0,10.0,2.0,1m
-55.0,0.5351473922902493,6.0,6.0,10.0,2.0,1m
-55.0,3.1882086167800443,7.0,7.0,10.0,2.0,1m
-55.0,1.473922902494331,6.0,6.0,10.0,2.0,1m
-55.0,4.965986394557822,6.0,6.0,10.0,2.0,1m
-54.0,2.775510204081632,7.0,7.0,10.0,2.0,1m
-54.0,6.126984126984128,7.0,7.0,10.0,2.0,1m
-54.0,1.378684807256236,7.0,7.0,10.0,2.0,1m
-54.0,1.3922902494331062,7.0,7.0,10.0,2.0,1m
-54.0,3.197278911564626,7.0,7.0,10.0,2.0,1m
-54.0,3.229024943310657,7.0,7.0,10.0,2.0,1m
-55.0,2.0861678004535142,7.0,7.0,10.0,2.0,1m
-54.0,5.950113378684806,7.0,7.0,10.0,2.0,1m
-52.0,1.7596371882086166,8.0,8.0,10.0,2.0,1m
-52.0,6.6984126984127,9.0,9.0,10.0,2.0,1m
-54.0,2.535147392290249,7.0,7.0,10.0,2.0,1m
-54.0,1.7052154195011338,7.0,7.0,10.0,2.0,1m
-55.0,1.4421768707482991,6.0,6.0,10.0,2.0,1m
-55.0,5.28344671201814,6.0,6.0,10.0,2.0,1m
-55.0,1.3469387755102038,6.0,6.0,10.0,2.0,1m
-55.0,3.4421768707482983,6.0,6.0,10.0,2.0,1m
-55.0,1.1746031746031749,6.0,6.0,10.0,2.0,1m
-55.0,4.126984126984128,6.0,6.0,10.0,2.0,1m
-55.0,0.7619047619047619,6.0,6.0,10.0,2.0,1m
-55.0,0.943310657596372,6.0,6.0,10.0,2.0,1m
-55.0,3.197278911564626,7.0,7.0,10.0,2.0,1m
-54.0,4.249433106575966,7.0,7.0,10.0,2.0,1m
-54.0,3.82312925170068,7.0,7.0,10.0,2.0,1m
-54.0,3.4603174603174605,7.0,7.0,10.0,2.0,1m
-54.0,9.29705215419501,7.0,7.0,10.0,2.0,1m
-54.0,2.467120181405896,7.0,7.0,10.0,2.0,1m
-55.0,2.095238095238096,7.0,7.0,10.0,2.0,1m
-55.0,3.895691609977325,7.0,7.0,10.0,2.0,1m
-118.0,0.2766439909297052,-11.0,-11.0,10.0,2.0,302
-119.0,0.4761904761904761,-11.0,-11.0,10.0,2.0,302
-117.0,0.489795918367347,-9.0,-9.0,10.0,2.0,302
-117.0,0.4081632653061224,-9.0,-9.0,10.0,2.0,302
-116.0,0.7528344671201814,-7.0,-7.0,10.0,2.0,302
-117.0,0.3718820861678005,-9.0,-9.0,10.0,2.0,302
-118.0,0.7528344671201814,-10.0,-10.0,10.0,2.0,302
-116.0,0.2766439909297052,-9.0,-9.0,10.0,2.0,302
-118.0,0.7120181405895691,-11.0,-11.0,10.0,2.0,302
-117.0,0.3310657596371882,-10.0,-10.0,10.0,2.0,302
-115.0,0.6938775510204083,-8.0,-8.0,10.0,2.0,302
-120.0,0.3718820861678005,-12.0,-12.0,10.0,2.0,302
-115.0,0.5351473922902492,-7.0,-7.0,10.0,2.0,302
-114.0,0.7891156462585035,-7.0,-7.0,10.0,2.0,302
-113.0,0.7210884353741495,-6.0,-6.0,10.0,2.0,302
-116.0,0.2993197278911565,-9.0,-9.0,10.0,2.0,302
-114.0,0.5306122448979591,-7.0,-7.0,10.0,2.0,302
-114.0,0.6938775510204083,-6.0,-6.0,10.0,2.0,302
-113.0,0.712018140589569,-6.0,-6.0,10.0,2.0,302
-114.0,0.6575963718820862,-7.0,-7.0,10.0,2.0,302
-114.0,0.91609977324263,-7.0,-7.0,10.0,2.0,302
-114.0,0.8843537414965985,-7.0,-7.0,10.0,2.0,302
-115.0,0.6938775510204083,-7.0,-7.0,10.0,2.0,302
-114.0,0.9024943310657596,-7.0,-7.0,10.0,2.0,302
-114.0,0.6802721088435375,-7.0,-7.0,10.0,2.0,302
-115.0,0.7120181405895691,-8.0,-8.0,10.0,2.0,302
-115.0,0.8480725623582767,-7.0,-7.0,10.0,2.0,302
-114.0,0.3945578231292516,-7.0,-7.0,10.0,2.0,302
-118.0,0.72562358276644,-10.0,-10.0,10.0,2.0,302
-117.0,0.5351473922902494,-10.0,-10.0,10.0,2.0,302
-113.0,0.6258503401360545,-7.0,-7.0,10.0,2.0,302
