realtime_average_rssi,average_rssi,rssi_variance,snr,median_rssi,mode_rssi,rssi_skewness,rssi_kurtosis,sf,tp,location_id
-86.66087728456273,-87.0,0.3284003196512748,9.0,-86.8790227120034,-85.0,1.567429859969984,2.443159007447347,11.0,2.0,12
-87.34165878313175,-88.0,1.575583997372678,9.0,-87.17790016324982,-94.0,-4.665889568900599,24.868368500906232,11.0,2.0,12
-86.64050425485188,-86.0,0.3684544053066202,9.0,-86.71318549340866,-85.0,1.1232971809980403,2.172928122219868,11.0,2.0,12
-85.0377681858239,-86.0,2.225407636175166,10.0,-84.80570930810707,-93.0,-4.732673165305406,25.602705027638592,11.0,2.0,12
-84.78584797583677,-85.0,0.4276946627954102,10.0,-84.76829434506855,-83.0,0.7931230990850796,2.3646103367943287,11.0,2.0,12
-84.96164966169516,-85.0,2.272965198041604,10.0,-84.8121098437849,-93.0,-4.6992324753425,25.483719893082608,11.0,2.0,12
-84.69394415752552,-85.0,0.3576865066940988,10.0,-84.7135634494482,-83.0,0.9926799345102436,2.83064587780147,11.0,2.0,12
-85.13901870144154,-85.0,2.2265640666400395,10.0,-84.94690614746092,-93.0,-4.51175856137657,24.18517804291984,11.0,2.0,12
-85.16491451657808,-86.0,0.1725308422041798,10.0,-85.1559080251573,-84.0,1.0600060977636103,2.1430794062029146,11.0,2.0,12
-85.10936799705996,-85.0,2.2664510531116373,10.0,-84.90900322435341,-93.0,-4.469738799753888,23.6203097227168,11.0,2.0,12
-84.86608464850377,-85.0,0.3066954528899337,10.0,-84.91225667352545,-83.0,2.2041875033661182,6.241136622614947,11.0,2.0,12
-85.49828569138135,-86.0,1.1300922752994929,10.0,-85.30791132495517,-91.0,-4.27281445649309,22.342245469161767,11.0,2.0,12
-84.61963547584108,-85.0,0.2720138403025298,10.0,-84.714207459221,-83.0,1.803984125594508,4.053246853343012,11.0,2.0,12
-85.46915485238291,-85.0,2.333027498668253,10.0,-85.22415608356668,-93.0,-3.675779500891924,18.03873525327307,11.0,2.0,12
-84.92570787433573,-85.0,0.333992414282957,10.0,-84.9942413277566,-83.0,2.3135609133455564,5.949819319215491,11.0,2.0,12
-85.46545059224957,-85.0,2.046125273056252,10.0,-85.1574582760693,-93.0,-4.602476419644579,24.062267802548188,11.0,2.0,12
-84.81399371462925,-86.0,0.3010093203106565,10.0,-84.88813751421304,-83.0,2.157431598126532,5.724454528170165,11.0,2.0,12
-84.99428485030172,-85.0,2.172487186373706,10.0,-84.82058059090657,-93.0,-4.99210781281243,27.672786113178898,11.0,2.0,12
-84.63230157282675,-85.0,0.2487971114645822,10.0,-84.73984339073743,-83.0,2.293054925571774,5.469883921188657,11.0,2.0,12
-86.39706203906972,-86.0,1.8165880969092103,9.0,-86.29939778048146,-93.0,-3.449716028696572,17.650774121636363,11.0,2.0,12
