hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,location_id,realtime_average_rssi,median_rssi,mode_rssi,rssi_variance
HDOK,PLOK,17472,1,1,-93,6,7,2,11,-94,-93,-95,-95,-92,-93,-97,-94,-94,-93,-95,340,-94.0909090909091,-94.0,-95.0,0.0
HDOK,PLOK,17472,2,2,-85,6,7,2,11,-86,-84,-84,-84,-84,-85,-85,-84,-85,-84,-85,340,-84.54545454545455,-84.0,-84.0,0.2222222222222222
HDOK,PLOK,17472,3,3,-85,6,7,2,11,-85,-83,-83,-85,-85,-83,-85,-83,-83,-83,-84,340,-83.81818181818181,-83.0,-83.0,0.2222222222222222
HDOK,PLOK,17472,4,4,-85,6,7,2,11,-85,-84,-83,-83,-85,-85,-83,-83,-85,-84,-83,340,-83.9090909090909,-84.0,-83.0,0.2222222222222222
HDOK,PLOK,17472,5,5,-85,6,7,2,11,-85,-83,-83,-85,-86,-83,-84,-83,-83,-83,-84,340,-83.81818181818181,-83.0,-83.0,0.2222222222222222
HDOK,PLOK,17472,6,6,-85,7,7,2,11,-86,-84,-83,-87,-83,-85,-87,-83,-84,-83,-84,340,-84.45454545454545,-84.0,-83.0,0.0
HDOK,PLOK,17472,7,7,-85,6,7,2,11,-86,-83,-84,-85,-83,-84,-86,-84,-84,-83,-83,340,-84.0909090909091,-84.0,-84.0,0.0
HDOK,PLOK,17472,8,8,-85,6,7,2,11,-86,-85,-85,-83,-83,-87,-83,-83,-87,-83,-86,340,-84.63636363636364,-85.0,-83.0,0.888888888888889
HDOK,PLOK,17472,9,9,-85,6,7,2,11,-86,-84,-86,-87,-83,-84,-88,-86,-90,-84,-90,340,-86.18181818181819,-86.0,-86.0,0.0
HDOK,PLOK,17472,10,10,-85,7,7,2,11,-86,-84,-86,-87,-83,-84,-87,-86,-84,-84,-84,340,-85.0,-84.0,-84.0,0.888888888888889
HDOK,PLOK,17472,11,11,-86,6,7,2,11,-86,-84,-83,-87,-85,-84,-86,-83,-84,-84,-87,340,-84.81818181818181,-84.0,-84.0,0.2222222222222222
HDOK,PLOK,17472,12,12,-85,6,7,2,11,-85,-83,-83,-84,-87,-83,-84,-86,-87,-83,-83,340,-84.36363636363636,-84.0,-83.0,0.2222222222222222
HDOK,PLOK,17472,13,13,-85,6,7,2,11,-86,-87,-84,-88,-85,-81,-87,-84,-84,-84,-86,340,-85.0909090909091,-85.0,-84.0,0.6666666666666666
HDOK,PLOK,17472,14,14,-85,6,7,2,11,-86,-83,-84,-86,-87,-84,-84,-87,-88,-83,-85,340,-85.18181818181819,-85.0,-84.0,0.6666666666666666
HDOK,PLOK,17472,15,15,-86,6,7,2,11,-86,-84,-85,-84,-81,-86,-84,-84,-86,-84,-86,340,-84.54545454545455,-84.0,-84.0,0.2222222222222222
HDOK,PLOK,17472,16,16,-85,6,7,2,11,-86,-83,-85,-86,-83,-84,-87,-84,-84,-83,-83,340,-84.36363636363636,-84.0,-83.0,0.0
HDOK,PLOK,17472,17,17,-86,6,7,2,11,-86,-88,-87,-84,-85,-85,-85,-87,-86,-84,-84,340,-85.54545454545455,-85.0,-85.0,0.2222222222222222
HDOK,PLOK,17472,18,18,-86,6,7,2,11,-87,-86,-84,-85,-87,-84,-85,-85,-84,-87,-85,340,-85.36363636363636,-85.0,-85.0,0.0
HDOK,PLOK,17472,19,19,-86,6,7,2,11,-86,-88,-81,-84,-85,-85,-91,-88,-87,-85,-85,340,-85.9090909090909,-85.0,-85.0,0.2222222222222222
HDOK,PLOK,17472,20,20,-96,6,7,2,11,-100,-100,-97,-99,-100,-97,-97,-97,-97,-96,-97,340,-97.9090909090909,-97.0,-97.0,0.0
