hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,location_id,rssi_variance
HDOK,PLOK,17472,1,1,-82,7,7,2,11,-82,-82,-81,-83,-81,-82,-82,-81,-81,-80,-83,336,0.16
HDOK,PLOK,17472,2,2,-77,7,7,2,11,-78,-76,-77,-79,-78,-76,-78,-76,-76,-76,-79,336,0.64
HDOK,PLOK,17472,3,3,-78,7,7,2,11,-78,-77,-77,-76,-76,-79,-76,-76,-79,-77,-79,336,0.64
HDOK,PLOK,17472,4,4,-77,6,7,2,11,-78,-77,-76,-77,-78,-77,-76,-78,-77,-77,-78,336,0.24
HDOK,PLOK,17472,5,5,-77,6,7,2,11,-78,-80,-75,-72,-80,-76,-76,-78,-79,-76,-76,336,1.44
HDOK,PLOK,17472,6,6,-77,7,7,2,11,-78,-76,-76,-78,-80,-76,-77,-76,-76,-76,-77,336,0.5599999999999999
HDOK,PLOK,17472,7,7,-78,7,7,2,11,-80,-79,-77,-77,-79,-79,-77,-77,-78,-77,-77,336,0.8
HDOK,PLOK,17472,8,8,-78,6,7,2,11,-79,-79,-77,-76,-77,-79,-77,-76,-79,-78,-78,336,0.5599999999999999
HDOK,PLOK,17472,9,9,-83,7,7,2,11,-83,-81,-81,-85,-81,-81,-85,-82,-83,-81,-83,336,0.64
HDOK,PLOK,17472,10,10,-77,7,7,2,11,-79,-76,-76,-77,-79,-76,-77,-76,-76,-76,-77,336,0.24
HDOK,PLOK,17472,11,11,-81,6,7,2,11,-81,-78,-78,-79,-81,-78,-79,-80,-79,-81,-81,336,0.8
HDOK,PLOK,17472,12,12,-81,6,7,2,11,-81,-79,-79,-86,-81,-80,-79,-83,-83,-79,-80,336,1.2
HDOK,PLOK,17472,13,13,-78,6,7,2,11,-80,-78,-77,-80,-80,-77,-78,-77,-77,-77,-80,336,1.44
HDOK,PLOK,17472,14,14,-77,7,7,2,11,-79,-76,-76,-79,-79,-76,-77,-76,-76,-76,-79,336,1.8399999999999999
HDOK,PLOK,17472,15,15,-78,7,7,2,11,-77,-76,-77,-80,-76,-76,-80,-76,-78,-76,-77,336,0.4
HDOK,PLOK,17472,16,16,-77,6,7,2,11,-78,-76,-77,-76,-77,-76,-76,-79,-77,-77,-77,336,0.0
HDOK,PLOK,17472,17,17,-77,7,7,2,11,-77,-75,-76,-77,-76,-76,-79,-76,-76,-76,-76,336,0.16
HDOK,PLOK,17472,18,18,-77,7,7,2,11,-77,-76,-77,-76,-77,-76,-76,-78,-77,-75,-76,336,0.24
HDOK,PLOK,17472,19,19,-77,7,7,2,11,-77,-79,-76,-76,-77,-77,-78,-80,-79,-76,-76,336,0.64
HDOK,PLOK,17472,20,20,-78,6,7,2,11,-78,-77,-77,-77,-78,-78,-77,-77,-77,-77,-77,336,0.16
