hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,location_id,realtime_average_rssi,median_rssi,mode_rssi,rssi_variance
HDOK,PLOK,17472,1,1,-107,1,7,2,11,-109,-106,-107,-107,-109.0,-107.0,-106.0,-107.0,-109.0,-107.0,-110.0,322,-107.63636363636364,-107.0,-107.0,0.0
HDOK,PLOK,17472,2,2,-93,7,7,2,11,-94,-92,-92,-94,-95.0,-92.0,-93.0,-93.0,-92.0,-99.0,-95.0,322,-93.72727272727273,-93.0,-92.0,0.2222222222222222
HDOK,PLOK,17472,3,3,-93,6,7,2,11,-94,-93,-95,-93,-93.0,-92.0,-93.0,-95.0,-94.0,-92.0,-93.0,322,-93.36363636363636,-93.0,-93.0,0.0
HDOK,PLOK,17472,4,4,-93,6,7,2,11,-95,-92,-93,-94,-92.0,-93.0,-95.0,-93.0,-93.0,-93.0,-93.0,322,-93.27272727272727,-93.0,-93.0,0.0
HDOK,PLOK,17472,5,5,-93,6,7,2,11,-94,-92,-93,-92,-94.0,-93.0,-93.0,-92.0,-93.0,-93.0,-93.0,322,-92.9090909090909,-93.0,-93.0,0.0
HDOK,PLOK,17472,6,6,-89,7,7,2,11,-91,-89,-89,-92,-89.0,-89.0,-93.0,-91.0,-89.0,-89.0,-89.0,322,-90.0,-89.0,-89.0,0.0
HDOK,PLOK,17472,7,7,-96,6,7,2,11,-99,-97,-98,-96,-97.0,-98.0,-97.0,-96.0,-98.0,-96.0,-97.0,322,-97.18181818181819,-97.0,-97.0,0.0
HDOK,PLOK,17472,8,8,-88,6,7,2,11,-90,-84,-88,-89,-89.0,-87.0,-88.0,-91.0,-88.0,-88.0,-89.0,322,-88.27272727272727,-88.0,-88.0,0.2222222222222222
HDOK,PLOK,17472,9,9,-94,6,7,2,11,-96,-95,-94,-96,-96.0,-95.0,-95.0,-94.0,-94.0,-94.0,-95.0,322,-94.9090909090909,-95.0,-95.0,0.0
HDOK,PLOK,17472,10,10,-93,7,7,2,11,-94,-93,-93,-93,-94.0,-93.0,-94.0,-97.0,-97.0,-93.0,-95.0,322,-94.18181818181819,-94.0,-93.0,0.2222222222222222
HDOK,PLOK,17472,11,11,-93,7,7,2,11,-94,-93,-93,-94,-93.0,-93.0,-95.0,-93.0,-93.0,-93.0,-93.0,322,-93.36363636363636,-93.0,-93.0,0.0
HDOK,PLOK,17472,12,12,-94,8,7,2,11,-95,-94,-95,-97,-93.0,-94.0,-97.0,-95.0,-94.0,-94.0,-94.0,322,-94.72727272727273,-94.0,-94.0,0.2222222222222222
HDOK,PLOK,17472,13,13,-94,7,7,2,11,-95,-94,-97,-97,-93.0,-94.0,-97.0,-95.0,-94.0,-94.0,-94.0,322,-94.9090909090909,-94.0,-94.0,0.2222222222222222
HDOK,PLOK,17472,14,14,-95,6,7,2,11,-97,-91,-95,-95,-96.0,-95.0,-95.0,-97.0,-96.0,-96.0,-97.0,322,-95.45454545454545,-96.0,-95.0,0.2222222222222222
HDOK,PLOK,17472,15,15,-94,6,7,2,11,-97,-95,-97,-95,-95.0,-95.0,-95.0,-97.0,-97.0,-93.0,-94.0,322,-95.45454545454545,-95.0,-95.0,0.0
HDOK,PLOK,17472,16,16,-98,5,7,2,11,-98,-100,-96,-99,-99.0,-97.0,-98.0,-96.0,-96.0,-97.0,-100.0,322,-97.81818181818181,-98.0,-96.0,0.2222222222222222
HDOK,PLOK,17472,17,17,-94,7,7,2,11,-95,-93,-94,-97,-94.0,-94.0,-97.0,-94.0,-95.0,-94.0,-95.0,322,-94.72727272727273,-94.0,-94.0,0.2222222222222222
HDOK,PLOK,17472,18,18,-94,6,7,2,11,-95,-95,-94,-94,-97.0,-95.0,-95.0,-94.0,-95.0,-94.0,-95.0,322,-94.81818181818181,-95.0,-95.0,0.0
HDOK,PLOK,17472,19,19,-94,7,7,2,11,-95,-95,-94,-95,-97.0,-94.0,-94.0,-97.0,-97.0,-94.0,-94.0,322,-95.0909090909091,-95.0,-94.0,0.2222222222222222
HDOK,PLOK,17472,20,20,-95,6,7,2,11,-95,-95,-95,-97,-94.0,-94.0,-97.0,-97.0,-94.0,-94.0,-95.0,322,-95.18181818181819,-95.0,-95.0,0.0
HDOK,PLOK,17472,21,21,-94,6,7,2,11,-95,-95,-94,-97,-95.0,-94.0,-95.0,-94.0,-94.0,-94.0,-97.0,322,-94.9090909090909,-95.0,-94.0,0.2222222222222222
HDOK,PLOK,17472,22,22,-95,6,7,2,11,-96,-95,-94,-95,-95.0,-95.0,-95.0,-97.0,-98.0,-94.0,-95.0,322,-95.36363636363636,-95.0,-95.0,0.0
HDOK,PLOK,17472,23,23,-94,6,7,2,11,-95,-95,-94,-95,-97.0,-94.0,-94.0,-94.0,-94.0,-95.0,-94.0,322,-94.63636363636364,-94.0,-94.0,0.2222222222222222
HDOK,PLOK,17472,24,24,-93,6,7,2,11,-95,-94,-93,-94,-97.0,-93.0,-93.0,-94.0,-93.0,-93.0,-93.0,322,-93.81818181818181,-93.0,-93.0,0.2222222222222222
HDOK,PLFL,16960,25,24,-101,2,7,2,11,-103,-100,-100,-103,-101.0,-101.0,-105.0,-101.0,-103.0,-97.0,-104.0,322,-101.63636363636364,-101.0,-103.0,0.888888888888889
HDOK,PLOK,11710,26,25,-128,-12,7,2,3,-116,-118,-118,322,,,,,,,,,-7.5,-117.0,-118.0,
