hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,location_id,realtime_average_rssi,median_rssi,mode_rssi,rssi_variance
HDOK,PLOK,17472,1,1,-98,6,7,2,11,-101,-102,-100,-101,-100,-100,-99,-98,-97,-97,-100,344,-99.54545454545455,-100.0,-100.0,0.0
HDOK,PLOK,17472,2,2,-93,7,7,2,11,-95,-94,-93,-94,-94,-93,-93,-97,-94,-94,-94,344,-94.0909090909091,-94.0,-94.0,0.0
HDOK,PLOK,17472,3,3,-94,6,7,2,11,-94,-93,-93,-95,-95,-93,-94,-93,-93,-93,-93,344,-93.54545454545455,-93.0,-93.0,0.0
HDOK,PLOK,17472,4,4,-94,6,7,2,11,-97,-95,-94,-94,-94,-97,-94,-94,-97,-94,-95,344,-95.0,-94.0,-94.0,0.2222222222222222
HDOK,PLOK,17472,5,5,-95,6,7,2,11,-96,-95,-95,-97,-99,-95,-96,-95,-95,-95,-95,344,-95.72727272727273,-95.0,-95.0,0.0
HDOK,PLOK,17472,6,6,-94,6,7,2,11,-98,-95,-95,-98,-96,-95,-96,-94,-95,-94,-95,344,-95.54545454545455,-95.0,-95.0,0.0
HDOK,PLOK,17472,7,7,-94,7,7,2,11,-95,-97,-94,-94,-95,-94,-94,-97,-97,-94,-94,344,-95.0,-94.0,-94.0,0.2222222222222222
HDOK,PLOK,17472,8,8,-93,6,7,2,11,-94,-94,-94,-93,-93,-97,-93,-94,-97,-94,-94,344,-94.27272727272727,-94.0,-94.0,0.0
HDOK,PLOK,17472,9,9,-94,7,7,2,11,-95,-95,-94,-94,-94,-95,-94,-93,-95,-95,-94,344,-94.36363636363636,-94.0,-95.0,0.2222222222222222
HDOK,PLOK,17472,10,10,-94,7,7,2,11,-95,-94,-95,-97,-94,-94,-97,-95,-94,-94,-94,344,-94.81818181818181,-94.0,-94.0,0.2222222222222222
HDOK,PLOK,17472,11,11,-94,7,7,2,11,-95,-94,-94,-94,-95,-94,-94,-93,-94,-94,-95,344,-94.18181818181819,-94.0,-94.0,0.0
HDOK,PLOK,17472,12,12,-94,7,7,2,11,-95,-93,-93,-95,-97,-93,-94,-93,-93,-93,-94,344,-93.9090909090909,-93.0,-93.0,0.2222222222222222
HDOK,PLOK,17472,13,13,-94,7,7,2,11,-95,-94,-95,-94,-95,-94,-94,-97,-95,-94,-94,344,-94.63636363636364,-94.0,-94.0,0.2222222222222222
HDOK,PLOK,17472,14,14,-94,7,7,2,11,-95,-95,-95,-94,-94,-94,-94,-97,-95,-94,-94,344,-94.63636363636364,-94.0,-94.0,0.2222222222222222
HDOK,PLOK,17472,15,15,-94,7,7,2,11,-95,-94,-94,-93,-94,-94,-93,-95,-94,-94,-93,344,-93.9090909090909,-94.0,-94.0,0.0
HDOK,PLOK,17472,16,16,-94,6,7,2,11,-95,-95,-93,-95,-97,-94,-94,-94,-94,-94,-97,344,-94.72727272727273,-94.0,-94.0,0.2222222222222222
HDOK,PLOK,17472,17,17,-95,6,7,2,11,-95,-95,-94,-95,-97,-94,-94,-94,-94,-94,-94,344,-94.54545454545455,-94.0,-94.0,0.0
HDOK,PLOK,17472,18,18,-94,6,7,2,11,-95,-94,-94,-94,-95,-95,-94,-94,-95,-94,-95,344,-94.45454545454545,-94.0,-94.0,0.2222222222222222
HDOK,PLOK,17472,19,19,-94,7,7,2,11,-95,-93,-94,-97,-94,-95,-95,-94,-94,-93,-95,344,-94.45454545454545,-94.0,-95.0,0.2222222222222222
HDOK,PLOK,17472,20,20,-103,5,7,2,11,-103,-102,-102,-102,-103,-102,-104,-102,-102,-103,-103,344,-102.54545454545455,-102.0,-102.0,0.2222222222222222
