hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,location_id,realtime_average_rssi,median_rssi,mode_rssi,rssi_variance
HDOK,PLOK,17472,1,1,-107,0,7,2,11,-109,-109,-108,-109,-110,-109,-109,-109,-109,-107,-110,306-304,-108.9090909090909,-109.0,-109.0,0.0
HDOK,PLOK,17472,2,2,-99,6,7,2,11,-98,-100,-99,-99,-101,-99,-99,-100,-99,-100,-100,306-304,-99.45454545454545,-99.0,-99.0,0.2222222222222222
HDOK,PLOK,17472,3,3,-99,5,7,2,11,-100,-100,-98,-98,-99,-98,-98,-101,-101,-97,-99,306-304,-99.0,-99.0,-98.0,0.2222222222222222
HDOK,PLOK,17472,4,4,-99,5,7,2,11,-101,-98,-97,-99,-98,-99,-101,-103,-100,-98,-99,306-304,-99.36363636363636,-99.0,-99.0,0.0
HDOK,PLOK,17472,5,5,-99,5,7,2,11,-100,-98,-100,-100,-97,-97,-101,-99,-99,-98,-99,306-304,-98.9090909090909,-99.0,-100.0,0.0
HDOK,PLOK,17472,6,6,-99,5,7,2,11,-100,-97,-97,-99,-99,-98,-97,-101,-101,-98,-100,306-304,-98.81818181818181,-99.0,-97.0,0.2222222222222222
HDOK,PLOK,17472,7,7,-99,5,7,2,11,-100,-100,-99,-98,-99,-100,-99,-98,-100,-100,-100,306-304,-99.36363636363636,-100.0,-100.0,0.2222222222222222
HDOK,PLOK,17472,8,8,-98,5,7,2,11,-100,-98,-98,-100,-100,-97,-99,-97,-97,-98,-101,306-304,-98.63636363636364,-98.0,-100.0,0.2222222222222222
HDOK,PLOK,17472,9,9,-96,6,7,2,11,-98,-96,-98,-96,-93,-98,-97,-96,-99,-96,-97,306-304,-96.72727272727273,-97.0,-96.0,0.2222222222222222
HDOK,PLOK,17472,10,10,-99,5,7,2,11,-100,-98,-99,-98,-101,-98,-98,-101,-101,-98,-98,306-304,-99.0909090909091,-98.0,-98.0,0.2222222222222222
HDOK,PLOK,17472,11,11,-100,5,7,2,11,-100,-99,-99,-101,-99,-99,-100,-98,-98,-98,-99,306-304,-99.0909090909091,-99.0,-99.0,0.0
HDOK,PLOK,17472,12,12,-105,3,7,2,11,-106,-106,-105,-109,-105,-105,-107,-106,-107,-105,-107,306-304,-106.18181818181819,-106.0,-105.0,0.0
HDOK,PLOK,17472,13,13,-99,5,7,2,11,-100,-98,-99,-100,-100,-99,-100,-98,-98,-99,-101,306-304,-99.27272727272727,-99.0,-100.0,0.2222222222222222
HDOK,PLOK,17472,14,14,-99,6,7,2,11,-99,-98,-99,-98,-101,-100,-99,-98,-100,-98,-100,306-304,-99.0909090909091,-99.0,-98.0,0.0
HDOK,PLOK,17472,15,15,-99,5,7,2,11,-100,-101,-98,-99,-100,-98,-99,-101,-101,-99,-99,306-304,-99.54545454545455,-99.0,-99.0,0.2222222222222222
HDOK,PLOK,17472,16,16,-99,5,7,2,11,-100,-101,-98,-103,-98,-100,-101,-98,-100,-98,-101,306-304,-99.81818181818181,-100.0,-98.0,0.0
HDOK,PLOK,17472,17,17,-99,5,7,2,11,-100,-101,-98,-99,-100,-98,-99,-100,-99,-99,-99,306-304,-99.27272727272727,-99.0,-99.0,0.0
HDOK,PLOK,17472,18,18,-99,5,7,2,11,-101,-98,-100,-101,-98,-99,-101,-101,-105,-98,-99,306-304,-100.0909090909091,-100.0,-101.0,0.6666666666666666
HDOK,PLOK,17472,19,19,-99,6,7,2,11,-100,-101,-99,-100,-101,-99,-99,-98,-99,-100,-101,306-304,-99.72727272727273,-100.0,-99.0,0.2222222222222222
HDOK,PLOK,17472,20,20,-99,5,7,2,11,-100,-99,-101,-101,-99,-99,-101,-100,-99,-99,-99,306-304,-99.72727272727273,-99.0,-99.0,0.2222222222222222
HDOK,PLOK,17472,21,21,-100,6,7,2,11,-101,-101,-99,-101,-103,-100,-99,-100,-99,-100,-103,306-304,-100.54545454545455,-100.0,-101.0,0.2222222222222222
HDOK,PLOK,17472,22,22,-101,5,7,2,11,-102,-100,-102,-101,-101,-101,-103,-101,-101,-100,-101,306-304,-101.18181818181819,-101.0,-101.0,0.0
HDOK,PLOK,17472,23,23,-102,5,7,2,11,-104,-105,-103,-105,-105,-102,-103,-102,-102,-102,-103,306-304,-103.27272727272727,-103.0,-102.0,0.0
HDOK,PLOK,17472,24,24,-94,6,7,2,11,-96,-95,-91,-97,-95,-95,-98,-95,-95,-95,-95,306-304,-95.18181818181819,-95.0,-95.0,0.0
HDOK,PLOK,17472,25,25,-102,5,7,2,11,-104,-102,-101,-103,-104,-101,-101,-102,-103,-101,-101,306-304,-102.0909090909091,-102.0,-101.0,0.2222222222222222
