hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,location_id,realtime_average_rssi,median_rssi,mode_rssi,rssi_variance
HDOK,PLOK,17472,1,1,-73,7,7,2,11,-73,-67,-70,-74,-71,-67,-74,-71,-71,-71,-73,334,-71.0909090909091,-71.0,-71.0,0.0
HDOK,PLOK,17472,2,2,-69,6,7,2,11,-69,-67,-67,-69,-71,-67,-68,-68,-67,-83,-72,334,-69.81818181818181,-68.0,-67.0,0.2222222222222222
HDOK,PLOK,17472,3,3,-70,7,7,2,11,-69,-68,-68,-68,-69,-67,-68,-70,-68,-67,-68,334,-68.18181818181819,-68.0,-68.0,0.0
HDOK,PLOK,17472,4,4,-69,6,7,2,11,-69,-67,-68,-69,-69,-67,-69,-67,-67,-67,-70,334,-68.0909090909091,-68.0,-67.0,0.6666666666666666
HDOK,PLOK,17472,5,5,-72,6,7,2,11,-71,-70,-69,-75,-70,-70,-73,-70,-73,-70,-71,334,-71.0909090909091,-70.0,-70.0,0.2222222222222222
HDOK,PLOK,17472,6,6,-69,6,7,2,11,-71,-69,-69,-71,-69,-69,-70,-67,-67,-67,-68,334,-68.81818181818181,-69.0,-69.0,0.0
HDOK,PLOK,17472,7,7,-69,6,7,2,11,-69,-67,-68,-68,-67,-69,-68,-67,-68,-67,-68,334,-67.81818181818181,-68.0,-68.0,0.0
HDOK,PLOK,17472,8,8,-69,6,7,2,11,-37,-67,-67,-61,-66,-67,-70,-67,-67,-66,-67,334,-63.81818181818182,-67.0,-67.0,0.0
HDOK,PLOK,17472,9,9,-69,6,7,2,11,-69,-70,-66,-69,-70,-66,-66,-69,-70,-66,-66,334,-67.9090909090909,-69.0,-66.0,2.0
HDOK,PLOK,17472,10,10,-69,6,7,2,11,-69,-66,-67,-67,-67,-67,-69,-67,-68,-67,-67,334,-67.36363636363636,-67.0,-67.0,0.0
HDOK,PLOK,17472,11,11,-70,6,7,2,11,-69,-67,-67,-67,-67,-68,-68,-67,-68,-67,-68,334,-67.54545454545455,-67.0,-67.0,0.2222222222222222
HDOK,PLOK,17472,12,12,-71,7,7,2,11,-70,-67,-68,-70,-71,-68,-69,-70,-71,-69,-69,334,-69.27272727272727,-69.0,-70.0,0.2222222222222222
HDOK,PLOK,17472,13,13,-68,6,7,2,11,-68,-66,-67,-66,-67,-66,-66,-69,-67,-65,-67,334,-66.72727272727273,-67.0,-67.0,0.2222222222222222
HDOK,PLOK,17472,14,14,-68,6,7,2,11,-67,-65,-65,-67,-69,-65,-67,-67,-66,-73,-70,334,-67.36363636363636,-67.0,-67.0,0.0
HDOK,PLOK,17472,15,15,-70,6,7,2,11,-70,-71,-67,-64,-71,-68,-68,-70,-71,-68,-68,334,-68.72727272727273,-68.0,-68.0,0.888888888888889
HDOK,PLOK,17472,16,16,-69,6,7,2,11,-69,-67,-68,-67,-68,-68,-70,-71,-70,-67,-68,334,-68.45454545454545,-68.0,-68.0,0.0
HDOK,PLOK,17472,17,17,-71,7,7,2,11,-69,-67,-68,-71,-68,-70,-71,-69,-70,-69,-71,334,-69.36363636363636,-69.0,-71.0,0.2222222222222222
HDOK,PLOK,17472,18,18,-85,7,7,2,11,-85,-84,-83,-89,-85,-83,-83,-87,-87,-83,-83,334,-84.72727272727273,-84.0,-83.0,0.6666666666666666
HDOK,PLOK,17472,19,19,-73,7,7,2,11,-74,-72,-71,-74,-75,-71,-72,-72,-71,-71,-75,334,-72.54545454545455,-72.0,-71.0,0.0
HDOK,PLOK,17472,20,20,-76,7,7,2,11,-76,-77,-75,-79,-75,-75,-77,-75,-77,-74,-77,334,-76.0909090909091,-76.0,-77.0,0.6666666666666666
