hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,location_id,realtime_average_rssi,median_rssi,mode_rssi,rssi_variance
HDOK,PLOK,17472,1,1,-92,6,7,2,11,-94,-92,-92,-93,-95,-92,-92,-93,-92,-94,-93,354,-92.9090909090909,-93.0,-92.0,0.2222222222222222
HDOK,PLOK,17472,2,2,-89,6,7,2,11,-90,-89,-89,-92,-89,-89,-92,-89,-88,-88,-91,354,-89.63636363636364,-89.0,-89.0,0.0
HDOK,PLOK,17472,3,3,-90,7,7,2,11,-90,-88,-89,-89,-88,-89,-91,-89,-89,-88,-89,354,-89.0,-89.0,-89.0,0.0
HDOK,PLOK,17472,4,4,-89,6,7,2,11,-90,-90,-89,-88,-89,-91,-89,-88,-91,-90,-90,354,-89.54545454545455,-90.0,-90.0,0.2222222222222222
HDOK,PLOK,17472,5,5,-89,6,7,2,11,-90,-93,-89,-91,-92,-89,-89,-90,-92,-89,-88,354,-90.18181818181819,-90.0,-89.0,0.2222222222222222
HDOK,PLOK,17472,6,6,-89,7,7,2,11,-89,-89,-88,-88,-89,-89,-88,-88,-90,-88,-89,354,-88.63636363636364,-89.0,-89.0,0.2222222222222222
HDOK,PLOK,17472,7,7,-99,5,7,2,11,-101,-105,-99,-101,-103,-99,-99,-100,-101,-99,-99,354,-100.54545454545455,-100.0,-99.0,0.6666666666666666
HDOK,PLOK,17472,8,8,-89,6,7,2,11,-91,-89,-89,-89,-90,-89,-89,-92,-93,-89,-89,354,-89.9090909090909,-89.0,-89.0,0.0
HDOK,PLOK,17472,9,9,-90,6,7,2,11,-91,-89,-90,-91,-89,-89,-92,-91,-89,-89,-89,354,-89.9090909090909,-89.0,-89.0,0.2222222222222222
HDOK,PLOK,17472,10,10,-89,6,7,2,11,-91,-89,-91,-89,-89,-90,-91,-93,-92,-89,-95,354,-90.81818181818181,-91.0,-89.0,0.2222222222222222
HDOK,PLOK,17472,11,11,-90,7,7,2,11,-91,-89,-89,-93,-89,-89,-93,-89,-91,-89,-90,354,-90.18181818181819,-89.0,-89.0,0.2222222222222222
HDOK,PLOK,17472,12,12,-98,6,7,2,11,-100,-97,-97,-99,-99,-96,-98,-97,-96,-96,-96,354,-97.36363636363636,-97.0,-96.0,0.0
HDOK,PLOK,17472,13,13,-90,6,7,2,11,-90,-88,-89,-90,-92,-89,-89,-89,-89,-89,-92,354,-89.63636363636364,-89.0,-89.0,0.0
HDOK,PLOK,17472,14,14,-89,7,7,2,11,-90,-89,-88,-89,-92,-88,-89,-89,-89,-91,-90,354,-89.45454545454545,-89.0,-89.0,0.0
HDOK,PLOK,17472,15,15,-90,7,7,2,11,-91,-89,-89,-91,-90,-89,-90,-89,-89,-89,-89,354,-89.54545454545455,-89.0,-89.0,0.0
HDOK,PLOK,17472,16,16,-90,6,7,2,11,-92,-93,-89,-94,-90,-86,-93,-89,-89,-89,-92,354,-90.54545454545455,-90.0,-89.0,1.5555555555555556
HDOK,PLOK,17472,17,17,-92,6,7,2,11,-94,-93,-91,-92,-94,-92,-91,-94,-95,-92,-91,354,-92.63636363636364,-92.0,-94.0,0.2222222222222222
HDOK,PLOK,17472,18,18,-95,6,7,2,11,-96,-94,-95,-94,-95,-95,-97,-99,-97,-94,-97,354,-95.72727272727273,-95.0,-97.0,0.2222222222222222
HDOK,PLOK,17472,19,19,-91,6,7,2,11,-93,-91,-93,-93,-90,-91,-94,-93,-91,-91,-91,354,-91.9090909090909,-91.0,-91.0,0.888888888888889
HDOK,PLOK,17472,20,20,-101,6,7,2,11,-99,-99,-98,-99,-100,-99,-85,-103,-103,-99,-101,354,-98.63636363636364,-99.0,-99.0,0.0
