hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,location_id,realtime_average_rssi,median_rssi,mode_rssi,rssi_variance
HDOK,PLOK,17472,1,1,-91,6,7,2,11,-92,-94,-89,-92,-93,-90,-90,-93,-94,-90,-90,328,-91.54545454545455,-92.0,-90.0,0.888888888888889
HDOK,PLOK,17472,2,2,-88,7,7,2,11,-89,-87,-88,-89,-87,-87,-89,-88,-88,-88,-87,328,-87.9090909090909,-88.0,-88.0,0.0
HDOK,PLOK,17472,3,3,-89,7,7,2,11,-90,-92,-88,-95,-90,-88,-89,-91,-92,-88,-88,328,-90.0909090909091,-90.0,-88.0,0.2222222222222222
HDOK,PLOK,17472,4,4,-89,7,7,2,11,-90,-89,-84,-88,-89,-89,-89,-91,-90,-89,-89,328,-88.81818181818181,-89.0,-89.0,0.0
HDOK,PLOK,17472,5,5,-89,6,7,2,11,-90,-89,-95,-89,-90,-88,-88,-90,-89,-89,-87,328,-89.45454545454545,-89.0,-89.0,0.0
HDOK,PLOK,17472,6,6,-90,6,7,2,11,-92,-91,-90,-90,-90,-89,-90,-92,-90,-90,-89,328,-90.27272727272727,-90.0,-90.0,0.0
HDOK,PLFL,16960,7,6,-89,3,7,2,11,-90,-89,-89,-91,-89,-89,-90,-88,-89,-88,-91,328,-89.36363636363636,-89.0,-89.0,0.0
HDOK,PLOK,17472,8,7,-89,7,7,2,11,-89,-88,-88,-88,-89,-89,-91,-93,-91,-88,-88,328,-89.27272727272727,-89.0,-88.0,0.2222222222222222
HDOK,PLOK,17472,9,8,-89,6,7,2,11,-89,-89,-89,-88,-88,-89,-89,-93,-91,-88,-88,328,-89.18181818181819,-89.0,-89.0,0.0
HDOK,PLOK,17472,10,9,-89,7,7,2,11,-89,-88,-88,-88,-89,-89,-88,-88,-89,-88,-89,328,-88.45454545454545,-88.0,-88.0,0.2222222222222222
HDOK,PLOK,17472,11,10,-89,7,7,2,11,-89,-88,-89,-91,-88,-88,-93,-88,-89,-88,-88,328,-89.0,-88.0,-88.0,0.2222222222222222
HDOK,PLOK,17472,12,11,-89,6,7,2,11,-89,-88,-88,-88,-89,-89,-89,-88,-89,-88,-88,328,-88.45454545454545,-88.0,-88.0,0.2222222222222222
HDOK,PLOK,17472,13,12,-89,7,7,2,11,-89,-91,-88,-91,-88,-91,-91,-88,-89,-88,-91,328,-89.54545454545455,-89.0,-91.0,0.888888888888889
HDOK,PLOK,17472,14,13,-89,7,7,2,11,-90,-87,-88,-89,-93,-88,-88,-88,-88,-88,-91,328,-88.9090909090909,-88.0,-88.0,0.0
HDOK,PLOK,17472,15,14,-89,7,7,2,11,-90,-88,-89,-91,-88,-88,-92,-90,-89,-88,-88,328,-89.18181818181819,-89.0,-88.0,0.2222222222222222
HDOK,PLOK,17472,16,15,-89,6,7,2,11,-90,-88,-90,-88,-89,-89,-89,-91,-89,-88,-89,328,-89.0909090909091,-89.0,-89.0,0.0
HDOK,PLOK,17472,17,16,-89,7,7,2,11,-89,-89,-88,-89,-91,-88,-88,-88,-88,-88,-88,328,-88.54545454545455,-88.0,-88.0,0.0
HDOK,PLOK,17472,18,17,-89,6,7,2,11,-90,-90,-88,-92,-89,-89,-92,-89,-89,-89,-89,328,-89.63636363636364,-89.0,-89.0,0.0
HDOK,PLOK,17472,19,18,-92,7,7,2,11,-93,-94,-92,-91,-93,-93,-92,-91,-94,-94,-94,328,-92.81818181818181,-93.0,-94.0,0.0
HDOK,PLOK,17472,20,19,-94,6,7,2,11,-95,-94,-95,-94,-94,-94,-94,-97,-95,-93,-93,328,-94.36363636363636,-94.0,-94.0,0.0
