rssi,average_rssi,snr,average_snr,sf,tp,location_id
-116.0,-124.0,-11.0,-11.0,9.0,2.0,302
-117.0,-124.0,-11.0,-11.0,9.0,2.0,302
-117.0,-124.0,-11.0,-11.0,9.0,2.0,302
-114.0,-124.0,-11.0,-11.0,9.0,2.0,302
-116.0,-124.0,-11.0,-11.0,9.0,2.0,302
-116.0,-124.0,-11.0,-11.0,9.0,2.0,302
-117.0,-124.0,-11.0,-11.0,9.0,2.0,302
-116.0,-124.0,-11.0,-11.0,9.0,2.0,302
-115.0,-124.0,-11.0,-11.0,9.0,2.0,302
-117.0,-124.0,-11.0,-11.0,9.0,2.0,302
-115.0,-124.0,-11.0,-11.0,9.0,2.0,302
-115.0,-124.0,-11.0,-11.0,9.0,2.0,302
-113.0,-124.0,-11.0,-11.0,9.0,2.0,302
-116.0,-124.0,-11.0,-11.0,9.0,2.0,302
-115.0,-124.0,-11.0,-11.0,9.0,2.0,302
-116.0,-124.0,-11.0,-11.0,9.0,2.0,302
-110.0,-124.0,-11.0,-11.0,9.0,2.0,302
-116.0,-124.0,-11.0,-11.0,9.0,2.0,302
-113.0,-124.0,-11.0,-11.0,9.0,2.0,302
-115.0,-124.0,-11.0,-11.0,9.0,2.0,302
-116.0,-124.0,-11.0,-11.0,9.0,2.0,302
-113.0,-124.0,-11.0,-11.0,9.0,2.0,302
-117.0,-124.0,-11.0,-11.0,9.0,2.0,302
-116.0,-124.0,-11.0,-11.0,9.0,2.0,302
-117.0,-124.0,-11.0,-11.0,9.0,2.0,302
-116.0,-124.0,-11.0,-11.0,9.0,2.0,302
-118.0,-124.0,-11.0,-11.0,9.0,2.0,302
-116.0,-124.0,-11.0,-11.0,9.0,2.0,302
-118.0,-124.0,-11.0,-11.0,9.0,2.0,302
-118.0,-124.0,-11.0,-11.0,9.0,2.0,302
-115.0,-124.0,-11.0,-11.0,9.0,2.0,302
-113.0,-124.0,-11.0,-11.0,9.0,2.0,302
-124.0,-124.0,-11.0,-11.0,9.0,2.0,302
-115.0,-129.0,-14.0,-14.0,9.0,2.0,302
-117.0,-129.0,-14.0,-14.0,9.0,2.0,302
-113.0,-129.0,-14.0,-14.0,9.0,2.0,302
-115.0,-129.0,-14.0,-14.0,9.0,2.0,302
-117.0,-129.0,-14.0,-14.0,9.0,2.0,302
-116.0,-129.0,-14.0,-14.0,9.0,2.0,302
-117.0,-129.0,-14.0,-14.0,9.0,2.0,302
-118.0,-129.0,-14.0,-14.0,9.0,2.0,302
-116.0,-129.0,-14.0,-14.0,9.0,2.0,302
-117.0,-129.0,-14.0,-14.0,9.0,2.0,302
-117.0,-129.0,-14.0,-14.0,9.0,2.0,302
-117.0,-129.0,-14.0,-14.0,9.0,2.0,302
-115.0,-129.0,-14.0,-14.0,9.0,2.0,302
-119.0,-129.0,-14.0,-14.0,9.0,2.0,302
-113.0,-129.0,-14.0,-14.0,9.0,2.0,302
-117.0,-129.0,-14.0,-14.0,9.0,2.0,302
-116.0,-129.0,-14.0,-14.0,9.0,2.0,302
-117.0,-129.0,-14.0,-14.0,9.0,2.0,302
-116.0,-129.0,-14.0,-14.0,9.0,2.0,302
-117.0,-129.0,-14.0,-14.0,9.0,2.0,302
-116.0,-129.0,-14.0,-14.0,9.0,2.0,302
-115.0,-129.0,-14.0,-14.0,9.0,2.0,302
-116.0,-129.0,-14.0,-14.0,9.0,2.0,302
-115.0,-129.0,-14.0,-14.0,9.0,2.0,302
-115.0,-129.0,-14.0,-14.0,9.0,2.0,302
-113.0,-129.0,-14.0,-14.0,9.0,2.0,302
-115.0,-129.0,-14.0,-14.0,9.0,2.0,302
-117.0,-129.0,-14.0,-14.0,9.0,2.0,302
-118.0,-129.0,-14.0,-14.0,9.0,2.0,302
-114.0,-129.0,-14.0,-14.0,9.0,2.0,302
-117.0,-129.0,-14.0,-14.0,9.0,2.0,302
-117.0,-129.0,-14.0,-14.0,9.0,2.0,302
-117.0,-129.0,-14.0,-14.0,9.0,2.0,302
-113.0,-121.0,-8.0,-8.0,9.0,2.0,302
-116.0,-121.0,-8.0,-8.0,9.0,2.0,302
-116.0,-121.0,-8.0,-8.0,9.0,2.0,302
-115.0,-121.0,-8.0,-8.0,9.0,2.0,302
-114.0,-121.0,-8.0,-8.0,9.0,2.0,302
-114.0,-121.0,-8.0,-8.0,9.0,2.0,302
-115.0,-121.0,-8.0,-8.0,9.0,2.0,302
-114.0,-121.0,-8.0,-8.0,9.0,2.0,302
-114.0,-121.0,-8.0,-8.0,9.0,2.0,302
-114.0,-121.0,-8.0,-8.0,9.0,2.0,302
-112.0,-121.0,-8.0,-8.0,9.0,2.0,302
-118.0,-121.0,-8.0,-8.0,9.0,2.0,302
-116.0,-121.0,-8.0,-8.0,9.0,2.0,302
-117.0,-121.0,-8.0,-8.0,9.0,2.0,302
-117.0,-121.0,-8.0,-8.0,9.0,2.0,302
-113.0,-121.0,-8.0,-8.0,9.0,2.0,302
-115.0,-121.0,-8.0,-8.0,9.0,2.0,302
-116.0,-121.0,-8.0,-8.0,9.0,2.0,302
-116.0,-121.0,-8.0,-8.0,9.0,2.0,302
-117.0,-121.0,-8.0,-8.0,9.0,2.0,302
-116.0,-121.0,-8.0,-8.0,9.0,2.0,302
-116.0,-121.0,-8.0,-8.0,9.0,2.0,302
-116.0,-121.0,-8.0,-8.0,9.0,2.0,302
-117.0,-121.0,-8.0,-8.0,9.0,2.0,302
-116.0,-121.0,-8.0,-8.0,9.0,2.0,302
-115.0,-121.0,-8.0,-8.0,9.0,2.0,302
-116.0,-121.0,-8.0,-8.0,9.0,2.0,302
-117.0,-121.0,-8.0,-8.0,9.0,2.0,302
-117.0,-121.0,-8.0,-8.0,9.0,2.0,302
-113.0,-121.0,-8.0,-8.0,9.0,2.0,302
-114.0,-121.0,-8.0,-8.0,9.0,2.0,302
-117.0,-121.0,-8.0,-8.0,9.0,2.0,302
-115.0,-121.0,-8.0,-8.0,9.0,2.0,302
-114.0,-124.0,-9.0,-9.0,9.0,2.0,302
-115.0,-124.0,-9.0,-9.0,9.0,2.0,302
-116.0,-124.0,-9.0,-9.0,9.0,2.0,302
-116.0,-124.0,-9.0,-9.0,9.0,2.0,302
-115.0,-124.0,-9.0,-9.0,9.0,2.0,302
-117.0,-124.0,-9.0,-9.0,9.0,2.0,302
-114.0,-124.0,-9.0,-9.0,9.0,2.0,302
-115.0,-124.0,-9.0,-9.0,9.0,2.0,302
-116.0,-124.0,-9.0,-9.0,9.0,2.0,302
-115.0,-124.0,-9.0,-9.0,9.0,2.0,302
-117.0,-124.0,-9.0,-9.0,9.0,2.0,302
-113.0,-124.0,-9.0,-9.0,9.0,2.0,302
-117.0,-124.0,-9.0,-9.0,9.0,2.0,302
-116.0,-124.0,-9.0,-9.0,9.0,2.0,302
-118.0,-124.0,-9.0,-9.0,9.0,2.0,302
-117.0,-124.0,-9.0,-9.0,9.0,2.0,302
-117.0,-124.0,-9.0,-9.0,9.0,2.0,302
-116.0,-124.0,-9.0,-9.0,9.0,2.0,302
-116.0,-124.0,-9.0,-9.0,9.0,2.0,302
-117.0,-124.0,-9.0,-9.0,9.0,2.0,302
-116.0,-124.0,-9.0,-9.0,9.0,2.0,302
-113.0,-124.0,-9.0,-9.0,9.0,2.0,302
-114.0,-124.0,-9.0,-9.0,9.0,2.0,302
-101.0,-124.0,-9.0,-9.0,9.0,2.0,302
-116.0,-124.0,-9.0,-9.0,9.0,2.0,302
-115.0,-124.0,-9.0,-9.0,9.0,2.0,302
-116.0,-124.0,-9.0,-9.0,9.0,2.0,302
-113.0,-124.0,-9.0,-9.0,9.0,2.0,302
-116.0,-124.0,-9.0,-9.0,9.0,2.0,302
-115.0,-124.0,-9.0,-9.0,9.0,2.0,302
-117.0,-124.0,-9.0,-9.0,9.0,2.0,302
-116.0,-124.0,-9.0,-9.0,9.0,2.0,302
-116.0,-124.0,-9.0,-9.0,9.0,2.0,302
-115.0,-125.0,-10.0,-10.0,9.0,2.0,302
-116.0,-125.0,-10.0,-10.0,9.0,2.0,302
-117.0,-125.0,-10.0,-10.0,9.0,2.0,302
-117.0,-125.0,-10.0,-10.0,9.0,2.0,302
-116.0,-125.0,-10.0,-10.0,9.0,2.0,302
-115.0,-125.0,-10.0,-10.0,9.0,2.0,302
-116.0,-125.0,-10.0,-10.0,9.0,2.0,302
-117.0,-125.0,-10.0,-10.0,9.0,2.0,302
-113.0,-125.0,-10.0,-10.0,9.0,2.0,302
-117.0,-125.0,-10.0,-10.0,9.0,2.0,302
-116.0,-125.0,-10.0,-10.0,9.0,2.0,302
-116.0,-125.0,-10.0,-10.0,9.0,2.0,302
-112.0,-125.0,-10.0,-10.0,9.0,2.0,302
-117.0,-125.0,-10.0,-10.0,9.0,2.0,302
-114.0,-125.0,-10.0,-10.0,9.0,2.0,302
-114.0,-125.0,-10.0,-10.0,9.0,2.0,302
-116.0,-125.0,-10.0,-10.0,9.0,2.0,302
-115.0,-125.0,-10.0,-10.0,9.0,2.0,302
-115.0,-125.0,-10.0,-10.0,9.0,2.0,302
-116.0,-125.0,-10.0,-10.0,9.0,2.0,302
-114.0,-125.0,-10.0,-10.0,9.0,2.0,302
-113.0,-125.0,-10.0,-10.0,9.0,2.0,302
-115.0,-125.0,-10.0,-10.0,9.0,2.0,302
-116.0,-125.0,-10.0,-10.0,9.0,2.0,302
-117.0,-125.0,-10.0,-10.0,9.0,2.0,302
-115.0,-125.0,-10.0,-10.0,9.0,2.0,302
-116.0,-125.0,-10.0,-10.0,9.0,2.0,302
-116.0,-125.0,-10.0,-10.0,9.0,2.0,302
-115.0,-125.0,-10.0,-10.0,9.0,2.0,302
-113.0,-125.0,-10.0,-10.0,9.0,2.0,302
-116.0,-125.0,-10.0,-10.0,9.0,2.0,302
-114.0,-125.0,-10.0,-10.0,9.0,2.0,302
-117.0,-125.0,-10.0,-10.0,9.0,2.0,302
-116.0,-125.0,-10.0,-10.0,9.0,2.0,302
-113.0,-125.0,-10.0,-10.0,9.0,2.0,302
-114.0,-125.0,-10.0,-10.0,9.0,2.0,302
-117.0,-125.0,-10.0,-10.0,9.0,2.0,302
-117.0,-125.0,-10.0,-10.0,9.0,2.0,302
-116.0,-125.0,-10.0,-10.0,9.0,2.0,302
-115.0,-125.0,-10.0,-10.0,9.0,2.0,302
-111.0,-125.0,-10.0,-10.0,9.0,2.0,302
-116.0,-125.0,-10.0,-10.0,9.0,2.0,302
-115.0,-125.0,-10.0,-10.0,9.0,2.0,302
-113.0,-125.0,-10.0,-10.0,9.0,2.0,302
-116.0,-125.0,-10.0,-10.0,9.0,2.0,302
-115.0,-125.0,-10.0,-10.0,9.0,2.0,302
-117.0,-125.0,-10.0,-10.0,9.0,2.0,302
-114.0,-125.0,-10.0,-10.0,9.0,2.0,302
