hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,rssi_19,rssi_20,rssi_21,rssi_22,rssi_23,rssi_24,rssi_25,rssi_26,rssi_27,rssi_28,rssi_29,rssi_30,rssi_31,rssi_32,location_id,realtime_average_rssi,median_rssi,mode_rssi,rssi_variance,rssi_skewness,rssi_kurtosis
HDOK,PLOK,17472,1,1,-91,10,11,2,33,-92.0,-92.99009910792962,-94.98608674168915,-94.9907168502775,-94.99303998975435,-96.60084838152319,-96.49995648678062,-95.99419059583023,-96.37599932227188,-95.76585714180406,-95.27625301195661,-94.96834213297028,-94.88434474233509,-94.81300852479009,-94.75162648163946,-94.76927677949544,-94.85200532316544,-94.92531944454862,-94.92986837602805,-94.81735269202323,-94.60364821571947,-94.40937398318579,-94.12780404710985,-94.27250378227068,-94.01484372532536,-93.7291393715798,-93.46412973635759,-93.26269014291853,-93.1629271907135,-92.98331773264394,-92.81490862403571,-92.78110355352571,-92.62701606825648,54,-94.43750297880167,-94.76927677949544,-96.60084838152319,1.324717616112837,0.13126711427315066,-0.48902615943288597
HDOK,PLOK,17472,2,2,-95,9,11,2,33,-100.0,-93.06930624449262,-93.5325728629977,-93.02255726372555,-92.76665886525898,-93.8175208381749,-94.01607769011765,-93.72474168836483,-93.88672958792164,-93.67259762180353,-93.5007689918547,-93.45370540430869,-93.58783641727304,-93.45975260711846,-93.34954146567621,-93.2536382913144,-93.2365888637016,-93.22147964323104,-93.2079889063845,-93.19586268349907,-93.1289154483006,-93.12196556077521,-93.11561698231536,-93.46244861070835,-93.34211211111332,-93.27836194720712,-93.21922946476275,-93.38983312650265,-93.46082605558115,-93.44094371935104,-93.42230123494319,-93.36329953571511,-93.3077423698895,54,-93.57665218498136,-93.36329953571511,-100.0,1.3541352673551228,-5.315323738127953,29.62592238976073
HDOK,PLOK,17472,3,3,-91,10,11,2,33,-90.0,-90.0,-90.49776482947661,-89.99933278391623,-90.2497531242509,-92.00681452319336,-91.83775452732252,-91.42768101577154,-91.37335543420656,-91.10399448885585,-90.99057936855536,-91.08544737562342,-91.07803537077037,-91.07174059915134,-91.14182406920177,-91.27387260184688,-91.38990194415467,-91.6204528102974,-92.43542590502013,-92.46834184957734,-92.44212295974194,-92.47219835205452,-92.34351493432102,-92.57810622503922,-92.40324906195855,-92.19409526094944,-92.00009131321778,-91.95496314727409,-91.82467758954904,-91.70280689908587,-91.58853599950761,-91.43967180920089,-91.29949834615542,54,-91.49380619755294,-91.43967180920089,-90.0,0.5557113041632654,0.49070012197377494,-0.4364374737531329
HDOK,PLOK,17472,4,4,-92,9,11,2,33,-100.0,-91.08910802863338,-92.53804767438552,-91.69342622969864,-91.26964061350506,-92.21950317157417,-92.5184765966962,-92.29904710615365,-92.89617905835652,-92.68097463665393,-92.50828542256576,-92.36653278974723,-92.59496896581862,-92.4663098042085,-92.3556035951963,-92.25926962453875,-92.24184166177783,-92.22639698306557,-92.15169486269659,-92.14285070967127,-92.07887121075989,-92.07461922970565,-92.07073513298695,-92.47020736437224,-92.39836033896103,-92.33193839099518,-92.22407120497002,-92.2139602057168,-92.29270744523211,-92.23693359355424,-92.26919497513204,-92.29951115373913,-92.24655349126722,54,-92.47654003855564,-92.26919497513204,-100.0,1.8849828408194023,-5.162636429600806,28.726306277436947
HDOK,PLOK,17472,5,5,-92,9,11,2,33,-88.0,-87.00990089207038,-88.49826706464714,-88.33245179954025,-88.49950798451567,-89.80481556688756,-90.50925302443426,-90.43566273535639,-91.65055927044811,-91.57672487650571,-91.41474540708371,-91.37576654239145,-91.51665824541277,-91.39431606667092,-91.28904537594586,-91.26850479250116,-91.38489495602569,-91.48804003990972,-91.58013633213103,-91.60461533202857,-91.45880277541912,-91.32624765528764,-91.2051612956401,-91.49710224938207,-91.32620363993028,-91.21570924672959,-91.15947485564281,-91.24252679604099,-91.3641049397891,-91.43468561818257,-91.45858632044016,-91.39807939739003,-91.30035289543396,54,-90.78851224211559,-91.32624765528764,-91.65055927044811,1.49754574808838,1.8905860790135056,2.403645154845711
HDOK,PLOK,17472,6,6,-99,9,11,2,33,-103.0,-94.08910802863338,-94.5425180154323,-94.02919282938535,-94.27214059279474,-96.02470655779608,-96.3563893985675,-96.44939520892203,-96.90040580576775,-96.79821539823531,-96.71621345317998,-96.7428844595879,-96.59170055278531,-96.38263941905053,-96.27825031377782,-96.18741334000698,-96.10759606288367,-96.1645874513359,-96.45912141972602,-96.37405134622989,-96.24114630952096,-96.1742355756451,-96.11311400464628,-96.56083068937949,-96.53342365975381,-96.55558597981572,-96.62239944127516,-96.81993448816375,-96.9601449030361,-97.04815443376327,-97.08839713447202,-97.08473013270572,-97.08127721138517,54,-96.46514859447456,-96.45912141972602,-103.0,1.9989616427519503,-2.635877091244791,13.804891058196228
HDOK,PLOK,17472,7,7,-92,10,11,2,33,-93.0,-93.0,-93.99552965895323,-93.99701731655371,-95.74953731397069,-97.60704272367813,-97.50511070144931,-97.14310633064261,-96.8708812528993,-96.54505424986166,-96.28359675452717,-96.1629609539623,-95.97533813967729,-95.65466502118493,-95.4542381401471,-95.27983132548727,-95.05936285254373,-94.92784623387811,-95.41953612760764,-95.10356493394437,-94.8178552394302,-94.66594344580858,-94.42307072119128,-94.55289507520048,-94.33040131269493,-94.12470777101683,-93.93391344207839,-93.84664744388263,-93.7211375707003,-93.56058912201094,-93.36777378557116,-93.18658426758354,-93.01597263726781,54,-94.917627632285,-94.8178552394302,-93.0,1.7188068844940068,-0.39193443564646707,-0.7122231706987177
HDOK,PLOK,17472,8,8,-94,8,11,2,33,-103.0,-93.09900892070375,-94.04525542112621,-93.69741122861231,-96.52592212744118,-97.42432301113769,-97.0172410424027,-96.4367242552234,-96.25422637050266,-95.8848921026934,-95.58852252097566,-95.53321162585384,-95.40021547554876,-95.28726622511294,-95.26557766061707,-95.2467047757591,-95.16290196066092,-95.28022413241548,-95.38497887793584,-95.30423148204146,-95.17523512726888,-95.16578812583444,-95.05305404125446,-95.25189912156657,-95.14185188786917,-95.04011418072545,-94.94574574599551,-94.85794582637917,-94.7760282199156,-94.65625650608955,-94.5862322949825,-94.52043020012728,-94.45846964740808,54,-95.46872394370244,-95.2467047757591,-103.0,2.4863600637298844,-3.363602512193889,15.55800150002201
HDOK,PLOK,17472,9,9,-93,9,11,2,33,-90.0,-89.00990089207038,-90.99603189412375,-90.33178458345648,-90.24875437424055,-91.60441362045873,-91.67083879624948,-91.28488566555428,-92.26488724991957,-92.00783676268183,-91.80156847938696,-91.72623496449813,-91.66323879823739,-91.52907260822076,-91.4136278152618,-91.38423396446369,-91.35840596692611,-91.3993799398623,-91.49687668361531,-91.46790765100279,-91.44171306863554,-91.47181055835479,-91.4472517703751,-91.87813476861852,-91.83522152211717,-91.79554860024122,-91.75874934808874,-91.76963555348777,-91.86797325225469,-91.83052455370331,-91.79541113590584,-91.88686468026421,-91.9322271570529,54,-91.43548323270696,-91.60441362045873,-92.26488724991957,0.41837293438103196,2.2066972216404253,5.4587738868447335
HDOK,PLOK,17472,10,10,-94,9,11,2,33,-101.0,-93.079207136563,-94.03531026869162,-93.3579917467121,-93.26840310664504,-94.62011686084038,-94.51598948532279,-94.15241306130943,-94.26007660416784,-94.00357209502877,-93.79774192786563,-93.72276804235773,-93.66007260907494,-93.52616182167233,-93.41093679273807,-93.31067064998591,-93.22256808370794,-93.20835426910213,-93.50022231925037,-93.4127559705053,-93.27768415694115,-93.26271408404635,-93.1449347879608,-93.43990992177051,-93.36954349098917,-93.25699046007423,-93.1525900990896,-93.19082866203398,-93.22650536384303,-93.17358780040097,-93.16624875072104,-93.15935220971686,-93.07135431516156,54,-93.72598718043302,-93.3579917467121,-101.0,1.8225523002763675,-4.953682673306512,26.60353428627247
