hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,rssi_19,rssi_20,rssi_21,rssi_22,rssi_23,rssi_24,rssi_25,rssi_26,rssi_27,rssi_28,rssi_29,rssi_30,rssi_31,rssi_32,location_id,realtime_average_rssi,median_rssi,mode_rssi,rssi_variance,rssi_skewness,rssi_kurtosis
HDOK,PLOK,17472,1,1,-129,-12,9,2,33,-118.0,-118.0,-117.00447034104677,-117.3357665996867,-117.25173987750065,-117.60279287293869,-117.6694901977328,-117.86175729536774,-118.0063409794943,-118.11911504159308,-118.00414656271606,-117.90977422650495,-118.17783124128233,-118.08282075313544,-118.07656779650864,-118.07112661894884,-118.06634552641417,-118.06210851724077,-117.99741351277207,-118.05586656883831,-118.22068615556121,-118.20878886955104,-118.24997316705304,-118.18700017036431,-118.17786172750404,-118.16941331683317,-118.11532041100244,-118.11011668752677,-118.06117117972653,-118.10167694115458,-118.05509957924502,-118.0528138687905,-118.09141358629992,62,-117.97444879364649,-118.06210851724077,-118.0,0.0801123143082131,2.1440580992534235,4.286138371136412
HDOK,PLOK,17472,2,2,-128,-11,9,2,33,-115.0,-117.97029732378887,-117.48731744187148,-117.32514603511324,-117.49403051223695,-117.3948285176787,-117.6643620592813,-117.71286386859393,-117.6223133348786,-117.66517840080897,-118.00776995961729,-117.81907445569499,-117.66128156158554,-117.60793887396895,-117.48653968769224,-117.52302798769009,-117.48787033160677,-117.52057635144307,-117.54977893722628,-117.51772558377387,-117.54472445180345,-117.51535812121801,-117.4885325858236,-117.46392056876573,-117.49011803821914,-117.514337370097,-117.58305884571111,-117.64699696285909,-117.618470596894,-117.6349316797307,-117.69264486116283,-117.66391169074424,-117.71835994500559,62,-117.51797839219957,-117.54977893722628,-118.00776995961729,0.2180203633944458,4.897917888074889,26.764133764797
HDOK,PLOK,17472,3,3,-128,-11,9,2,33,-117.0,-117.99009910792962,-118.49279225325931,-118.32879891732674,-118.4967692483763,-118.39701731189977,-118.16243612982447,-118.13896307973556,-118.24833508765109,-118.33364433735684,-118.40210012079098,-118.3643096933785,-118.33270819367608,-118.54786694279635,-118.43100317989953,-118.40037457443339,-118.44068106851601,-118.47640072546407,-118.50829413075746,-118.53696169321624,-118.5069013014469,-118.42566360111711,-118.40350686480548,-118.38317839925836,-118.51105889598365,-118.48678365987267,-118.46426677700978,-118.3530690907859,-118.38159254441823,-118.40827372880477,-118.3910124859537,-118.41627527646153,-118.39931123154139,62,-118.35031665617419,-118.40210012079098,-118.54786694279635,0.07053150549767687,4.21388071017353,20.579141490562044
HDOK,PLOK,17472,4,4,-128,-11,9,2,33,-116.0,-117.98019821585925,-118.48781967704201,-118.65826505073724,-118.7437853725017,-118.393630912911,-118.15961836049476,-118.1365524959297,-118.11920710653442,-118.1056778481495,-118.09482139371792,-118.1798924609654,-118.07754445339992,-118.23262052331664,-118.29055757897402,-118.26990953305085,-118.18454690682294,-118.2366240011352,-118.22221079329216,-118.2092554022867,-118.19754078753473,-118.18689127831655,-118.17716317198627,-118.31937622016106,-118.35263737446527,-118.28838726181537,-118.228791043931,-118.26359111197155,-118.38424052124402,-118.41080745869306,-118.35116049039092,-118.37807647179677,-118.36266910409209,62,-118.20254758737939,-118.23262052331664,-118.7437853725017,0.17540407928784588,4.48972208574281,23.982526818069882
HDOK,PLOK,17472,5,5,-129,-12,9,2,33,-117.0,-116.00990089207038,-117.00050223517053,-117.66590293186442,-117.99976521542106,-117.99981236048184,-117.99984386810856,-117.71085375650692,-117.74758215280188,-117.88972371762324,-117.90105257656076,-117.9103519157795,-117.91812830481967,-117.9247325359284,-118.15691484942641,-118.14576392702259,-118.06874630072531,-118.12821874264937,-118.12040870064892,-118.28829537557732,-118.32813829194264,-118.25653778270308,-118.29523664317193,-118.28036277496187,-118.21779319528387,-118.15994816493182,-118.15254953101949,-118.14566587903742,-118.13924340967112,-118.09009076249612,-118.12856045381565,-118.24767714182327,-118.27833579363907,62,-117.94868606617224,-118.12040870064892,-118.32813829194264,0.21145915503095564,2.8370702275181983,9.276494005217355
HDOK,PLOK,17472,6,6,-129,-12,9,2,33,-117.0,-117.99009910792962,-117.9950274237827,-117.9966822171701,-117.74725913623212,-117.79800984326562,-117.83192716793347,-117.7117084203905,-117.87535185254353,-117.77600491145022,-117.90174788536574,-117.91098187763339,-117.83196011659277,-117.92618077877927,-117.8562542444382,-117.93753285010614,-118.00895131247324,-118.00837965685284,-118.00786923637439,-118.00741044212486,-118.0069955879625,-118.06052888491686,-118.1094304440698,-118.25505583177573,-118.2914602355907,-118.32511578920737,-118.35633353535029,-118.34025432468016,-118.23707153534802,-118.18369809452668,-118.21821019862757,-118.25064139223615,-118.19967526968085,62,-117.99860029107309,-118.0069955879625,-118.35633353535029,0.06400930730002113,1.6710293552609747,6.0177201067587465
HDOK,PLOK,17472,7,7,-128,-12,9,2,33,-117.0,-117.99009910792962,-116.99949776482947,-116.9996649006164,-117.25000212762852,-116.99900001097521,-117.33499938532782,-117.43109618814024,-117.50336039743198,-117.67321959862313,-117.70679027212569,-117.54638163121254,-117.67247358342678,-117.94089056718425,-117.79435356921573,-117.73790400409233,-117.75552195399523,-117.83499777070814,-117.78413650405749,-117.6218150592336,-117.58700437436579,-117.60926914700921,-117.62960755615627,-117.69864721324898,-117.71337391225221,-117.72698861695714,-117.87838649654113,-117.92899823532917,-117.79985748140216,-117.76534763720214,-117.9021042199402,-117.90616525653982,-117.95074119648274,62,-117.62644532546005,-117.70679027212569,-117.99009910792962,0.08225657503855222,1.1334516127240875,0.4416270240280893
HDOK,PLOK,17472,8,8,-128,-11,9,2,33,-117.0,-117.0,-117.49776482947661,-117.66490061639705,-117.74876036551144,-117.79920962367669,-117.8329254863407,-117.42354980181238,-117.49677258024994,-117.32689828692652,-117.29331550285282,-117.17176630874701,-117.15686669708855,-117.22487856829288,-117.35890001701851,-117.40445884200832,-117.44449079385205,-117.54382992238062,-117.57161608992473,-117.53828958116127,-117.56413722774317,-117.58763477814247,-117.60909930426311,-117.57841319876783,-117.59901556980418,-117.61806228202528,-117.4969600212232,-117.51965922012486,-117.58492806258305,-117.55969134632133,-117.5783069810398,-117.637283449483,-117.69281685750302,62,-117.48864249129524,-117.54382992238062,-117.0,0.04037715278359285,0.8573427230195989,0.5185209519828042
HDOK,PLFL,17472,9,8,-133,-15,9,2,33,-116.0,-117.98019821585925,-118.48781967704201,-117.99269721825644,-117.99452476397815,-118.19642555030943,-118.16344261059287,-117.99531778083038,-118.12293613149745,-118.10898365218456,-118.09778758721497,-118.0885972524565,-117.9074250062835,-117.91489262561208,-118.14781785112298,-118.06624986798829,-118.1290160426131,-118.18463949180081,-118.1733927570715,-118.22158582583035,-118.20918092466302,-118.19790389062226,-118.18760255335016,-118.07739227685828,-118.2202161236435,-118.25725576401148,-118.15284313100915,-118.19107027612968,-118.22673632507247,-118.21695378826476,-118.16550268231367,-118.20012035579599,-118.19196505353058,62,-118.07480281981243,-118.16344261059287,-118.48781967704201,0.14657238239543652,5.001936756510922,27.335528767379188
HDOK,PLOK,17472,10,9,-128,-11,9,2,33,-117.0,-118.98019821585925,-119.98558450651863,-119.32481391841308,-118.9932747743333,-118.79382385719848,-118.82844407477354,-118.85323499308858,-118.61783041569699,-118.6612042648173,-118.49054609266175,-118.53842591141783,-118.49172096068854,-118.53272160487866,-118.49250118954369,-118.67069289520627,-118.69282873919286,-118.71244554714038,-118.66904916427764,-118.68834434529403,-118.6498091928741,-118.776508994861,-118.68403775407118,-118.59919680971649,-118.56991488020282,-118.590343871681,-118.51678021369028,-118.4032129087591,-118.38543508342545,-118.41195048149937,-118.3945337906812,-118.3366839757055,-118.32296343448982,62,-118.62603202614115,-118.61783041569699,-119.98558450651863,0.17816539788031016,0.6044041100355355,8.661068224028662
