hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,rssi_19,rssi_20,rssi_21,rssi_22,rssi_23,rssi_24,rssi_25,rssi_26,rssi_27,rssi_28,rssi_29,rssi_30,rssi_31,rssi_32,rssi_33,rssi_34,rssi_35,rssi_36,rssi_37,rssi_38,rssi_39,rssi_40,rssi_41,rssi_42,rssi_43,rssi_44,rssi_45,rssi_46,rssi_47,rssi_48,rssi_49,rssi_50,rssi_51,rssi_52,rssi_53,rssi_54,rssi_55,rssi_56,rssi_57,location_id,rssi_variance
HDOK,PLOK,17472,1,1,-130,-15,12,2,58,-115,-118,-116,-116,-116,-117,-117,-116,-115,-116,-117,-116,-116,-117,-118,-117,-114,-117,-115,-117,-117,-116,-114,-116,-116,-117,-117,-117,-117,-115,-117,-117,-115,-117,-117,-116,-116,-117,-115,-116,-116,-116,-115,-116,-118,-116,-116,-117,-113,-116,-115,-117,-117,-115,-115,-115,-116,-115,370,0.7187928669410151
HDOK,PLOK,17472,2,2,-127,-12,12,2,58,-115,-117,-116,-114,-115,-117,-117,-116,-116,-115,-117,-116,-116,-116,-116,-116,-116,-116,-117,-116,-115,-116,-115,-117,-116,-115,-117,-116,-115,-118,-115,-114,-116,-117,-117,-117,-115,-115,-116,-117,-117,-116,-117,-116,-116,-118,-116,-115,-116,-117,-115,-116,-116,-116,-116,-117,-114,-116,370,0.5737311385459534
HDOK,PLOK,17472,3,3,-129,-14,12,2,58,-114,-117,-115,-115,-116,-116,-116,-117,-116,-116,-117,-116,-118,-115,-117,-116,-117,-116,-117,-118,-116,-115,-117,-116,-116,-117,-117,-116,-115,-114,-115,-116,-115,-117,-116,-116,-116,-116,-117,-116,-118,-116,-116,-116,-114,-117,-113,-115,-117,-116,-116,-117,-115,-117,-117,-118,-116,-115,370,0.7654320987654322
HDOK,PLFL,17472,4,3,-137,-22,12,2,58,-115,-117,-115,-116,-114,-118,-117,-115,-116,-117,-116,-118,-117,-118,-116,-116,-115,-115,-116,-116,-115,-117,-115,-116,-115,-117,-117,-116,-115,-116,-115,-115,-115,-116,-115,-117,-117,-116,-116,-115,-117,-115,-116,-116,-116,-117,-118,-117,-117,-115,-115,-116,-115,-115,-116,-116,-118,-115,370,0.8148148148148148
HDOK,PLOK,17472,5,4,-132,-17,12,2,58,-116,-117,-116,-116,-116,-114,-116,-118,-117,-116,-116,-114,-113,-116,-116,-116,-118,-115,-116,-116,-115,-116,-116,-117,-117,-117,-114,-113,-116,-116,-118,-115,-116,-117,-115,-116,-116,-116,-116,-115,-115,-116,-114,-118,-116,-113,-116,-117,-117,-117,-116,-117,-115,-116,-114,-119,-116,-116,370,1.0685871056241425
HDOK,PLOK,17472,6,5,-132,-17,12,2,58,-115,-115,-115,-116,-119,-116,-116,-115,-112,-116,-115,-115,-116,-117,-118,-117,-117,-116,-116,-116,-114,-113,-114,-117,-115,-116,-116,-115,-118,-116,-115,-114,-114,-116,-116,-117,-115,-116,-115,-117,-116,-113,-117,-117,-116,-116,-117,-115,-116,-116,-117,-117,-116,-117,-118,-116,-115,-117,370,1.0757887517146774
HDOK,PLOK,17472,7,6,-133,-18,12,2,58,-115,-117,-116,-116,-116,-115,-116,-115,-115,-117,-117,-117,-117,-116,-118,-116,-116,-116,-116,-116,-117,-116,-115,-117,-118,-117,-116,-117,-117,-116,-118,-116,-117,-117,-115,-114,-117,-117,-117,-116,-118,-116,-116,-115,-116,-117,-114,-116,-117,-116,-117,-117,-116,-116,-116,-109,-117,-114,370,0.7383401920438959
HDOK,PLFL,17472,8,6,-135,-20,12,2,58,-114,-116,-115,-116,-115,-117,-114,-115,-117,-116,-118,-117,-118,-116,-115,-117,-117,-115,-117,-118,-116,-117,-115,-115,-118,-117,-116,-118,-115,-116,-116,-114,-117,-116,-118,-116,-116,-116,-116,-116,-101,-116,-116,-109,-116,-117,-115,-116,-117,-116,-117,-115,-118,-115,-115,-116,-116,-101,370,1.9413580246913582
HDOK,PLOK,17472,9,7,-136,-20,12,2,58,-115,-116,-117,-117,-113,-116,-117,-115,-116,-118,-116,-115,-116,-114,-116,-117,-115,-117,-114,-115,-115,-116,-115,-115,-116,-115,-116,-117,-117,-116,-117,-117,-114,-116,-116,-116,-115,-115,-114,-116,-118,-115,-116,-116,-116,-116,-115,-115,-118,-118,-117,-115,-116,-114,-118,-115,-124,-115,370,1.0757887517146774
HDOK,PLOK,17472,10,8,-130,-14,12,2,58,-115,-117,-114,-116,-116,-115,-117,-116,-116,-117,-117,-117,-117,-116,-118,-117,-116,-115,-117,-117,-115,-117,-117,-118,-117,-117,-116,-124,-118,-117,-116,-116,-116,-117,-118,-115,-117,-117,-116,-116,-116,-114,-118,-114,-117,-118,-116,-116,-116,-115,-117,-116,-116,-117,-115,-117,-116,-114,370,0.8998628257887515
