hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,rssi_19,rssi_20,rssi_21,rssi_22,rssi_23,rssi_24,rssi_25,rssi_26,rssi_27,rssi_28,rssi_29,rssi_30,rssi_31,rssi_32,rssi_33,rssi_34,rssi_35,rssi_36,rssi_37,rssi_38,rssi_39,rssi_40,rssi_41,rssi_42,rssi_43,rssi_44,rssi_45,rssi_46,rssi_47,rssi_48,rssi_49,rssi_50,rssi_51,rssi_52,rssi_53,rssi_54,rssi_55,rssi_56,rssi_57,location_id,realtime_average_rssi,median_rssi,mode_rssi,rssi_variance
HDOK,PLOK,17472,1,1,-92,8,12,2,58,-93,-109,-100,-100,-97,-89,-99,-97,-89,-89,-90,-89,-89,-93,-89,-91,-89,-89,-95,-89,-89,-94,-90,-89,-88,-89,-89,-88,-93,-88,-88,-88,-88,-89,-93,-95,-88,-88,-87,-91,-88,-88,-88,-87,-95,-87,-88,-89,-89,-89,-87,-97,-87,-88,-87,-87,-87,-117,306-304,-91.06896551724138,-89.0,-89.0,9.214399999999998
HDOK,PLOK,17472,2,2,-89,7,12,2,58,-86,-87,-86,-95,-93,-86,-94,-93,-86,-86,-87,-86,-86,-88,-86,-87,-86,-86,-92,-86,-86,-89,-87,-86,-86,-87,-86,-86,-92,-86,-86,-86,-87,-87,-91,-95,-86,-86,-86,-88,-88,-87,-86,-86,-95,-86,-86,-87,-87,-87,-86,-94,-86,-86,-91,-90,-86,-114,306-304,-88.25862068965517,-86.0,-86.0,5.6096
HDOK,PLOK,17472,3,3,-88,7,12,2,58,-85,-87,-85,-94,-93,-85,-94,-93,-85,-85,-86,-85,-85,-88,-85,-87,-85,-86,-91,-85,-85,-91,-87,-86,-85,-87,-85,-85,-90,-85,-85,-85,-86,-86,-91,-94,-85,-85,-85,-87,-86,-86,-85,-85,-94,-85,-86,-86,-87,-86,-85,-94,-85,-93,-85,-85,-91,-115,306-304,-87.63793103448276,-86.0,-85.0,7.633599999999999
HDOK,PLOK,17472,4,4,-89,7,12,2,58,-86,-95,-85,-94,-93,-85,-95,-94,-85,-85,-86,-85,-85,-89,-85,-87,-85,-86,-90,-85,-85,-91,-87,-86,-85,-87,-86,-85,-90,-85,-85,-85,-86,-86,-91,-94,-85,-85,-86,-87,-86,-87,-85,-85,-94,-85,-85,-86,-87,-85,-85,-94,-85,-86,-85,-85,-85,-116,306-304,-87.63793103448276,-86.0,-85.0,7.7604
HDOK,PLOK,17472,5,5,-88,7,12,2,58,-85,-95,-85,-94,-91,-85,-94,-92,-85,-85,-86,-85,-85,-88,-86,-86,-85,-85,-92,-85,-85,-89,-87,-85,-85,-86,-85,-85,-91,-85,-85,-85,-87,-87,-89,-93,-85,-85,-85,-87,-89,-87,-85,-85,-94,-85,-85,-86,-86,-85,-85,-93,-85,-85,-90,-85,-94,-116,306-304,-87.67241379310344,-85.0,-85.0,7.673599999999999
HDOK,PLOK,17472,6,6,-88,7,12,2,58,-86,-86,-85,-94,-93,-86,-94,-93,-85,-85,-86,-85,-85,-88,-86,-86,-85,-85,-92,-85,-85,-89,-87,-85,-85,-86,-85,-85,-91,-85,-85,-85,-86,-87,-91,-94,-85,-85,-86,-87,-87,-87,-85,-85,-93,-85,-85,-86,-86,-85,-85,-93,-85,-93,-85,-88,-88,-116,306-304,-87.60344827586206,-86.0,-85.0,6.8404
HDOK,PLOK,17472,7,7,-89,8,12,2,58,-85,-87,-84,-94,-93,-85,-94,-93,-84,-85,-85,-85,-85,-88,-84,-86,-84,-85,-90,-85,-84,-89,-86,-85,-85,-86,-85,-85,-90,-85,-85,-85,-86,-86,-91,-94,-85,-85,-84,-87,-87,-87,-85,-85,-94,-85,-85,-86,-86,-85,-85,-94,-85,-85,-89,-87,-86,-114,306-304,-87.22413793103448,-85.0,-85.0,6.568400000000001
HDOK,PLOK,17472,8,8,-89,7,12,2,58,-85,-93,-85,-94,-91,-85,-93,-93,-85,-85,-86,-85,-85,-87,-85,-86,-84,-85,-92,-85,-85,-92,-86,-85,-85,-86,-85,-85,-91,-85,-85,-85,-88,-87,-89,-94,-85,-85,-85,-87,-93,-87,-85,-69,-94,-85,-85,-85,-86,-85,-85,-93,-85,-85,-85,-87,-85,-118,306-304,-87.25862068965517,-85.0,-85.0,7.702400000000003
HDOK,PLOK,17472,9,9,-87,7,12,2,58,-85,-95,-85,-94,-93,-85,-93,-94,-85,-85,-86,-85,-85,-88,-85,-87,-85,-85,-90,-85,-85,-91,-87,-86,-85,-86,-85,-85,-90,-85,-85,-85,-86,-86,-91,-94,-85,-85,-85,-87,-86,-86,-85,-85,-94,-84,-86,-86,-86,-85,-85,-94,-85,-85,-89,-88,-95,-115,306-304,-87.72413793103448,-86.0,-85.0,8.6
HDOK,PLOK,17472,10,10,-87,7,12,2,58,-85,-86,-84,-93,-93,-84,-93,-93,-84,-84,-85,-84,-84,-87,-85,-85,-84,-84,-90,-84,-84,-88,-86,-85,-84,-85,-84,-84,-89,-83,-84,-84,-86,-86,-89,-94,-84,-85,-85,-87,-87,-86,-84,-85,-94,-85,-84,-86,-86,-85,-85,-93,-83,-91,-84,-84,-93,-116,306-304,-86.86206896551724,-85.0,-84.0,7.8804
