hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,rssi_19,rssi_20,rssi_21,rssi_22,rssi_23,rssi_24,rssi_25,rssi_26,rssi_27,rssi_28,rssi_29,rssi_30,rssi_31,rssi_32,rssi_33,rssi_34,rssi_35,rssi_36,rssi_37,rssi_38,rssi_39,rssi_40,rssi_41,rssi_42,rssi_43,rssi_44,rssi_45,rssi_46,rssi_47,rssi_48,rssi_49,rssi_50,rssi_51,rssi_52,rssi_53,rssi_54,rssi_55,rssi_56,rssi_57,location_id,rssi_variance
HDOK,PLFL,17472,1,1,-134,-18,12,2,58,-115,-115,-116,-115,-116,-116,-116,-116,-117,-114,-118,-116,-116,-116,-116,-116,-116,-116,-117,-116,-115,-117,-114,-117,-116,-116,-116,-115,-117,-116,-116,-115,-119,-118,-119,-117,-119,-116,-117,-116,-117,-117,-118,-114,-118,-114,-117,-115,-116,-117,-117,-116,-118,-115,-118,-116,-117,-117,point1,1.0675582990397805
HDOK,PLFL,17472,2,1,-138,-23,12,2,58,-115,-119,-116,-116,-116,-115,-116,-115,-115,-116,-117,-117,-117,-116,-116,-116,-114,-117,-118,-117,-117,-116,-116,-118,-117,-117,-116,-117,-118,-115,-117,-117,-116,-117,-116,-115,-117,-117,-115,-115,-117,-118,-117,-116,-115,-116,-115,-117,-115,-116,-117,-117,-118,-101,-116,-117,-114,-117,point1,0.8751714677640604
HDOK,PLFL,17472,3,1,-139,-24,12,2,58,-116,-117,-114,-117,-115,-117,-115,-117,-116,-116,-117,-117,-116,-117,-116,-115,-115,-117,-117,-116,-117,-117,-116,-117,-117,-118,-117,-115,-116,-119,-117,-118,-118,-117,-116,-116,-117,-117,-116,-116,-116,-116,-117,-116,-116,-116,-118,-116,-117,-118,-115,-117,-117,-115,-116,-117,-117,-117,point1,0.6203703703703703
HDOK,PLOK,17472,4,2,-135,-19,12,2,58,-115,-116,-118,-117,-118,-117,-118,-117,-117,-116,-118,-118,-116,-117,-116,-116,-116,-117,-116,-117,-116,-117,-118,-115,-118,-118,-117,-117,-117,-117,-118,-117,-116,-116,-116,-116,-116,-117,-117,-115,-115,-116,-117,-116,-118,-116,-116,-115,-116,-116,-117,-116,-116,-117,-118,-116,-114,-117,point1,0.7191358024691359
HDOK,PLFL,17472,5,2,-139,-24,12,2,58,-116,-116,-116,-117,-115,-117,-117,-116,-117,-117,-116,-117,-116,-116,-115,-116,-116,-115,-116,-117,-116,-117,-119,-116,-117,-118,-116,-117,-118,-117,-118,-114,-118,-117,-116,-116,-118,-115,-117,-114,-118,-116,-117,-113,-116,-117,-116,-117,-116,-118,-117,-116,-117,-117,-115,-117,-117,-115,point1,0.8041838134430725
HDOK,PLOK,17472,6,3,-132,-17,12,2,58,-116,-117,-116,-116,-116,-117,-116,-116,-116,-116,-115,-117,-116,-115,-116,-117,-114,-115,-118,-116,-116,-116,-116,-114,-115,-115,-115,-114,-117,-118,-116,-115,-116,-116,-115,-117,-117,-117,-116,-115,-117,-117,-116,-117,-116,-117,-116,-117,-115,-117,-118,-116,-120,-118,-116,-117,-116,-116,point1,0.7314814814814815
HDOK,PLFL,17472,7,3,-135,-20,12,2,58,-116,-116,-116,-116,-117,-117,-117,-115,-118,-118,-116,-118,-115,-116,-115,-118,-116,-114,-116,-116,-117,-117,-116,-115,-116,-115,-118,-116,-115,-118,-115,-117,-116,-116,-116,-116,-115,-116,-116,-117,-114,-116,-117,-117,-115,-118,-116,-117,-116,-117,-116,-119,-115,-116,-117,-118,-118,-118,point1,0.9368998628257885
HDOK,PLOK,17472,8,4,-133,-17,12,2,58,-114,-115,-116,-116,-117,-116,-115,-117,-117,-119,-117,-116,-117,-116,-118,-116,-117,-117,-114,-117,-117,-116,-116,-116,-114,-114,-118,-117,-116,-116,-116,-116,-115,-116,-117,-116,-116,-117,-116,-117,-117,-117,-115,-115,-116,-117,-116,-116,-117,-118,-117,-116,-116,-116,-116,-117,-117,-115,point1,0.7105624142661182
HDOK,PLFL,17472,9,4,-135,-19,12,2,58,-115,-116,-115,-116,-116,-116,-116,-115,-116,-115,-116,-115,-117,-116,-116,-114,-117,-115,-116,-115,-118,-117,-115,-117,-116,-117,-116,-117,-117,-115,-117,-118,-118,-118,-119,-117,-116,-113,-116,-116,-116,-117,-117,-117,-116,-118,-115,-117,-118,-115,-118,-118,-117,-116,-117,-117,-116,-117,point1,0.8998628257887515
HDOK,PLOK,17472,10,5,-133,-18,12,2,58,-116,-115,-115,-117,-116,-117,-117,-116,-114,-113,-118,-117,-117,-116,-117,-117,-117,-116,-115,-118,-116,-116,-116,-116,-114,-115,-118,-117,-116,-113,-118,-116,-117,-115,-115,-116,-116,-116,-116,-115,-117,-116,-116,-117,-115,-115,-117,-117,-116,-117,-115,-117,-116,-117,-116,-117,-117,-116,point1,0.8055555555555556
HDOK,PLFL,17472,11,5,-136,-21,12,2,58,-114,-116,-114,-117,-115,-117,-116,-115,-115,-116,-117,-116,-117,-117,-117,-115,-116,-115,-116,-118,-116,-116,-116,-117,-116,-117,-116,-117,-117,-115,-116,-114,-117,-118,-116,-116,-114,-117,-117,-117,-118,-116,-116,-113,-118,-117,-117,-117,-117,-117,-117,-115,-115,-118,-116,-118,-116,-117,point1,0.9783950617283952
