hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,rssi_19,rssi_20,rssi_21,rssi_22,rssi_23,rssi_24,rssi_25,rssi_26,rssi_27,rssi_28,rssi_29,rssi_30,rssi_31,rssi_32,rssi_33,rssi_34,rssi_35,rssi_36,rssi_37,rssi_38,rssi_39,rssi_40,rssi_41,rssi_42,rssi_43,rssi_44,rssi_45,rssi_46,rssi_47,rssi_48,rssi_49,rssi_50,rssi_51,rssi_52,rssi_53,rssi_54,rssi_55,rssi_56,rssi_57,location_id,rssi_variance
HDOK,PLOK,17472,1,1,-106,6,12,2,58,-104,-113,-104,-112,-111,-104,-111,-111,-104,-104,-104,-103,-103,-107,-104,-106,-104,-104,-109,-103,-104,-109,-106,-105,-103,-106,-104,-104,-108,-105,-105,-103,-104,-105,-109,-112,-103,-105,-105,-106,-104,-105,-103,-104,-111,-104,-104,-105,-105,-105,-104,-112,-103,-104,-104,-104,-104,-115,312,5.726399999999999
HDOK,PLOK,17472,2,2,-106,5,12,2,58,-106,-111,-105,-111,-111,-104,-113,-113,-105,-105,-105,-106,-105,-111,-106,-107,-104,-106,-109,-105,-104,-111,-107,-106,-105,-106,-105,-105,-109,-106,-104,-104,-106,-105,-111,-111,-105,-105,-105,-107,-105,-106,-105,-104,-112,-104,-104,-106,-107,-106,-105,-111,-105,-105,-109,-107,-105,-116,312,5.0484
HDOK,PLOK,17472,3,3,-103,7,12,2,58,-101,-103,-102,-111,-109,-102,-111,-109,-102,-102,-103,-101,-102,-105,-101,-103,-102,-102,-107,-101,-102,-106,-103,-102,-101,-103,-102,-102,-107,-102,-101,-102,-103,-104,-107,-110,-102,-101,-102,-104,-104,-104,-101,-101,-111,-101,-101,-103,-103,-102,-101,-109,-102,-109,-101,-102,-106,-117,312,6.275600000000002
HDOK,PLOK,17472,4,4,-104,7,12,2,58,-102,-112,-102,-111,-109,-102,-112,-109,-101,-102,-102,-101,-101,-105,-101,-103,-101,-101,-107,-102,-102,-106,-103,-102,-101,-103,-101,-102,-106,-101,-101,-102,-102,-102,-107,-109,-101,-100,-101,-103,-102,-103,-101,-101,-109,-101,-101,-102,-103,-101,-101,-111,-101,-102,-102,-101,-101,-117,312,6.993599999999999
HDOK,PLOK,17472,5,5,-103,7,12,2,58,-102,-112,-102,-111,-109,-103,-112,-111,-103,-103,-104,-103,-103,-106,-103,-104,-103,-103,-108,-103,-102,-106,-103,-102,-102,-103,-103,-102,-107,-101,-101,-102,-104,-104,-106,-109,-101,-102,-102,-103,-107,-103,-101,-101,-111,-101,-101,-102,-102,-101,-101,-109,-101,-101,-107,-101,-111,-116,312,8.13
HDOK,PLOK,17472,6,6,-104,5,12,2,58,-103,-104,-101,-111,-109,-102,-109,-109,-101,-101,-101,-101,-101,-104,-101,-103,-101,-101,-107,-101,-102,-105,-102,-102,-101,-103,-101,-101,-107,-101,-101,-101,-103,-102,-106,-111,-102,-102,-102,-104,-107,-106,-104,-104,-112,-105,-106,-109,-109,-107,-105,-112,-103,-107,-101,-103,-101,-116,312,7.934399999999998
HDOK,PLOK,17472,7,7,-104,6,12,2,58,-101,-106,-103,-111,-111,-103,-111,-109,-101,-101,-102,-101,-101,-105,-101,-103,-102,-101,-106,-101,-100,-105,-103,-101,-99,-101,-100,-100,-105,-100,-99,-100,-101,-102,-106,-111,-103,-103,-101,-104,-102,-102,-100,-100,-109,-100,-101,-101,-102,-101,-101,-109,-101,-102,-106,-104,-102,-115,312,6.961600000000001
HDOK,PLOK,17472,8,8,-105,5,12,2,58,-103,-112,-104,-111,-111,-104,-111,-111,-103,-103,-104,-102,-103,-106,-103,-105,-103,-103,-109,-103,-103,-107,-104,-104,-103,-105,-104,-104,-108,-103,-103,-103,-104,-105,-109,-111,-103,-103,-104,-105,-106,-105,-103,-104,-111,-103,-102,-104,-104,-104,-104,-112,-104,-104,-103,-106,-103,-117,312,6.233599999999999
HDOK,PLOK,17472,9,9,-103,7,12,2,58,-101,-106,-101,-111,-109,-101,-111,-111,-101,-102,-102,-101,-101,-106,-101,-103,-102,-103,-107,-102,-101,-107,-104,-105,-103,-104,-104,-103,-108,-102,-102,-102,-102,-103,-109,-109,-101,-101,-101,-104,-101,-102,-101,-101,-109,-101,-100,-102,-102,-101,-101,-111,-101,-102,-104,-104,-109,-118,312,7.808400000000001
HDOK,PLOK,17472,10,10,-105,5,12,2,58,-105,-106,-103,-111,-111,-104,-112,-111,-103,-103,-105,-104,-104,-107,-104,-105,-105,-104,-109,-104,-104,-107,-105,-106,-104,-105,-104,-105,-109,-104,-104,-104,-104,-106,-109,-112,-104,-104,-104,-106,-105,-106,-104,-104,-111,-104,-104,-105,-105,-105,-104,-111,-104,-111,-104,-104,-112,-115,312,5.5376
