rssi,average_rssi,rssi_variance,snr,average_snr,sf,tp,location_id
-0.34,-0.3933333333333333,0.23220911942853653,0.9411764705882353,8.0,0.9230769230769231,0.2,11.0
-0.3933333333333333,-0.3933333333333333,0.23220911942853653,0.9411764705882353,8.0,0.9230769230769231,0.2,11.0
-0.3466666666666667,-0.3933333333333333,0.23220911942853653,0.9411764705882353,8.0,0.9230769230769231,0.2,11.0
-0.42,-0.3933333333333333,0.23220911942853653,0.9411764705882353,8.0,0.9230769230769231,0.2,11.0
-0.38666666666666666,-0.3933333333333333,0.23220911942853653,0.9411764705882353,8.0,0.9230769230769231,0.2,11.0
-0.3466666666666667,-0.3933333333333333,0.23220911942853653,0.9411764705882353,8.0,0.9230769230769231,0.2,11.0
-0.4066666666666667,-0.3933333333333333,0.23220911942853653,0.9411764705882353,8.0,0.9230769230769231,0.2,11.0
-0.3933333333333333,-0.3933333333333333,0.23220911942853653,0.9411764705882353,8.0,0.9230769230769231,0.2,11.0
-0.34,-0.3933333333333333,0.23220911942853653,0.9411764705882353,8.0,0.9230769230769231,0.2,11.0
-0.3466666666666667,-0.3933333333333333,0.23220911942853653,0.9411764705882353,8.0,0.9230769230769231,0.2,11.0
-0.3466666666666667,-0.3933333333333333,0.23220911942853653,0.9411764705882353,8.0,0.9230769230769231,0.2,11.0
-0.34,-0.3933333333333333,0.23220911942853653,0.9411764705882353,8.0,0.9230769230769231,0.2,11.0
-0.3466666666666667,-0.3933333333333333,0.23220911942853653,0.9411764705882353,8.0,0.9230769230769231,0.2,11.0
-0.36666666666666664,-0.3933333333333333,0.23220911942853653,0.9411764705882353,8.0,0.9230769230769231,0.2,11.0
-0.34,-0.3933333333333333,0.23220911942853653,0.9411764705882353,8.0,0.9230769230769231,0.2,11.0
-0.35333333333333333,-0.3933333333333333,0.23220911942853653,0.9411764705882353,8.0,0.9230769230769231,0.2,11.0
-0.3466666666666667,-0.3933333333333333,0.23220911942853653,0.9411764705882353,8.0,0.9230769230769231,0.2,11.0
-0.3466666666666667,-0.3933333333333333,0.23220911942853653,0.9411764705882353,8.0,0.9230769230769231,0.2,11.0
-0.38666666666666666,-0.3933333333333333,0.23220911942853653,0.9411764705882353,8.0,0.9230769230769231,0.2,11.0
-0.3466666666666667,-0.3933333333333333,0.23220911942853653,0.9411764705882353,8.0,0.9230769230769231,0.2,11.0
-0.3466666666666667,-0.3933333333333333,0.23220911942853653,0.9411764705882353,8.0,0.9230769230769231,0.2,11.0
-0.38,-0.3933333333333333,0.23220911942853653,0.9411764705882353,8.0,0.9230769230769231,0.2,11.0
-0.35333333333333333,-0.3933333333333333,0.23220911942853653,0.9411764705882353,8.0,0.9230769230769231,0.2,11.0
-0.34,-0.3933333333333333,0.23220911942853653,0.9411764705882353,8.0,0.9230769230769231,0.2,11.0
-0.3466666666666667,-0.3933333333333333,0.23220911942853653,0.9411764705882353,8.0,0.9230769230769231,0.2,11.0
-0.35333333333333333,-0.3933333333333333,0.23220911942853653,0.9411764705882353,8.0,0.9230769230769231,0.2,11.0
-0.3466666666666667,-0.3933333333333333,0.23220911942853653,0.9411764705882353,8.0,0.9230769230769231,0.2,11.0
-0.3466666666666667,-0.3933333333333333,0.23220911942853653,0.9411764705882353,8.0,0.9230769230769231,0.2,11.0
-0.38666666666666666,-0.3933333333333333,0.23220911942853653,0.9411764705882353,8.0,0.9230769230769231,0.2,11.0
-0.34,-0.3933333333333333,0.23220911942853653,0.9411764705882353,8.0,0.9230769230769231,0.2,11.0
-0.34,-0.3933333333333333,0.23220911942853653,0.9411764705882353,8.0,0.9230769230769231,0.2,11.0
-0.34,-0.3933333333333333,0.23220911942853653,0.9411764705882353,8.0,0.9230769230769231,0.2,11.0
-0.35333333333333333,-0.3933333333333333,0.23220911942853653,0.9411764705882353,8.0,0.9230769230769231,0.2,11.0
-0.35333333333333333,-0.3933333333333333,0.23220911942853653,0.9411764705882353,8.0,0.9230769230769231,0.2,11.0
-0.37333333333333335,-0.3933333333333333,0.23220911942853653,0.9411764705882353,8.0,0.9230769230769231,0.2,11.0
-0.42,-0.3933333333333333,0.23220911942853653,0.9411764705882353,8.0,0.9230769230769231,0.2,11.0
-0.34,-0.3933333333333333,0.23220911942853653,0.9411764705882353,8.0,0.9230769230769231,0.2,11.0
-0.34,-0.3933333333333333,0.23220911942853653,0.9411764705882353,8.0,0.9230769230769231,0.2,11.0
-0.34,-0.3933333333333333,0.23220911942853653,0.9411764705882353,8.0,0.9230769230769231,0.2,11.0
-0.36666666666666664,-0.3933333333333333,0.23220911942853653,0.9411764705882353,8.0,0.9230769230769231,0.2,11.0
-0.36,-0.3933333333333333,0.23220911942853653,0.9411764705882353,8.0,0.9230769230769231,0.2,11.0
