rssi,average_rssi,rssi_variance,snr,average_snr,sf,tp,location_id,true_x,true_y
-0.62,-0.5733333333333334,0.21386977236633134,0.6666666666666666,9.0,11.0,2.0,318,43.419,61.869
-0.5733333333333334,-0.5733333333333334,0.21386977236633134,0.6666666666666666,9.0,11.0,2.0,318,43.419,61.869
-0.5866666666666667,-0.5733333333333334,0.21386977236633134,0.6666666666666666,9.0,11.0,2.0,318,43.419,61.869
-0.5666666666666667,-0.5733333333333334,0.21386977236633134,0.6666666666666666,9.0,11.0,2.0,318,43.419,61.869
-0.6066666666666667,-0.5733333333333334,0.21386977236633134,0.6666666666666666,9.0,11.0,2.0,318,43.419,61.869
-0.6266666666666667,-0.5733333333333334,0.21386977236633134,0.6666666666666666,9.0,11.0,2.0,318,43.419,61.869
-0.58,-0.5733333333333334,0.21386977236633134,0.6666666666666666,9.0,11.0,2.0,318,43.419,61.869
-0.5733333333333334,-0.5733333333333334,0.21386977236633134,0.6666666666666666,9.0,11.0,2.0,318,43.419,61.869
-0.58,-0.5733333333333334,0.21386977236633134,0.6666666666666666,9.0,11.0,2.0,318,43.419,61.869
-0.5733333333333334,-0.5733333333333334,0.21386977236633134,0.6666666666666666,9.0,11.0,2.0,318,43.419,61.869
-0.5733333333333334,-0.5733333333333334,0.21386977236633134,0.6666666666666666,9.0,11.0,2.0,318,43.419,61.869
-0.58,-0.5733333333333334,0.21386977236633134,0.6666666666666666,9.0,11.0,2.0,318,43.419,61.869
-0.5733333333333334,-0.5733333333333334,0.21386977236633134,0.6666666666666666,9.0,11.0,2.0,318,43.419,61.869
-0.5733333333333334,-0.5733333333333334,0.21386977236633134,0.6666666666666666,9.0,11.0,2.0,318,43.419,61.869
-0.5733333333333334,-0.5733333333333334,0.21386977236633134,0.6666666666666666,9.0,11.0,2.0,318,43.419,61.869
-0.5733333333333334,-0.5733333333333334,0.21386977236633134,0.6666666666666666,9.0,11.0,2.0,318,43.419,61.869
-0.5733333333333334,-0.5733333333333334,0.21386977236633134,0.6666666666666666,9.0,11.0,2.0,318,43.419,61.869
-0.58,-0.5733333333333334,0.21386977236633134,0.6666666666666666,9.0,11.0,2.0,318,43.419,61.869
-0.6466666666666666,-0.5733333333333334,0.21386977236633134,0.6666666666666666,9.0,11.0,2.0,318,43.419,61.869
-0.5666666666666667,-0.5733333333333334,0.21386977236633134,0.6666666666666666,9.0,11.0,2.0,318,43.419,61.869
-0.56,-0.5733333333333334,0.21386977236633134,0.6666666666666666,9.0,11.0,2.0,318,43.419,61.869
-0.5733333333333334,-0.5733333333333334,0.21386977236633134,0.6666666666666666,9.0,11.0,2.0,318,43.419,61.869
-0.5666666666666667,-0.5733333333333334,0.21386977236633134,0.6666666666666666,9.0,11.0,2.0,318,43.419,61.869
-0.62,-0.5733333333333334,0.21386977236633134,0.6666666666666666,9.0,11.0,2.0,318,43.419,61.869
-0.5666666666666667,-0.5733333333333334,0.21386977236633134,0.6666666666666666,9.0,11.0,2.0,318,43.419,61.869
-0.5666666666666667,-0.5733333333333334,0.21386977236633134,0.6666666666666666,9.0,11.0,2.0,318,43.419,61.869
-0.5666666666666667,-0.5733333333333334,0.21386977236633134,0.6666666666666666,9.0,11.0,2.0,318,43.419,61.869
-0.58,-0.5733333333333334,0.21386977236633134,0.6666666666666666,9.0,11.0,2.0,318,43.419,61.869
-0.58,-0.5733333333333334,0.21386977236633134,0.6666666666666666,9.0,11.0,2.0,318,43.419,61.869
-0.5666666666666667,-0.5733333333333334,0.21386977236633134,0.6666666666666666,9.0,11.0,2.0,318,43.419,61.869
-0.5666666666666667,-0.5733333333333334,0.21386977236633134,0.6666666666666666,9.0,11.0,2.0,318,43.419,61.869
-0.5666666666666667,-0.5733333333333334,0.21386977236633134,0.6666666666666666,9.0,11.0,2.0,318,43.419,61.869
-0.56,-0.5733333333333334,0.21386977236633134,0.6666666666666666,9.0,11.0,2.0,318,43.419,61.869
-0.5466666666666666,-0.5533333333333333,0.0524086818422446,0.3333333333333333,8.0,11.0,2.0,318,43.419,61.869
-0.54,-0.5533333333333333,0.0524086818422446,0.3333333333333333,8.0,11.0,2.0,318,43.419,61.869
-0.5533333333333333,-0.5533333333333333,0.0524086818422446,0.3333333333333333,8.0,11.0,2.0,318,43.419,61.869
-0.54,-0.5533333333333333,0.0524086818422446,0.3333333333333333,8.0,11.0,2.0,318,43.419,61.869
-0.56,-0.5533333333333333,0.0524086818422446,0.3333333333333333,8.0,11.0,2.0,318,43.419,61.869
-0.6066666666666667,-0.5533333333333333,0.0524086818422446,0.3333333333333333,8.0,11.0,2.0,318,43.419,61.869
-0.5533333333333333,-0.5533333333333333,0.0524086818422446,0.3333333333333333,8.0,11.0,2.0,318,43.419,61.869
-0.54,-0.5533333333333333,0.0524086818422446,0.3333333333333333,8.0,11.0,2.0,318,43.419,61.869
-0.5533333333333333,-0.5533333333333333,0.0524086818422446,0.3333333333333333,8.0,11.0,2.0,318,43.419,61.869
-0.5466666666666666,-0.5533333333333333,0.0524086818422446,0.3333333333333333,8.0,11.0,2.0,318,43.419,61.869
-0.5466666666666666,-0.5533333333333333,0.0524086818422446,0.3333333333333333,8.0,11.0,2.0,318,43.419,61.869
-0.5533333333333333,-0.5533333333333333,0.0524086818422446,0.3333333333333333,8.0,11.0,2.0,318,43.419,61.869
-0.5466666666666666,-0.5533333333333333,0.0524086818422446,0.3333333333333333,8.0,11.0,2.0,318,43.419,61.869
-0.5466666666666666,-0.5533333333333333,0.0524086818422446,0.3333333333333333,8.0,11.0,2.0,318,43.419,61.869
-0.54,-0.5533333333333333,0.0524086818422446,0.3333333333333333,8.0,11.0,2.0,318,43.419,61.869
-0.5466666666666666,-0.5533333333333333,0.0524086818422446,0.3333333333333333,8.0,11.0,2.0,318,43.419,61.869
-0.5466666666666666,-0.5533333333333333,0.0524086818422446,0.3333333333333333,8.0,11.0,2.0,318,43.419,61.869
-0.5533333333333333,-0.5533333333333333,0.0524086818422446,0.3333333333333333,8.0,11.0,2.0,318,43.419,61.869
-0.58,-0.5533333333333333,0.0524086818422446,0.3333333333333333,8.0,11.0,2.0,318,43.419,61.869
-0.5466666666666666,-0.5533333333333333,0.0524086818422446,0.3333333333333333,8.0,11.0,2.0,318,43.419,61.869
-0.54,-0.5533333333333333,0.0524086818422446,0.3333333333333333,8.0,11.0,2.0,318,43.419,61.869
-0.5533333333333333,-0.5533333333333333,0.0524086818422446,0.3333333333333333,8.0,11.0,2.0,318,43.419,61.869
-0.5533333333333333,-0.5533333333333333,0.0524086818422446,0.3333333333333333,8.0,11.0,2.0,318,43.419,61.869
-0.62,-0.5533333333333333,0.0524086818422446,0.3333333333333333,8.0,11.0,2.0,318,43.419,61.869
-0.5466666666666666,-0.5533333333333333,0.0524086818422446,0.3333333333333333,8.0,11.0,2.0,318,43.419,61.869
-0.5466666666666666,-0.5533333333333333,0.0524086818422446,0.3333333333333333,8.0,11.0,2.0,318,43.419,61.869
-0.5466666666666666,-0.5533333333333333,0.0524086818422446,0.3333333333333333,8.0,11.0,2.0,318,43.419,61.869
-0.5666666666666667,-0.5533333333333333,0.0524086818422446,0.3333333333333333,8.0,11.0,2.0,318,43.419,61.869
-0.5533333333333333,-0.5533333333333333,0.0524086818422446,0.3333333333333333,8.0,11.0,2.0,318,43.419,61.869
-0.5466666666666666,-0.5533333333333333,0.0524086818422446,0.3333333333333333,8.0,11.0,2.0,318,43.419,61.869
-0.5533333333333333,-0.5533333333333333,0.0524086818422446,0.3333333333333333,8.0,11.0,2.0,318,43.419,61.869
-0.5933333333333334,-0.5533333333333333,0.0524086818422446,0.3333333333333333,8.0,11.0,2.0,318,43.419,61.869
-0.5533333333333333,-0.5533333333333333,0.0524086818422446,0.3333333333333333,8.0,11.0,2.0,318,43.419,61.869
-0.6266666666666667,-0.56,1.0,0.3333333333333333,8.0,11.0,2.0,318,43.419,61.869
-0.58,-0.56,1.0,0.3333333333333333,8.0,11.0,2.0,318,43.419,61.869
-0.5933333333333334,-0.56,1.0,0.3333333333333333,8.0,11.0,2.0,318,43.419,61.869
-0.5733333333333334,-0.56,1.0,0.3333333333333333,8.0,11.0,2.0,318,43.419,61.869
-0.5666666666666667,-0.56,1.0,0.3333333333333333,8.0,11.0,2.0,318,43.419,61.869
-0.6066666666666667,-0.56,1.0,0.3333333333333333,8.0,11.0,2.0,318,43.419,61.869
-0.5866666666666667,-0.56,1.0,0.3333333333333333,8.0,11.0,2.0,318,43.419,61.869
-0.56,-0.56,1.0,0.3333333333333333,8.0,11.0,2.0,318,43.419,61.869
-0.6066666666666667,-0.56,1.0,0.3333333333333333,8.0,11.0,2.0,318,43.419,61.869
-0.5666666666666667,-0.56,1.0,0.3333333333333333,8.0,11.0,2.0,318,43.419,61.869
-0.56,-0.56,1.0,0.3333333333333333,8.0,11.0,2.0,318,43.419,61.869
-0.5733333333333334,-0.56,1.0,0.3333333333333333,8.0,11.0,2.0,318,43.419,61.869
-0.6066666666666667,-0.56,1.0,0.3333333333333333,8.0,11.0,2.0,318,43.419,61.869
-0.5866666666666667,-0.56,1.0,0.3333333333333333,8.0,11.0,2.0,318,43.419,61.869
-0.5866666666666667,-0.56,1.0,0.3333333333333333,8.0,11.0,2.0,318,43.419,61.869
-0.5933333333333334,-0.56,1.0,0.3333333333333333,8.0,11.0,2.0,318,43.419,61.869
-0.6,-0.56,1.0,0.3333333333333333,8.0,11.0,2.0,318,43.419,61.869
-0.5933333333333334,-0.56,1.0,0.3333333333333333,8.0,11.0,2.0,318,43.419,61.869
-0.5866666666666667,-0.56,1.0,0.3333333333333333,8.0,11.0,2.0,318,43.419,61.869
-0.5866666666666667,-0.56,1.0,0.3333333333333333,8.0,11.0,2.0,318,43.419,61.869
-0.5666666666666667,-0.56,1.0,0.3333333333333333,8.0,11.0,2.0,318,43.419,61.869
-0.5733333333333334,-0.56,1.0,0.3333333333333333,8.0,11.0,2.0,318,43.419,61.869
-0.5666666666666667,-0.56,1.0,0.3333333333333333,8.0,11.0,2.0,318,43.419,61.869
-0.62,-0.56,1.0,0.3333333333333333,8.0,11.0,2.0,318,43.419,61.869
-0.5533333333333333,-0.56,1.0,0.3333333333333333,8.0,11.0,2.0,318,43.419,61.869
-0.5466666666666666,-0.56,1.0,0.3333333333333333,8.0,11.0,2.0,318,43.419,61.869
-0.5466666666666666,-0.56,1.0,0.3333333333333333,8.0,11.0,2.0,318,43.419,61.869
-0.5533333333333333,-0.56,1.0,0.3333333333333333,8.0,11.0,2.0,318,43.419,61.869
-0.5533333333333333,-0.56,1.0,0.3333333333333333,8.0,11.0,2.0,318,43.419,61.869
-0.5466666666666666,-0.56,1.0,0.3333333333333333,8.0,11.0,2.0,318,43.419,61.869
-0.54,-0.56,1.0,0.3333333333333333,8.0,11.0,2.0,318,43.419,61.869
-0.54,-0.56,1.0,0.3333333333333333,8.0,11.0,2.0,318,43.419,61.869
-0.54,-0.56,1.0,0.3333333333333333,8.0,11.0,2.0,318,43.419,61.869
-0.54,-0.5466666666666666,0.06299629433562731,0.3333333333333333,8.0,11.0,2.0,318,43.419,61.869
-0.5466666666666666,-0.5466666666666666,0.06299629433562731,0.3333333333333333,8.0,11.0,2.0,318,43.419,61.869
-0.5533333333333333,-0.5466666666666666,0.06299629433562731,0.3333333333333333,8.0,11.0,2.0,318,43.419,61.869
-0.5533333333333333,-0.5466666666666666,0.06299629433562731,0.3333333333333333,8.0,11.0,2.0,318,43.419,61.869
-0.5533333333333333,-0.5466666666666666,0.06299629433562731,0.3333333333333333,8.0,11.0,2.0,318,43.419,61.869
-0.6066666666666667,-0.5466666666666666,0.06299629433562731,0.3333333333333333,8.0,11.0,2.0,318,43.419,61.869
-0.5733333333333334,-0.5466666666666666,0.06299629433562731,0.3333333333333333,8.0,11.0,2.0,318,43.419,61.869
-0.5533333333333333,-0.5466666666666666,0.06299629433562731,0.3333333333333333,8.0,11.0,2.0,318,43.419,61.869
-0.5933333333333334,-0.5466666666666666,0.06299629433562731,0.3333333333333333,8.0,11.0,2.0,318,43.419,61.869
