rssi,snr,sf,tp,location_id
-116.0,-11.0,9.0,2.0,302
-117.0,-11.0,9.0,2.0,302
-117.0,-11.0,9.0,2.0,302
-114.0,-11.0,9.0,2.0,302
-116.0,-11.0,9.0,2.0,302
-116.0,-11.0,9.0,2.0,302
-117.0,-11.0,9.0,2.0,302
-116.0,-11.0,9.0,2.0,302
-115.0,-11.0,9.0,2.0,302
-117.0,-11.0,9.0,2.0,302
-115.0,-11.0,9.0,2.0,302
-115.0,-11.0,9.0,2.0,302
-113.0,-11.0,9.0,2.0,302
-116.0,-11.0,9.0,2.0,302
-115.0,-11.0,9.0,2.0,302
-116.0,-11.0,9.0,2.0,302
-110.0,-11.0,9.0,2.0,302
-116.0,-11.0,9.0,2.0,302
-113.0,-11.0,9.0,2.0,302
-115.0,-11.0,9.0,2.0,302
-116.0,-11.0,9.0,2.0,302
-113.0,-11.0,9.0,2.0,302
-117.0,-11.0,9.0,2.0,302
-116.0,-11.0,9.0,2.0,302
-117.0,-11.0,9.0,2.0,302
-116.0,-11.0,9.0,2.0,302
-118.0,-11.0,9.0,2.0,302
-116.0,-11.0,9.0,2.0,302
-118.0,-11.0,9.0,2.0,302
-118.0,-11.0,9.0,2.0,302
-115.0,-11.0,9.0,2.0,302
-113.0,-11.0,9.0,2.0,302
-124.0,-11.0,9.0,2.0,302
-115.0,-14.0,9.0,2.0,302
-117.0,-14.0,9.0,2.0,302
-113.0,-14.0,9.0,2.0,302
-115.0,-14.0,9.0,2.0,302
-117.0,-14.0,9.0,2.0,302
-116.0,-14.0,9.0,2.0,302
-117.0,-14.0,9.0,2.0,302
-118.0,-14.0,9.0,2.0,302
-116.0,-14.0,9.0,2.0,302
-117.0,-14.0,9.0,2.0,302
-117.0,-14.0,9.0,2.0,302
-117.0,-14.0,9.0,2.0,302
-115.0,-14.0,9.0,2.0,302
-119.0,-14.0,9.0,2.0,302
-113.0,-14.0,9.0,2.0,302
-117.0,-14.0,9.0,2.0,302
-116.0,-14.0,9.0,2.0,302
-117.0,-14.0,9.0,2.0,302
-116.0,-14.0,9.0,2.0,302
-117.0,-14.0,9.0,2.0,302
-116.0,-14.0,9.0,2.0,302
-115.0,-14.0,9.0,2.0,302
-116.0,-14.0,9.0,2.0,302
-115.0,-14.0,9.0,2.0,302
-115.0,-14.0,9.0,2.0,302
-113.0,-14.0,9.0,2.0,302
-115.0,-14.0,9.0,2.0,302
-117.0,-14.0,9.0,2.0,302
-118.0,-14.0,9.0,2.0,302
-114.0,-14.0,9.0,2.0,302
-117.0,-14.0,9.0,2.0,302
-117.0,-14.0,9.0,2.0,302
-117.0,-14.0,9.0,2.0,302
-113.0,-8.0,9.0,2.0,302
-116.0,-8.0,9.0,2.0,302
-116.0,-8.0,9.0,2.0,302
-115.0,-8.0,9.0,2.0,302
-114.0,-8.0,9.0,2.0,302
-114.0,-8.0,9.0,2.0,302
-115.0,-8.0,9.0,2.0,302
-114.0,-8.0,9.0,2.0,302
-114.0,-8.0,9.0,2.0,302
-114.0,-8.0,9.0,2.0,302
-112.0,-8.0,9.0,2.0,302
-118.0,-8.0,9.0,2.0,302
-116.0,-8.0,9.0,2.0,302
-117.0,-8.0,9.0,2.0,302
-117.0,-8.0,9.0,2.0,302
-113.0,-8.0,9.0,2.0,302
-115.0,-8.0,9.0,2.0,302
-116.0,-8.0,9.0,2.0,302
-116.0,-8.0,9.0,2.0,302
