id,x,y
point1,67,95
372,156,96
370,173,96
368,256,96
366,271,96
364,311,96
362,354,96
360,368,96
358,410,96
356,455,95
point2,516,96
354,555,35
352,555,54
350,554,96
348,555,115
346,555,161
344,554,176
342,554,226
340,554,238
338,554,287
336,553,327
334,555,391
gateway,544,460
point3,614,481
332,589,502
330,555,507
328,498,505
326,484,505
324,433,505
322,421,504
320,368,503
318,353,503
316,302,503
312,286,503
310,236,504
308,197,505
306和304之间,109,503
302,103,431

