id,x,y
point1,111,109
70,217,110
66,315,110
60,410,110
56,499,109
54,598,49
48,555,115
point2,516,96
point3,614,481
44,598,190
40,598,252
36,598,341
34,598,405
1m,598,445
gateway,598,474
30,598,521
28,542,521
22,465,521
12,330,521
8,241,521
4,153,521
2,147,445
