hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,rssi_19,rssi_20,rssi_21,rssi_22,rssi_23,rssi_24,rssi_25,rssi_26,rssi_27,rssi_28,rssi_29,rssi_30,rssi_31,rssi_32,location_id
HDOK,PLOK,17472,1,1,-101,7,9,2,33,-99,-99,-99,-99,-99,-98,-98,-99,-98,-100,-101,-99,-100,-99,-99,-98,-98,-100,-99,-101,-105,-106,-102,-101,-99,-101,-100,-99,-100,-99,-100,-102,-100,350
HDOK,PLOK,17472,2,2,-103,8,9,2,33,-102,-101,-102,-107,-103,-101,-101,-101,-102,-101,-102,-101,-101,-103,-101,-101,-101,-106,-104,-107,-103,-106,-102,-102,-105,-107,-101,-101,-106,-101,-101,-101,-101,350
HDOK,PLOK,17472,3,3,-103,8,9,2,33,-102,-101,-102,-103,-105,-102,-101,-101,-105,-101,-102,-101,-101,-104,-101,-101,-102,-107,-105,-109,-103,-105,-102,-101,-107,-107,-101,-103,-109,-101,-101,-101,-101,350
HDOK,PLOK,17472,4,4,-104,8,9,2,33,-102,-101,-102,-103,-104,-102,-102,-101,-105,-101,-101,-101,-101,-103,-101,-101,-101,-107,-105,-109,-103,-106,-102,-101,-109,-107,-101,-102,-107,-101,-101,-103,-107,350
HDOK,PLOK,17472,5,5,-103,8,9,2,33,-102,-101,-103,-102,-105,-103,-102,-101,-107,-101,-102,-101,-101,-104,-101,-101,-102,-109,-105,-107,-102,-105,-102,-101,-107,-109,-102,-103,-109,-101,-101,-102,-102,350
HDOK,PLOK,17472,6,6,-104,8,9,2,33,-103,-104,-109,-102,-102,-102,-102,-103,-102,-103,-109,-102,-103,-103,-107,-105,-107,-102,-102,-103,-105,-105,-109,-109,-102,-102,-109,-103,-102,-102,-109,-109,-111,350
HDOK,PLOK,17472,7,7,-103,8,9,2,33,-102,-107,-107,-101,-101,-102,-101,-103,-101,-103,-109,-102,-104,-101,-106,-103,-103,-102,-101,-103,-107,-105,-109,-107,-101,-102,-107,-101,-103,-102,-104,-106,-101,350
HDOK,PLOK,17472,8,8,-104,8,9,2,33,-103,-104,-111,-102,-103,-103,-103,-104,-102,-102,-109,-103,-102,-102,-107,-104,-106,-102,-102,-103,-107,-106,-111,-109,-103,-102,-109,-103,-103,-103,-107,-109,-102,350
HDOK,PLOK,17472,9,9,-109,6,9,2,33,-108,-109,-113,-107,-107,-107,-108,-108,-108,-107,-113,-107,-108,-107,-112,-109,-110,-108,-107,-108,-111,-110,-113,-115,-107,-107,-113,-107,-107,-107,-110,-109,-113,350
HDOK,PLFL,17472,10,9,-104,5,9,2,33,-104,-103,-103,-109,-104,-103,-102,-103,-103,-103,-104,-103,-103,-104,-103,-103,-103,-107,-105,-111,-105,-109,-105,-104,-105,-107,-104,-103,-107,-103,-104,-104,-103,350
HDOK,PLOK,17472,11,10,-104,8,9,2,33,-103,-102,-102,-107,-104,-101,-101,-102,-102,-102,-104,-102,-102,-103,-102,-102,-102,-106,-104,-109,-105,-107,-104,-103,-103,-107,-103,-102,-106,-102,-101,-102,-106,350
HDOK,PLOK,17472,12,11,-104,8,9,2,33,-102,-107,-107,-101,-102,-102,-102,-102,-102,-103,-109,-101,-104,-102,-105,-102,-103,-102,-101,-103,-109,-106,-109,-107,-101,-102,-107,-101,-102,-101,-106,-102,-107,350
HDOK,PLOK,17472,13,12,-101,7,9,2,33,-99,-99,-106,-98,-98,-99,-99,-100,-99,-99,-105,-99,-99,-98,-104,-132,-102,-99,-99,-100,-105,-101,-106,-106,-99,-99,-105,-99,-99,-99,-103,-106,-100,350
HDOK,PLOK,17472,14,13,-102,6,9,2,33,-100,-99,-99,-101,-100,-99,-103,-99,-99,-99,-101,-100,-99,-100,-99,-99,-99,-101,-101,-105,-103,-106,-101,-100,-99,-103,-99,-99,-103,-100,-100,-99,-101,350
HDOK,PLOK,17472,15,14,-101,7,9,2,33,-100,-99,-99,-103,-100,-99,-105,-99,-99,-99,-101,-99,-99,-100,-99,-99,-99,-103,-100,-105,-101,-105,-101,-100,-100,-105,-99,-99,-103,-99,-99,-99,-101,350
HDOK,PLOK,17472,16,15,-100,8,9,2,33,-99,-98,-99,-100,-101,-100,-98,-99,-105,-98,-99,-98,-98,-100,-98,-99,-99,-105,-103,-105,-99,-101,-99,-99,-101,-105,-98,-101,-105,-98,-98,-99,-99,350
HDOK,PLOK,17472,17,16,-100,8,9,2,33,-99,-98,-99,-100,-101,-99,-99,-98,-101,-98,-99,-98,-98,-100,-98,-97,-98,-105,-101,-105,-99,-101,-99,-98,-103,-105,-99,-105,-105,-98,-98,-98,-98,350
HDOK,PLOK,17472,18,17,-101,7,9,2,33,-99,-99,-99,-100,-103,-99,-99,-99,-101,-98,-99,-99,-99,-100,-98,-99,-99,-105,-101,-106,-99,-103,-99,-99,-105,-106,-99,-100,-105,-99,-99,-98,-99,350
HDOK,PLOK,17472,19,18,-101,8,9,2,33,-99,-99,-98,-101,-100,-99,-99,-101,-99,-99,-100,-99,-99,-99,-99,-98,-98,-101,-99,-103,-103,-105,-101,-99,-99,-101,-99,-98,-101,-99,-100,-99,-100,350
HDOK,PLOK,17472,20,19,-101,7,9,2,33,-99,-99,-99,-99,-99,-99,-99,-105,-98,-103,-102,-99,-101,-99,-99,-99,-99,-100,-99,-101,-105,-105,-104,-101,-99,-101,-101,-99,-100,-99,-100,-99,-102,350
HDOK,PLOK,17472,21,20,-101,8,9,2,33,-99,-99,-99,-99,-103,-100,-99,-99,-105,-98,-99,-98,-98,-101,-98,-98,-99,-106,-103,-105,-99,-101,-99,-99,-103,-105,-98,-100,-105,-98,-98,-99,-99,350
HDOK,PLOK,17472,22,21,-101,7,9,2,33,-99,-99,-99,-105,-100,-98,-103,-103,-99,-98,-99,-98,-98,-99,-98,-98,-98,-103,-100,-106,-101,-103,-99,-99,-100,-103,-99,-99,-103,-99,-98,-98,-101,350
HDOK,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
