hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,rssi_19,rssi_20,rssi_21,rssi_22,rssi_23,rssi_24,rssi_25,rssi_26,rssi_27,rssi_28,rssi_29,rssi_30,rssi_31,rssi_32,location_id
HDOK,PLOK,17472,1,1,-124,-9,9,2,33,-116,-114,-116,-117,-116,-117,-117,-116,-118,-116,-113,-116,-119,-117,-116,-116,-115,-115,-115,-116,-116,-116,-115,-116,-113,-118,-117,-117,-117,-117,-116,-117,-117,372
HDOK,PLOK,17472,2,2,-120,-5,9,2,33,-113,-117,-118,-115,-114,-115,-115,-115,-113,-116,-116,-114,-116,-115,-116,-116,-117,-115,-116,-116,-118,-116,-115,-117,-117,-115,-116,-115,-114,-116,-115,-115,-113,372
HDOK,PLOK,17472,3,3,-121,-6,9,2,33,-113,-115,-116,-117,-117,-114,-116,-114,-117,-116,-115,-115,-115,-117,-117,-116,-116,-113,-117,-117,-114,-116,-116,-115,-117,-116,-114,-115,-115,-116,-115,-113,-117,372
HDOK,PLOK,17472,4,4,-121,-6,9,2,33,-114,-115,-115,-117,-115,-116,-116,-116,-115,-113,-114,-117,-115,-118,-116,-113,-114,-116,-116,-116,-117,-115,-115,-112,-114,-116,-116,-116,-116,-116,-115,-116,-114,372
HDOK,PLOK,17472,5,5,-122,-7,9,2,33,-115,-116,-116,-115,-114,-116,-116,-115,-115,-118,-118,-113,-116,-116,-116,-117,-111,-115,-116,-118,-116,-118,-116,-116,-116,-114,-116,-116,-116,-116,-116,-116,-115,372
HDOK,PLOK,17472,6,6,-122,-7,9,2,33,-115,-116,-116,-117,-116,-115,-117,-117,-117,-114,-117,-115,-117,-114,-114,-113,-114,-114,-115,-116,-116,-115,-117,-115,-115,-118,-114,-113,-116,-117,-114,-115,-116,372
HDOK,PLOK,17472,7,7,-119,-6,9,2,33,-115,-117,-116,-113,-115,-115,-116,-116,-114,-116,-116,-117,-117,-115,-114,-115,-114,-116,-114,-115,-116,-118,-117,-117,-116,-117,-116,-115,-117,-115,-117,-117,-116,372
HDOK,PLOK,17472,8,8,-120,-5,9,2,33,-116,-116,-117,-115,-116,-116,-115,-115,-117,-116,-119,-114,-115,-114,-115,-115,-113,-116,-116,-116,-118,-118,-117,-117,-116,-115,-117,-117,-116,-115,-115,-116,-116,372
HDOK,PLOK,17472,9,9,-118,-5,9,2,33,-115,-114,-115,-116,-114,-115,-114,-117,-113,-114,-115,-114,-117,-118,-113,-114,-116,-117,-115,-115,-116,-116,-117,-114,-115,-116,-116,-116,-117,-116,-116,-115,-116,372
HDOK,PLOK,17472,10,10,-119,-6,9,2,33,-114,-116,-115,-113,-116,-114,-114,-117,-116,-116,-115,-115,-116,-117,-115,-114,-116,-116,-117,-117,-115,-118,-117,-116,-116,-115,-117,-115,-116,-116,-115,-116,-115,372
