hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,rssi_19,rssi_20,rssi_21,rssi_22,rssi_23,rssi_24,rssi_25,rssi_26,rssi_27,rssi_28,rssi_29,rssi_30,rssi_31,rssi_32,location_id
HDOK,PLOK,17472,1,1,-103,8,9,2,33,-103,-102,-103,-102,-103,-102,-102,-102,-102,-104,-105,-102,-103,-102,-103,-101,-101,-103,-102,-104,-107,-107,-105,-103,-101,-103,-103,-101,-103,-101,-101,-105,-101,352
HDOK,PLOK,17472,2,2,-101,8,9,2,33,-104,-103,-105,-100,-100,-99,-99,-100,-99,-105,-104,-99,-105,-98,-100,-98,-98,-99,-98,-100,-105,-103,-105,-101,-98,-99,-101,-98,-99,-98,-100,-104,-99,352
HDOK,PLOK,17472,3,3,-103,8,9,2,33,-101,-101,-103,-100,-101,-100,-101,-101,-100,-106,-105,-101,-105,-100,-102,-101,-101,-102,-101,-103,-109,-107,-106,-105,-101,-104,-104,-101,-102,-101,-104,-102,-101,352
HDOK,PLOK,17472,4,4,-103,8,9,2,33,-102,-102,-102,-103,-103,-101,-101,-102,-101,-102,-104,-102,-102,-102,-102,-101,-101,-104,-103,-107,-106,-109,-105,-103,-102,-105,-103,-101,-104,-102,-102,-103,-101,352
HDOK,PLOK,17472,5,5,-104,8,9,2,33,-102,-101,-101,-105,-104,-101,-103,-101,-102,-101,-103,-102,-101,-102,-102,-101,-101,-106,-104,-109,-104,-107,-104,-102,-103,-106,-102,-101,-105,-103,-103,-104,-104,352
HDOK,PLOK,17472,6,6,-104,8,9,2,33,-102,-105,-109,-101,-101,-101,-101,-102,-101,-102,-107,-101,-102,-102,-106,-103,-104,-102,-101,-102,-106,-105,-107,-109,-102,-102,-109,-102,-102,-102,-105,-103,-109,352
HDOK,PLOK,17472,7,7,-104,8,9,2,33,-105,-104,-105,-105,-107,-106,-105,-104,-111,-104,-104,-103,-103,-105,-103,-104,-104,-111,-106,-111,-104,-106,-103,-103,-107,-109,-102,-103,-107,-102,-101,-101,-102,352
HDOK,PLOK,17472,8,8,-98,8,9,2,33,-96,-96,-96,-99,-97,-96,-101,-96,-96,-96,-98,-96,-96,-96,-97,-96,-96,-99,-98,-101,-101,-103,-99,-98,-96,-99,-97,-96,-99,-96,-96,-95,-95,352
HDOK,PLOK,17472,9,9,-101,6,9,2,33,-99,-100,-101,-99,-98,-99,-99,-100,-99,-106,-103,-100,-105,-98,-101,-99,-99,-100,-99,-101,-106,-105,-105,-102,-99,-101,-102,-100,-101,-100,-102,-105,-99,352
HDOK,PLOK,17472,10,10,-102,7,9,2,33,-100,-105,-104,-99,-98,-99,-99,-99,-99,-100,-105,-98,-101,-99,-101,-99,-100,-99,-99,-100,-107,-102,-106,-104,-99,-99,-104,-99,-99,-99,-101,-99,-106,352
