hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,rssi_19,rssi_20,rssi_21,rssi_22,rssi_23,rssi_24,rssi_25,rssi_26,rssi_27,rssi_28,rssi_29,rssi_30,rssi_31,rssi_32,location_id
HDOK,PLOK,17472,1,1,-123,-6,9,2,33,-116,-118,-117,-118,-119,-117,-118,-117,-117,-117,-117,-117,-117,-117,-118,-118,-117,-119,-118,-119,-117,-118,-118,-118,-117,-118,-118,-115,-118,-116,-118,-118,-117,366
HDOK,PLOK,17472,2,2,-123,-7,9,2,33,-117,-117,-118,-119,-118,-117,-118,-117,-118,-118,-116,-117,-119,-117,-118,-117,-119,-118,-117,-119,-117,-119,-117,-118,-118,-118,-116,-118,-117,-116,-117,-118,-117,366
HDOK,PLOK,17472,3,3,-127,-10,9,2,33,-115,-117,-117,-116,-119,-118,-118,-115,-117,-119,-119,-118,-118,-119,-119,-118,-119,-121,-119,-117,-118,-118,-117,-121,-118,-118,-117,-118,-118,-119,-117,-116,-117,366
HDOK,PLOK,17472,4,4,-125,-8,9,2,33,-115,-118,-118,-119,-117,-118,-118,-118,-119,-116,-118,-117,-117,-116,-116,-117,-118,-119,-119,-119,-117,-118,-118,-118,-117,-118,-117,-118,-117,-117,-117,-119,-117,366
HDOK,PLOK,17472,5,5,-126,-9,9,2,33,-117,-117,-118,-118,-118,-117,-118,-118,-119,-117,-119,-119,-118,-116,-118,-119,-119,-118,-119,-119,-118,-119,-118,-117,-118,-117,-116,-118,-117,-118,-118,-117,-119,366
HDOK,PLOK,17472,6,6,-125,-8,9,2,33,-117,-117,-118,-117,-118,-117,-117,-117,-118,-117,-117,-119,-117,-117,-117,-119,-118,-118,-118,-118,-118,-117,-118,-116,-118,-118,-118,-119,-118,-117,-118,-117,-117,366
HDOK,PLOK,17472,7,7,-126,-9,9,2,33,-119,-117,-118,-118,-117,-118,-116,-117,-117,-118,-117,-117,-115,-116,-119,-118,-118,-114,-119,-117,-116,-121,-119,-118,-117,-118,-115,-117,-117,-118,-118,-117,-117,366
HDOK,PLOK,17472,8,8,-126,-9,9,2,33,-117,-116,-118,-118,-117,-115,-118,-118,-117,-118,-118,-117,-117,-117,-117,-117,-117,-118,-117,-117,-119,-117,-117,-118,-118,-118,-117,-118,-117,-118,-119,-117,-116,366
HDOK,PLOK,17472,9,9,-125,-8,9,2,33,-115,-118,-117,-118,-118,-117,-118,-117,-118,-117,-118,-118,-117,-117,-119,-116,-118,-116,-117,-116,-115,-121,-118,-118,-117,-118,-118,-118,-119,-119,-116,-117,-117,366
HDOK,PLOK,17472,10,10,-125,-9,9,2,33,-115,-117,-117,-118,-118,-118,-117,-117,-118,-116,-118,-118,-117,-119,-116,-118,-118,-119,-117,-118,-114,-118,-116,-117,-118,-116,-118,-118,-118,-119,-117,-116,-117,366
HDOK,PLOK,17472,11,11,-123,-7,9,2,33,-116,-118,-117,-118,-118,-117,-116,-117,-117,-118,-117,-117,-118,-116,-118,-119,-117,-117,-118,-116,-118,-117,-117,-119,-117,-118,-119,-116,-118,-116,-118,-119,-117,366
