有效头计数,实时RSSI,x,y
1,-35,70.25133843399398,8.623958743842566
2,-48,20.52558088454925,81.17495005040843
3,-69,38.70402969498777,53.55244677138463
4,-76,95.72668913254984,13.48922161444462
5,-73,59.93459838422893,70.88578806714742
6,-78,9.803932769157113,41.40796517818504
7,-85,79.89505228112839,46.67851361798838
8,-86,14.02437021276623,31.33332048003377
9,-95,82.79186467014361,46.70751594741368
10,-104,40.7800434310704,9.506125151311808
11,-104,50.33847791096392,57.28649490525177
12,-105,39.84363148459646,55.04227254305481
13,-109,76.63747907949477,96.5330905650031
14,-100,20.01810309122497,86.40233173362307
15,-106,97.35943053494917,41.3748028256093
16,-106,69.35566574666629,47.04765031160894
17,-101,30.5983635666239,8.547280517236477
18,-100,15.45281677445213,47.84645886026401
19,-101,29.66142305967881,42.14697840154221
20,-98,75.52100878417475,88.3045211484169
21,-100,91.67978999076817,58.01465508946944
22,-97,60.14871121148141,45.51535645039822
23,-95,3.630295408102223,52.16677804590114
24,-87,37.98501277362553,85.73313837653471
25,-87,70.6312881291656,59.22627250015029
26,-74,13.98459912431916,60.57347687295547
27,-83,9.001752060786872,95.28960999737953
28,-95,82.25315508873624,38.69817459304294
29,-98,89.98669196502078,66.45031300767066
30,-95,46.49379292534241,98.98983078184384
31,-106,26.73429562606436,32.04472918250616
32,-107,1.800622711071009,98.39083790322391
33,-107,21.34041542170157,96.76063074598724
34,-101,81.17751992155063,27.70201273169782
35,-107,95.8439663519988,41.8396060820086
36,-107,15.73434051009623,37.27566785045077
37,-109,22.54875105285061,83.2023375584554
38,-107,46.49902516879385,41.89391887100503
39,-106,82.77456364604525,66.38235120164272
40,-107,51.71505286918775,23.8727590167372
41,-103,8.674529534640115,44.91412600909349
42,-102,37.29700230219537,17.03325960414098
43,-86,94.36580433810198,22.37618202295791
44,-90,51.32953370734168,90.12975669048184
45,-81,28.7043177380048,59.76604075428026
46,-88,66.37317322743787,18.13197635271525
47,-65,34.13246346457951,49.20473940779369
48,-81,90.91689180145879,83.84586331852391
49,-87,7.531891997629627,67.51273083933204
50,-97,47.50439939133227,14.18072222291692
51,-102,16.85763972609286,60.54855798006346
52,-107,16.88220211869664,40.4938521234228
53,-105,74.09945910107955,39.66553166713557
54,-103,38.22353541033922,93.01140426779175
55,-105,9.687501674999716,2.891192749151012
56,-106,49.49461230472495,34.5189946263874
57,-107,37.02365678052438,90.10069397180841
58,-107,20.15674534577551,70.74465850704554
59,-107,60.23377324020463,99.45959612123151
60,-103,68.59422995835429,2.360100166644346
61,-107,95.79196011303372,29.43132935539
62,-107,9.782765073857922,65.70950106184176
63,-104,42.12000652064639,44.73075221590295
64,-105,29.2337454620681,7.554831462234946
65,-93,97.18663939119007,3.633343793599485
66,-76,44.9335739810199,47.48258248808509
67,-92,32.66625896268348,14.15399174294047
68,-91,64.93974799043451,11.14656137813929
69,-107,47.85490988622481,2.122036831207195
70,-107,91.86618167912727,45.19135785994778
71,-103,9.217066675911592,35.49986088398558
72,-106,11.25718844395833,21.44256483687996
73,-107,85.94864908642326,58.0357488233518
74,-107,18.80258890658691,88.82314915097189
75,-109,63.12365429083689,0.1431618730739103
76,-107,25.16784550831747,18.4477095461296
77,-94,68.11556417170974,72.95926965062826
78,-100,42.62857591835047,99.68167998991898
79,-89,2.851070948833229,43.01117726653222
80,-92,18.12016218380705,72.03533286716898
81,-80,89.60793781086893,22.01317494537283
82,-88,58.85443771129713,61.08707158943274
83,-53,24.30693755604583,16.55464025329869
