hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,location_id,realtime_average_rssi,median_rssi,mode_rssi,rssi_variance,rssi_skewness,rssi_kurtosis
HDOK,PLOK,17472,1,1,-98,7,8,2,19,-99.0,-98.00990089207038,-98.5027374056939,-100.6649218966694,-100.24826958579796,-100.39921806896203,-99.99635161492492,-99.85237249286278,-99.61707747335345,-99.54704305323185,-99.59357604513282,-99.44380757517715,-99.75228417049524,-99.61093508025581,-99.48930968077472,-99.7387917118039,-99.62191108123936,-99.70991965854864,-99.66667713225618,12,-99.60342655890793,-99.62191108123936,-100.6649218966694,0.3476522424729094,0.9926628595101704,2.144818518013215
HDOK,PLOK,17472,2,2,-93,7,8,2,19,-92.0,-92.99009910792962,-92.4972625943061,-92.33178160077304,-92.24875213798367,-92.39960372401666,-93.17208262405794,-93.58073460489814,-94.01506199906319,-94.12684628017863,-94.01108355879126,-94.29198979077962,-94.09317456294539,-93.92432733761147,-94.15654024353235,-94.14541594194402,-94.00120225239435,-93.87339993082881,-93.75928765799674,12,-93.45361294473847,-93.87339993082881,-94.29198979077962,0.5849437012354612,0.747674653056525,-1.131685095007005
HDOK,PLOK,17472,3,3,-94,7,8,2,19,-92.0,-92.0,-92.0,-92.0,-92.0,-91.7991986484619,-92.67249500520035,-92.57531521546596,-92.75628380329762,-92.78394406193182,-92.70340823408996,-92.82526534001884,-92.92716594184895,-93.0137067670478,-93.16367166067097,-93.15204057543896,-93.1418204908779,-93.38821452610969,-93.42547951676248,12,-92.64884262038017,-92.75628380329762,-92.0,0.26412907459533647,0.2715166053418524,-1.2883603044920662
HDOK,PLOK,17472,4,4,-94,7,8,2,19,-94.0,-94.0,-93.50223517052339,-93.66788329984335,-93.75099662238183,-94.00179818868321,-94.84107489568059,-94.57502790668595,-94.62900939117274,-94.67111449674171,-94.6021698306662,-94.63955895680506,-94.58408137124943,-94.53696608490374,-94.5719250882721,-94.46021854967475,-94.42928290975979,-94.4018677135146,-94.37738920392766,12,-94.32855787792032,-94.46021854967475,-94.0,0.14112446269420822,0.9067762564440085,-0.34732276706475984
HDOK,PLOK,17472,5,5,-93,7,8,2,19,-94.0,-94.0,-94.0,-93.6672160837596,-93.75049637936974,-94.40300109822024,-95.17490952569126,-94.86062131720855,-95.13237289570847,-95.11734940288774,-94.89983071083742,-94.90924488421199,-94.74363029108729,-94.60297927140168,-94.78395404018872,-94.72824350226153,-94.61207191658964,-94.63684607902175,-94.5371427411067,12,-94.55578474418698,-94.63684607902175,-94.0,0.20446479095644352,0.6184336771876091,-0.6895843854402335
HDOK,PLOK,17472,6,6,-103,6,8,2,19,-99.0,-98.00990089207038,-100.49379672360037,-101.993388697296,-101.74478983079666,-101.59523502616086,-101.15945424161772,-100.99190575644573,-100.86591031804791,-100.76763493185979,-100.89423776717112,-100.8101949487723,-101.17363332410534,-101.1596270842438,-101.14757525910998,-101.56346919393157,-101.59281255664014,-101.93813053116001,-101.94189911553543,12,-100.99176822097711,-101.15945424161772,-101.993388697296,0.9341976800856441,1.951640221500427,4.263135365779505
HDOK,PLOK,17472,7,7,-88,8,8,2,19,-90.0,-94.95049553964812,-92.48631297153044,-91.3261240876248,-91.49476380381414,-90.99381186023993,-90.82693521601388,-90.7074378371564,-90.74460013581891,-91.1140675877952,-90.79415444179783,-91.0014656116786,-90.65436445945831,-90.44024850279685,-90.6335094245034,-90.44636296035598,-90.21470032173966,-90.00940065062233,-90.06973989872587,12,-90.99518396375372,-90.74460013581891,-94.95049553964812,1.1968119778851416,-2.6967701732670264,8.731875110116952
HDOK,PLOK,17472,8,8,-94,7,8,2,19,-94.0,-98.95049553964812,-96.48631297153044,-95.65890800386522,-95.4940140571814,-94.99321266374436,-94.99435236426805,-95.28418115706872,-95.5021306405973,-95.89911685841469,-95.6012859447812,-95.92070603484947,-95.66735375636577,-95.45219001000693,-95.72004922581554,-95.52675293829066,-95.35690598382028,-95.14252466504244,-95.01201950428982,12,-95.61381643787266,-95.5021306405973,-98.95049553964812,0.8568080390306875,-2.3681126006007376,8.93509169004303
HDOK,PLOK,17472,9,9,-96,7,8,2,19,-96.0,-99.9603964317185,-97.49128554774774,-96.66222578669512,-96.99700828821229,-96.59600632490647,-96.66384321786917,-96.85692633987833,-97.00212366935457,-97.34236381662824,-97.10172903381721,-97.46809879687999,-97.25400725659779,-97.07218636220306,-97.29323593003957,-97.20133402554536,-97.05336155291263,-96.92222819387224,-96.86605355996691,12,-97.14760074393921,-97.05336155291263,-99.9603964317185,0.5564174321993786,-2.8095130057604654,10.956341127732586
HDOK,PLOK,17472,10,10,-92,8,8,2,19,-93.0,-92.00990089207038,-93.49826706464714,-94.66358746450187,-93.99701573251073,-94.19841632899403,-93.82926764575562,-93.5649268791956,-93.23912063752137,-92.98499449906598,-93.19199923831194,-92.98598938200877,-93.33417873204662,-93.4685532385858,-93.20667789771393,-93.47624473966627,-93.30979291876125,-93.54545976926356,-93.39041108217155,12,-93.4155160075154,-93.39041108217155,-94.66358746450187,0.2838877044170833,0.12776502785369112,2.43703422803863
