location_id,x,y,distance,distance_true,idx
point1,0.8001971306337118,0.5997370691607902,1.7481992942158446,74.85780404206365,0
370,0.7230538821189408,0.6907916354102217,1.2856150079564082,64.81259717832639,1
366,0.6137904498101894,0.7894689884484415,0.9125591770363484,56.7115373182565,2
360,0.4588916061515807,0.8884922587190182,0.6214961591097861,50.390984908017025,3
356,0.2617747166273366,0.9651290057472512,0.44310267304663714,46.51709743739392,4
354,0.0,1.0,0.7082555248898061,52.275,5
350,0.0,1.0,0.34008377702913173,44.28,6
344,0.0,1.0,-0.09039395893104145,34.932,7
340,0.0,1.0,-0.4415731645827617,27.306,8
336,0.0,1.0,-0.9456852501150698,16.358999999999998,9
334,0.0,1.0,-1.3081928172394262,8.487,10
1m,0.0,1.0,-1.534760046692149,3.567,11
330,0.0,-1.0,-1.4328047934384236,5.781,12
328,0.765974253829985,-0.6428712487501659,-1.2849158273881847,8.992469349405647,13
322,0.9428593837201242,-0.3331909100364348,-0.9000304194834482,17.35041330919814,14
312,0.984967996842506,-0.1727369248193947,-0.15785401946459793,33.46707721029728,15
308,0.9914448403993016,-0.1305263515371629,0.34054000721655026,44.28990722501008,16
306-304,0.994468655890254,-0.1050337681502066,0.8355587741136703,55.0394420938294,17
302,0.9979390440606268,0.0641690294407055,0.8607999027209189,55.587563519190155,18
