sf,Area,A,n
7.0,1,3542.875377343156,231.53592235018704
7.0,2,-32.813850861385504,3.7077778620770583
7.0,3,-74.40404506164485,1.7922964359126665
8.0,1,-121.23063313021865,-0.8099011800278091
8.0,2,-39.83529882223061,2.972573206897594
8.0,3,-46.34853251850238,3.4811687620567633
9.0,1,-115.40774222218957,0.11253080925730918
9.0,2,-34.043039464966505,4.034517881201156
9.0,3,-46.976400891603156,3.3370075538648583
10.0,1,-121.17185524743078,-0.45736259510542787
10.0,2,-35.03179840750292,3.5039191397285956
10.0,3,-49.63327313492146,2.997718965229584
11.0,1,-121.70661787172206,-0.5437864086156066
11.0,2,-39.88682980792835,3.1558361502844425
11.0,3,-35.8311147716356,3.9287707125889613
12.0,1,-122.47054679072588,-0.7987793466803845
12.0,2,-31.332956819462822,4.003116838759599
12.0,3,-64.62641536802843,2.321966953667338
