location_id,x,y,distance,distance_true,true_x,true_y,idx,wall_nums,window,floor
point1,0.794168764,0.607697272,1.99002155,91.55885265,10.21338179,14.48166075,0,1,1,1
72,0.729302694,0.684191187,1.543807028,81.09959248,23.78041134,14.63409929,1,1,1,1
70,0.71380876,0.70034067,1.46402397,79.22947906,26.37186642,14.63409929,2,1,0,0
68,0.620482186,0.784220541,1.10249003,70.75513018,39.02426476,14.63409929,3,1,0,0
66,0.6,0.8,1.042950858,69.35953307,41.31084278,14.63409929,4,1,0,0
64,0.539119354,0.842229376,0.894585271,65.88184645,47.40838414,14.63409929,5,1,0,0
62,0.462732462,0.88649798,0.754230697,62.59193784,53.96324112,14.63409929,6,1,0,0
60,0.435302318,0.900284339,0.713339386,61.63344626,56.09738059,14.63409929,7,1,0,0
58,0.345466401,0.938431119,0.606454902,59.12807591,62.49979903,14.63409929,8,1,0,0
56,0.236894904,0.971535282,0.527195901,57.2702464,69.35953307,14.48166075,9,1,0,1
point2,0.076696499,0.997054486,0.458138786,55.6515489,78.65828366,14.63409929,10,1,0,1
54,-0.025873688,0.99966522,0.848775808,64.80807349,84.6033865,5.335348698,11,0,1,1
52,-0.027083657,0.99963317,0.725255354,61.91275632,84.6033865,8.231680848,12,0,1,1
50,-0.027462166,0.999622844,0.452038652,55.50856187,84.45094796,14.63409929,13,0,1,1
48,-0.031867864,0.999492091,0.328721901,52.61801949,84.6033865,17.53043144,14,0,1,1
46,-0.036764427,0.99932396,0.029742843,45.60995589,84.6033865,24.54260401,15,0,0,1
44,-0.03518946,0.999380659,-0.067978339,43.31937318,84.45094796,26.82918202,16,0,0,1
42,-0.042696073,0.999088107,-0.392901747,35.70317449,84.45094796,34.45110873,17,0,0,0
40,-0.044999415,0.998987013,-0.470867008,33.8756702,84.45094796,36.28037115,18,0,0,0
38,-0.057707142,0.998333554,-0.789117392,26.41588706,84.45094796,43.74985932,19,0,0,0
36,-0.06751477,0.997718275,-1.049151546,20.32069129,84.29850943,49.84740069,20,0,0,0
34,-0.157432285,0.987529785,-1.461677944,10.65108012,84.6033865,59.60346688,21,0,0,0
point3,-0.957826285,-0.287347886,-1.440796741,11.14053515,93.59726001,73.32293496,22,0,0,1
32,-0.731055268,-0.68231825,-1.515762819,9.383331655,89.78629666,76.52414418,23,0,0,1
30,-0.227884467,-0.973688179,-1.602158467,7.358219258,84.6033865,77.28633685,24,0,0,0
28,0.714834026,-0.699294155,-1.497581072,9.809511472,75.91439004,76.98145978,25,1,0,0
26,0.8,-0.6,-1.428324251,11.43289007,73.78025057,76.98145978,26,1,0,0
24,0.926739268,-0.375705109,-1.137137881,18.25829322,66.00588532,76.98145978,27,1,0,0
22,0.941568596,-0.336821286,-1.066522591,19.91351431,64.17662291,76.82902125,28,1,0,0
20,0.971427291,-0.23733735,-0.737819359,27.618312,56.09738059,76.67658272,29,1,0,0
18,0.975582402,-0.219633734,-0.642845786,29.84449082,53.81080258,76.67658272,30,1,0,0
16,0.984578085,-0.174945693,-0.317612507,37.46795288,46.03643734,76.67658272,31,1,0,0
12,0.986393924,-0.164398987,-0.215066117,39.87163838,43.59742079,76.67658272,32,1,0,0
10,0.989949494,-0.141421356,0.107293479,47.42774136,35.97549408,76.82902125,33,1,0,0
8,0.991695758,-0.128606078,0.359485269,53.33911227,30.03039124,76.98145978,34,1,0,0
4,0.995149798,-0.098371129,0.926671646,66.63395049,16.61580023,76.67658272,35,1,1,1
2,0.997844822,0.065617913,0.958098236,67.37058918,15.70116903,65.70100825,36,1,1,1
