location_id,x,y,distance,idx
point1,0.7941687638391421,0.6076972721200983,1.9900215498827456,0
72,0.7293026939796773,0.6841911871355735,1.5438070282758705,1
70,0.713808759938232,0.7003406701280767,1.4640239695862451,2
68,0.6204821861540999,0.7842205408336541,1.102490030176053,3
66,0.6,0.8,1.042950857537294,4
64,0.5391193536097781,0.8422293764547607,0.8945852707830535,5
62,0.462732462084668,0.886497979993785,0.7542306973592809,6
60,0.4353023179988847,0.9002843394976933,0.7133393862902189,7
58,0.3454664010726169,0.9384311193315862,0.6064549015195855,8
56,0.2368949043909787,0.9715352820528904,0.5271959012827652,9
point2,0.076696498884737,0.9970544855015816,0.45813878637832106,10
54,-0.0258736880495064,0.999665220094566,0.8487758078557508,11
52,-0.0270836573280297,0.9996331704709172,0.7252553539252844,12
50,-0.0274621660328273,0.9996228435949158,0.4520386521238028,13
48,-0.0318678637596555,0.999492090643741,0.3287219009230143,14
46,-0.0367644266203285,0.9993239599525664,0.02974284324506368,15
44,-0.0351894598298207,0.999380659166909,-0.06797833910874419,16
42,-0.0426960729445746,0.9990881069030456,-0.39290174685871987,17
40,-0.0449994150114072,0.998987013253241,-0.47086700799103226,18
38,-0.0577071418709837,0.998333554368019,-0.78911739226935,19
36,-0.0675147704717377,0.997718274749014,-1.0491515461265635,20
34,-0.1574322845269952,0.9875297847602428,-1.4616779439807102,21
point3,-0.9578262852211512,-0.2873478855663454,-1.4407967405176603,22
32,-0.731055268242869,-0.682318250360011,-1.5157628187609322,23
30,-0.2278844673778864,-0.973688178796424,-1.6021584667655366,24
28,0.7148340255851473,-0.6992941554637311,-1.497581071674785,25
26,0.8,-0.6,-1.428324251217868,26
24,0.926739268223405,-0.3757051087392182,-1.1371378808752004,27
22,0.9415685960338792,-0.3368212863861032,-1.0665225912570315,28
20,0.9714272914031516,-0.2373373496041791,-0.7378193594497466,29
18,0.9755824017978316,-0.219633734436161,-0.6428457857178212,30
16,0.9845780845629556,-0.1749456927115995,-0.3176125069296836,31
12,0.9863939238321436,-0.1643989873053572,-0.21506611677594978,32
10,0.9899494936611664,-0.1414213562373095,0.10729347872374766,33
8,0.991695758115854,-0.1286060781418254,0.3594852687187465,34
4,0.995149798213868,-0.0983711294786122,0.926671645859117,35
2,0.9978448223194636,0.0656179134858604,0.9580982358313753,36
