location_id,x,y,distance,distance_true,true_x,true_y,idx,wall_nums,window,floor
point1,0.794168764,0.607697272,1.81224978,73.87724458,8.241,11.685,0,1,1,1
70,0.71380876,0.70034067,1.343561336,63.92888763,21.279,11.808,1,1,0,0
60,0.435302318,0.900284339,0.674666264,49.73095503,45.264,11.808,2,1,0,0
point2,0.076696499,0.997054486,0.447270594,44.90426617,63.468,11.808,3,1,0,1
54,-0.025873688,0.99966522,0.795346449,52.29250648,68.265,4.305,4,0,1,1
44,-0.03518946,0.999380659,-0.021524371,34.95364822,68.142,21.648,5,0,0,1
36,-0.06751477,0.997718275,-0.895795586,16.39641211,68.019,40.221,6,0,0,0
1m,-0.155962573,0.987762965,-1.445335571,4.731904479,67.65,51.906,7,0,0,0
point3,-0.957826285,-0.287347886,-1.244769771,8.989103904,75.522,59.163,8,0,0,1
30,-0.227884467,-0.973688179,-1.388550616,5.937219046,68.265,62.361,9,0,0,0
22,0.941568596,-0.336821286,-0.911274,16.06786809,51.783,61.992,10,1,0,0
12,0.986393924,-0.164398987,-0.15258646,32.17173102,35.178,61.869,11,1,0,0
4,0.995149798,-0.098371129,0.864755284,53.76577486,13.407,61.869,12,1,1,1
2,0.997844822,0.065617913,0.892757846,54.36015579,12.669,53.013,13,1,1,1
