feature,label,true_x,true_y
[-0.8779187  -0.7583286  -0.76234424 -0.94618744  0.9166667   0.16666667],0,8.241,11.685
[-0.8678302  -0.8024869  -0.7839918  -0.73916274  0.9166667   0.16666667],0,8.241,11.685
[-0.87522686 -0.7987714  -0.78361946 -0.76943195  0.9166667   0.16666667],0,8.241,11.685
[-0.87687397 -0.80031586 -0.76943386 -0.7718859   0.9166667   0.16666667],0,8.241,11.685
[-0.8617626  -0.766518   -0.78054065 -0.78668165  0.9166667   0.16666667],0,8.241,11.685
[-0.8676695  -0.77986884 -0.7738871  -0.8263607   0.9166667   0.16666667],0,8.241,11.685
[-0.8856045  -0.75403684 -0.7445632  -0.85331506  0.9166667   0.16666667],0,8.241,11.685
[-0.89506406 -0.76485336 -0.8040103  -0.6831151   0.9166667   0.16666667],0,8.241,11.685
[-0.86620384 -0.75944704 -0.8468322  -0.43583336  0.9166667   0.16666667],0,8.241,11.685
[-0.8390118  -0.79612756 -0.75075024 -0.5308663   0.9166667   0.16666667],0,8.241,11.685
[-0.8695837  -0.80116016 -0.7598963  -0.7509257   0.9166667   0.16666667],0,8.241,11.685
[-0.8917359  -0.7939595  -0.79625785 -0.68769956  0.9166667   0.16666667],0,8.241,11.685
[-0.8389422  -0.764513   -0.78851706 -0.75321656  0.9166667   0.16666667],0,8.241,11.685
[-0.8366106  -0.81553245 -0.806086   -0.43233836  0.9166667   0.16666667],0,8.241,11.685
[-0.8956746  -0.77717495 -0.78587276 -0.4878681   0.9166667   0.16666667],0,8.241,11.685
[-0.9043011  -0.81182337 -0.7909464  -0.73765707  0.9166667   0.16666667],0,8.241,11.685
[-0.8812324  -0.78890246 -0.809263   -0.74806535  0.9166667   0.16666667],0,8.241,11.685
[-0.88991344 -0.7933256  -0.7674861  -0.8802433   0.9166667   0.16666667],0,8.241,11.685
[-0.87498826 -0.77068895 -0.8315878  -0.49990046  0.9166667   0.16666667],0,8.241,11.685
[-0.855988   -0.7301105  -0.77661073 -0.6669743   0.9166667   0.16666667],0,8.241,11.685
[-0.8420763  -0.7913661  -0.8011023  -0.60218585  0.9166667   0.16666667],0,8.241,11.685
