realtime_average_rssi,average_rssi,rssi_variance,snr,median_rssi,mode_rssi,rssi_skewness,rssi_kurtosis,sf,tp,location_id,idx,Area,PLM_RSSI,residual
-91.85178627333347,-89.0,0.4536021375095928,9.0,-91.96694969224136,-90.0,0.9048865221274764,1.7655196795535182,11.0,2,12,17.0,3,-90.72467829636818,-1.1271079769652914
-90.9359989182802,-89.0,2.361423826468282,9.0,-90.73310793901538,-99.0,-4.486601457945033,23.73351313473489,11.0,2,12,17.0,3,-90.72467829636818,-0.21132062191202294
-89.61855656124786,-89.0,0.1050163057843331,9.0,-89.67380611476064,-89.0,0.232233240148923,-0.6249115654098794,11.0,2,12,17.0,3,-90.72467829636818,1.1061217351203254
-93.50272471768886,-93.0,2.435272631260031,6.0,-93.2062832621358,-101.0,-3.508739250432222,15.795871808847716,11.0,2,12,17.0,3,-90.72467829636818,-2.7780464213206812
-95.79665124019944,-95.0,0.453733490779201,5.0,-95.70534587899952,-96.89392128952628,0.3296367207665061,0.224255841914347,11.0,2,12,17.0,3,-90.72467829636818,-5.0719729438312555
-94.24676638300498,-91.0,2.948338617656435,8.0,-93.62670509689806,-103.0,-4.229245156848265,20.756990630751808,11.0,2,12,17.0,3,-90.72467829636818,-3.522088086636799
-90.4501194796118,-89.0,0.3162012077094883,9.0,-90.26547771185788,-91.76041115203805,-0.3499047968849319,0.5327566233709562,11.0,2,12,17.0,3,-90.72467829636818,0.2745588167563824
-89.99702896145914,-89.0,1.79166324353655,9.0,-89.7171297577658,-97.0,-4.442106975579482,23.440819478354747,11.0,2,12,17.0,3,-90.72467829636818,0.7276493349090458
-88.83732625590741,-88.0,0.2007919353291539,8.0,-88.87507941906982,-89.50077114681943,2.081092235975273,7.73468783579067,11.0,2,12,17.0,3,-90.72467829636818,1.8873520404607689
-91.14567029749207,-89.0,2.342794108340476,9.0,-90.85916246561266,-99.0,-4.209965214888342,21.482789607431418,11.0,2,12,17.0,3,-90.72467829636818,-0.4209920011238921
-90.30153497513687,-89.0,0.2743659698917397,9.0,-90.40711512081393,-90.93714086783108,3.036356093420809,11.250437755316836,11.0,2,12,17.0,3,-90.72467829636818,0.4231433212313078
-91.35033353132772,-90.0,1.3076653250497223,9.0,-91.20892959192687,-97.0,-3.525095650212135,18.484583642184333,11.0,2,12,17.0,3,-90.72467829636818,-0.6256552349595381
-92.17790154374276,-91.0,0.4609597085859524,8.0,-92.28622345527997,-90.0,1.93432160155902,4.863062193273137,11.0,2,12,17.0,3,-90.72467829636818,-1.4532232473745808
-91.56223208673208,-89.0,1.1864777606956345,9.0,-91.4899164905317,-97.0,-3.5309975339644737,19.72407711643064,11.0,2,12,17.0,3,-90.72467829636818,-0.8375537903638985
-90.84202526226406,-90.0,0.6260425192436155,9.0,-91.08630777666852,-91.80722392728111,2.092298584057006,4.551677545109737,11.0,2,12,17.0,3,-90.72467829636818,-0.11734696589587656
-91.7756996022283,-90.0,2.124576069350114,9.0,-91.32581461430918,-99.0,-3.891113528784363,18.33253425872558,11.0,2,12,17.0,3,-90.72467829636818,-1.051021305860118
