Wall time,Step,Value
1746596446.6214573,13,0.277008056640625
1746596447.8906875,27,0.10708196461200714
1746596449.18011,41,0.07992082089185715
1746596450.450664,55,0.06547214835882187
1746596451.6549597,69,0.06165685877203941
1746596452.9277644,83,0.061500370502471924
1746596454.1771123,97,0.050123970955610275
1746596455.4192522,111,0.04487181082367897
1746596456.728065,125,0.04675852507352829
1746596457.9639187,139,0.04292803630232811
1746596459.278724,153,0.04390263184905052
1746596460.5600007,167,0.05023210123181343
1746596461.825922,181,0.044315412640571594
1746596463.0949872,195,0.04683554172515869
1746596464.3926666,209,0.05225859209895134
1746596465.726944,223,0.03924430534243584
1746596467.0151405,237,0.03840877115726471
1746596468.2639425,251,0.035480886697769165
1746596469.5818627,265,0.03127802535891533
1746596470.8493626,279,0.03743353113532066
1746596472.0898993,293,0.0308687686920166
1746596473.3370585,307,0.03144991025328636
1746596474.6024249,321,0.03571547567844391
1746596475.8473313,335,0.0317712239921093
1746596477.1680381,349,0.03256358951330185
1746596478.3912172,363,0.03084343485534191
1746596479.640323,377,0.03169478848576546
1746596480.9355268,391,0.031254321336746216
1746596482.1980677,405,0.032725729048252106
1746596483.5243163,419,0.030213920399546623
1746596484.9824605,433,0.0296726506203413
1746596486.2975755,447,0.03190028294920921
1746596487.620959,461,0.03686154633760452
1746596488.9306645,475,0.02767820470035076
1746596490.1976495,489,0.02927405759692192
1746596491.564811,503,0.03245178982615471
1746596492.8094168,517,0.03244559466838837
1746596494.1190267,531,0.034773267805576324
1746596495.3492484,545,0.029767915606498718
1746596496.6208427,559,0.030074018985033035
1746596497.9560804,573,0.035278379917144775
1746596499.3142219,587,0.03356302157044411
1746596500.6782625,601,0.03473883494734764
1746596501.9813557,615,0.030448324978351593
1746596503.2501247,629,0.03625337406992912
1746596504.5153847,643,0.02822110429406166
1746596505.7820673,657,0.03354450315237045
1746596507.115207,671,0.029400397092103958
1746596508.4063401,685,0.0312674380838871
1746596509.696586,699,0.030685756355524063
1746596510.9142654,713,0.033139605075120926
1746596512.2820315,727,0.03266740217804909
1746596513.5745997,741,0.02909659966826439
1746596514.9260442,755,0.02909526601433754
1746596516.2387354,769,0.03706972301006317
1746596517.5658014,783,0.030094945803284645
1746596518.8846862,797,0.03311081603169441
1746596520.1373546,811,0.032503172755241394
1746596521.4669554,825,0.02984021045267582
1746596522.7578323,839,0.03151979297399521
1746596524.0038037,853,0.029487725347280502
1746596525.3154824,867,0.03161236271262169
1746596526.5594711,881,0.032900914549827576
1746596527.8399336,895,0.03190530091524124
1746596529.109147,909,0.03003479726612568
1746596530.643521,923,0.03221096098423004
1746596531.932547,937,0.030935930088162422
1746596533.2328584,951,0.030094273388385773
1746596534.552525,965,0.029065342620015144
1746596535.9177158,979,0.029529178515076637
