hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,rssi_19,rssi_20,rssi_21,rssi_22,rssi_23,rssi_24,rssi_25,rssi_26,rssi_27,rssi_28,rssi_29,rssi_30,rssi_31,rssi_32,location_id,realtime_average_rssi,median_rssi,mode_rssi,rssi_variance
HDOK,PLOK,17472,1,1,-123,-7,9,2,33,-115,-117,-118,-115,-118,-115,-116,-118,-119,-119,-115,-117,-118,-118,-117,-116,-117,-117,-116,-117,-118,-116,-119,-118,-116,-119,-116,-116,-117,-116,-117,-118,-119,point2,-117.06060606060606,-117.0,-118.0,0.7935999999999999
HDOK,PLOK,17472,2,2,-117,-2,9,2,33,-116,-116,-115,-117,-114,-116,-115,-114,-115,-115,-116,-114,-116,-113,-116,-114,-115,-115,-117,-117,-115,-117,-116,-115,-115,-116,-116,-114,-116,-115,-115,-114,-114,point2,-115.27272727272727,-115.0,-115.0,0.5024
HDOK,PLOK,17472,3,3,-115,-2,9,2,33,-113,-113,-116,-115,-113,-116,-115,-115,-114,-115,-118,-115,-116,-114,-116,-116,-113,-115,-118,-117,-115,-118,-117,-115,-113,-117,-115,-116,-116,-116,-112,-115,-113,point2,-115.18181818181819,-115.0,-115.0,1.1743999999999999
HDOK,PLOK,17472,4,4,-117,-2,9,2,33,-114,-115,-115,-114,-114,-116,-113,-116,-118,-115,-115,-115,-114,-116,-115,-115,-115,-117,-116,-117,-116,-116,-116,-116,-116,-119,-116,-116,-118,-115,-112,-116,-117,point2,-115.57575757575758,-116.0,-116.0,0.5664000000000001
HDOK,PLOK,17472,5,5,-118,-2,9,2,33,-114,-118,-117,-115,-115,-116,-116,-115,-114,-116,-118,-113,-117,-115,-116,-114,-115,-115,-114,-116,-117,-116,-117,-117,-115,-117,-117,-116,-115,-114,-116,-113,-117,point2,-115.63636363636364,-116.0,-117.0,0.9376000000000001
HDOK,PLOK,17472,6,6,-113,1,9,2,33,-113,-113,-116,-115,-115,-114,-115,-115,-115,-115,-116,-114,-114,-114,-115,-113,-114,-116,-116,-117,-115,-116,-115,-114,-118,-117,-114,-115,-117,-113,-113,-113,-113,point2,-114.78787878787878,-115.0,-115.0,0.8576
HDOK,PLOK,17472,7,7,-117,-2,9,2,33,-114,-114,-116,-115,-116,-113,-115,-116,-114,-117,-117,-113,-115,-115,-115,-116,-114,-117,-116,-116,-117,-117,-119,-118,-116,-115,-117,-115,-116,-116,-116,-116,-113,point2,-115.60606060606061,-116.0,-116.0,0.7904000000000001
HDOK,PLOK,17472,8,8,-117,-2,9,2,33,-114,-115,-115,-118,-117,-114,-115,-115,-114,-115,-117,-115,-116,-116,-115,-115,-116,-117,-116,-116,-115,-117,-116,-116,-117,-119,-114,-116,-117,-116,-113,-116,-116,point2,-115.72727272727273,-116.0,-116.0,0.6016
HDOK,PLOK,17472,9,9,-117,-2,9,2,33,-115,-109,-116,-117,-117,-116,-116,-116,-117,-115,-117,-118,-115,-117,-118,-116,-117,-117,-114,-117,-117,-114,-116,-114,-116,-117,-115,-114,-117,-116,-116,-115,-115,point2,-115.81818181818181,-116.0,-117.0,0.7583999999999999
HDOK,PLOK,17472,10,10,-112,2,9,2,33,-112,-115,-117,-112,-111,-112,-112,-111,-112,-111,-117,-110,-109,-110,-115,-112,-112,-111,-111,-111,-117,-112,-115,-115,-111,-110,-117,-112,-112,-112,-114,-115,-114,point2,-112.6969696969697,-112.0,-112.0,2.1696000000000004
